,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Paul DeJong2B'],St. Louis Cardinals,4,0,1,2,0,2,4,.296,.296,.481,.778,21,15,-0.026,1.34,0.081,-0.107%,-0.02%,1.71,0.2,2,3,,6/4/2017
['Aledmys DíazSS'],St. Louis Cardinals,3,0,2,1,1,0,4,.261,.297,.401,.698,23,13,0.129,1.53,0.204,-0.076%,0.10%,1.95,1.4,1,1,2·2B,6/4/2017
['Michael WachaP'],St. Louis Cardinals,2,0,0,0,0,0,2,.067,.067,.067,.133,7,4,-0.094,1.25,0.000,-0.094%,-0.07%,1.58,-1.2,1,1,GDP,6/4/2017
['Tyler LyonsP'],St. Louis Cardinals,0,0,0,0,0,0,0,,1.000,,,,,,,,,,,,0,0,,6/4/2017
['Greg GarciaPH'],St. Louis Cardinals,1,0,0,0,0,1,1,.260,.365,.356,.721,6,4,-0.053,1.84,0.000,-0.053%,-0.04%,2.34,-0.4,,,,6/4/2017
['Brett CecilP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/4/2017
['Matt BowmanP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/4/2017
['Trevor RosenthalP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/4/2017
['Jose MartinezPH'],St. Louis Cardinals,1,0,0,0,0,1,1,.279,.313,.393,.706,4,3,-0.055,2.18,0.000,-0.055%,-0.04%,2.77,-0.2,,,,6/4/2017
Team Totals,St. Louis Cardinals,32,6,6,6,5,10,37,.188,.297,.344,.641,169,101,-0.008,1.34,0.890,-0.897%,-0.01%,1.71,1.2,24,9,,6/4/2017
['Matt Carpenter1B'],St. Louis Cardinals,5,0,2,1,0,1,5,.243,.378,.450,.828,22,13,0.021,1.66,0.176,-0.154%,0.01%,1.39,0.1,9,2,2B,7/16/2017
['Tommy PhamLF'],St. Louis Cardinals,4,0,0,0,1,2,5,.306,.390,.514,.903,24,13,-0.083,1.21,0.024,-0.107%,-0.04%,1.01,-0.8,4,0,,7/16/2017
['Dexter FowlerCF'],St. Louis Cardinals,4,0,2,0,1,0,5,.244,.331,.473,.804,12,8,0.060,1.17,0.109,-0.049%,0.03%,0.98,0.6,2,0,,7/16/2017
['Jedd Gyorko3B'],St. Louis Cardinals,5,0,0,0,0,0,5,.294,.358,.514,.873,18,13,-0.308,1.64,0.000,-0.308%,-0.15%,1.37,-2.7,1,1,2·GDP,7/16/2017
['Yadier MolinaC'],St. Louis Cardinals,4,1,1,1,0,2,4,.265,.297,.412,.709,13,10,0.158,1.35,0.248,-0.090%,0.08%,1.14,0.3,7,0,HR,7/16/2017
['Kolten Wong2B'],St. Louis Cardinals,4,1,2,0,0,0,4,.300,.389,.438,.827,9,6,0.034,0.86,0.073,-0.040%,0.02%,0.72,0.1,0,2,,7/16/2017
['Paul DeJongSS'],St. Louis Cardinals,4,0,1,0,0,2,4,.302,.319,.576,.895,11,10,-0.106,1.14,0.023,-0.129%,-0.05%,0.95,-0.8,0,2,"2B,GDP",7/16/2017
['Magneuris SierraRF'],St. Louis Cardinals,4,1,3,0,0,0,4,.417,.462,.417,.878,10,7,0.145,1.18,0.145,0.000%,0.07%,0.98,1.1,1,0,SB,7/16/2017
['Carlos MartinezP'],St. Louis Cardinals,2,0,1,1,0,1,3,.176,.200,.235,.435,9,7,0.083,2.33,0.173,-0.090%,0.04%,1.95,0.3,2,0,SH,7/16/2017
['Luke VoitPH'],St. Louis Cardinals,0,0,0,0,1,0,1,.302,.362,.628,.990,8,4,0.009,1.57,0.009,0.000%,0.01%,1.32,0.1,,,,7/16/2017
['Trevor RosenthalP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/16/2017
['Brett CecilP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,,7/16/2017
Team Totals,St. Louis Cardinals,36,3,12,3,3,8,40,.333,.385,.472,.857,136,91,0.013,1.36,0.980,-0.967%,0.01%,1.14,-1.5,26,8,,7/16/2017
['Tyler SaladinoSS'],Chicago White Sox,4,1,0,0,1,0,5,.195,.293,.268,.561,20,12,-0.044,0.54,0.014,-0.057%,-0.00%,0.06,-0.6,2,3,,7/22/2017
['Melky CabreraLF'],Chicago White Sox,4,1,4,2,0,0,4,.296,.340,.446,.786,11,7,0.280,0.58,0.280,0.000%,0.02%,0.07,2.5,0,1,"HR,2B",7/22/2017
['José Abreu1B'],Chicago White Sox,3,0,1,0,1,1,4,.293,.346,.505,.851,23,14,-0.022,0.82,0.035,-0.057%,-0.00%,0.10,-0.3,8,0,,7/22/2017
['Avisail GarciaRF'],Chicago White Sox,4,0,1,0,0,0,4,.312,.357,.502,.859,11,8,-0.064,0.99,0.026,-0.090%,-0.00%,0.12,-0.5,1,0,,7/22/2017
['Matt DavidsonDH'],Chicago White Sox,4,0,2,0,0,0,4,.247,.285,.494,.780,14,7,0.038,0.86,0.076,-0.038%,0.00%,0.10,0.5,,,,7/22/2017
['Yoan Moncada2B'],Chicago White Sox,3,0,0,0,1,0,4,.111,.273,.333,.606,20,11,-0.037,0.93,0.015,-0.052%,-0.00%,0.11,-0.4,2,2,,7/22/2017
['Yolmer Sanchez3B'],Chicago White Sox,4,0,0,0,0,1,4,.256,.315,.378,.693,18,11,-0.128,0.86,0.000,-0.128%,-0.01%,0.10,-1.8,2,3,GDP,7/22/2017
['Kevan SmithC'],Chicago White Sox,3,0,0,0,0,0,3,.262,.283,.338,.621,11,9,-0.095,1.11,0.000,-0.095%,-0.01%,0.13,-1.1,6,0,,7/22/2017
['Alen HansonPH'],Chicago White Sox,1,0,0,0,0,1,1,.216,.269,.297,.566,8,5,-0.004,0.17,0.000,-0.004%,0%,0.02,-0.2,,,,7/22/2017
['Adam EngelCF'],Chicago White Sox,3,0,0,0,0,0,3,.227,.306,.330,.635,18,10,-0.069,0.89,0.000,-0.069%,-0.01%,0.10,-0.7,3,0,,7/22/2017
['Omar NarvaezPH'],Chicago White Sox,1,0,0,0,0,0,1,.260,.345,.301,.647,8,5,-0.002,0.07,0.000,-0.002%,0%,0.01,-0.2,,,,7/22/2017
[''],Chicago White Sox,,,,,,,,,,,,,,,,,,,,,,,,7/22/2017
['Mike PelfreyP'],Chicago White Sox,,,,,,,,,,,,,,,,,,,,,0,0,,7/22/2017
['David HolmbergP'],Chicago White Sox,,,,,,,,,,,,,,,,,,,,,0,1,,7/22/2017
['Juan MinayaP'],Chicago White Sox,,,,,,,,,,,,,,,,,,,,,0,0,,7/22/2017
['Brad GoldbergP'],Chicago White Sox,,,,,,,,,,,,,,,,,,,,,0,1,,7/22/2017
Team Totals,Chicago White Sox,34,2,8,2,3,3,37,.235,.297,.353,.650,162,99,-0.147,0.79,0.446,-0.592%,-0.01%,0.09,-2.8,24,11,,7/22/2017
['Brett GardnerLF'],New York Yankees,2,1,1,0,2,1,4,.261,.356,.457,.813,24,10,0.041,1.08,0.090,-0.049%,0.04%,1.84,0.7,1,0,,8/5/2017
['Chase Headley1B'],New York Yankees,4,1,1,1,0,2,4,.272,.351,.401,.752,15,12,0.154,1.38,0.257,-0.103%,0.16%,2.35,-0.0,7,1,HR,8/5/2017
['Aaron JudgeRF'],New York Yankees,4,0,1,0,0,2,4,.299,.425,.623,1.048,16,12,-0.053,1.14,0.034,-0.087%,-0.05%,1.94,-0.4,3,0,,8/5/2017
['Didi GregoriusSS'],New York Yankees,4,0,2,1,0,1,4,.304,.330,.503,.833,11,8,0.150,1.07,0.191,-0.041%,0.15%,1.83,1.6,2,2,2·2B,8/5/2017
['Gary SanchezDH'],New York Yankees,3,0,0,0,1,2,4,.265,.339,.488,.827,16,8,-0.089,1.23,0.026,-0.115%,-0.09%,2.09,-1.1,,,,8/5/2017
['Jacoby EllsburyCF'],New York Yankees,4,0,0,0,0,1,4,.241,.322,.347,.670,16,11,-0.219,1.47,0.000,-0.219%,-0.22%,2.51,-2.0,1,0,GDP,8/5/2017
['Todd Frazier3B'],New York Yankees,3,0,0,0,1,2,4,.205,.328,.414,.742,17,10,-0.066,0.82,0.010,-0.077%,-0.07%,1.41,-0.5,1,1,,8/5/2017
['Ronald Torreyes2B'],New York Yankees,4,0,0,0,0,3,4,.284,.303,.369,.672,16,13,-0.098,0.93,0.000,-0.098%,-0.10%,1.58,-0.9,1,2,,8/5/2017
['Austin RomineC'],New York Yankees,3,0,0,0,0,1,3,.226,.289,.304,.592,13,10,-0.055,0.69,0.000,-0.055%,-0.06%,1.18,-0.4,10,2,,8/5/2017
[''],New York Yankees,,,,,,,,,,,,,,,,,,,,,,,,8/5/2017
['Jordan MontgomeryP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,0,0,,8/5/2017
['David RobertsonP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,1,0,,8/5/2017
['Dellin BetancesP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,0,0,,8/5/2017
['Aroldis ChapmanP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,0,0,,8/5/2017
Team Totals,New York Yankees,31,2,5,2,4,15,35,.161,.257,.323,.580,144,94,-0.235,1.10,0.608,-0.844%,-0.24%,1.88,-3.0,27,8,,8/5/2017
['Brett GardnerLF'],New York Yankees,4,0,0,0,0,1,4,.265,.350,.424,.774,17,10,-0.100,0.79,0.000,-0.100%,-0.02%,0.27,-1.2,4,0,,9/23/2017
['Aaron JudgeRF'],New York Yankees,4,0,1,0,0,2,4,.279,.415,.599,1.014,17,12,0.013,0.57,0.051,-0.038%,0.00%,0.20,-0.1,4,0,2B,9/23/2017
['Gary SanchezC'],New York Yankees,3,1,1,0,1,0,4,.279,.346,.534,.880,11,7,0.014,0.66,0.038,-0.024%,0.00%,0.23,0.6,8,0,2B,9/23/2017
['Didi GregoriusSS'],New York Yankees,4,0,0,0,0,0,4,.287,.320,.487,.807,13,10,-0.153,1.01,0.000,-0.153%,-0.03%,0.35,-1.8,1,2,,9/23/2017
['Chase HeadleyDH'],New York Yankees,2,1,1,0,2,0,4,.278,.358,.416,.774,19,8,0.094,0.96,0.111,-0.017%,0.02%,0.33,0.9,,,SB,9/23/2017
['Jacoby EllsburyCF'],New York Yankees,4,0,1,0,0,1,4,.269,.356,.413,.769,18,10,-0.132,0.92,0.017,-0.149%,-0.03%,0.32,-1.6,3,0,"CS,GDP",9/23/2017
['Starlin Castro2B'],New York Yankees,3,1,1,1,1,1,4,.295,.333,.443,.775,16,9,0.015,0.84,0.049,-0.035%,0.00%,0.29,0.8,2,0,,9/23/2017
['Greg Bird1B'],New York Yankees,4,1,1,3,0,2,4,.167,.269,.349,.618,13,9,0.274,1.04,0.309,-0.036%,0.06%,0.35,1.5,5,0,HR,9/23/2017
['Todd Frazier3B'],New York Yankees,2,1,1,1,1,0,3,.214,.347,.438,.785,11,3,0.081,0.47,0.093,-0.012%,0.02%,0.16,1.2,0,2,HR,9/23/2017
[''],New York Yankees,,,,,,,,,,,,,,,,,,,,,,,,9/23/2017
['Sonny GrayP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,0,2,,9/23/2017
['Chad GreenP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,0,0,,9/23/2017
['David RobertsonP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,0,0,,9/23/2017
['Aroldis ChapmanP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,0,0,,9/23/2017
Team Totals,New York Yankees,30,5,7,5,5,7,35,.233,.343,.500,.843,135,78,0.106,0.82,0.668,-0.564%,0.02%,0.28,0.2,27,6,,9/23/2017
['Jon JayCF'],Chicago Cubs,4,0,2,0,0,0,4,.295,.376,.375,.751,13,9,0.014,0.66,0.050,-0.036%,0%,0.03,-0.2,3,0,,9/27/2017
['Pedro StropP'],Chicago Cubs,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/27/2017
['Hector RondonP'],Chicago Cubs,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/27/2017
['Brian DuensingP'],Chicago Cubs,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/27/2017
['Carl Edwards Jr.P'],Chicago Cubs,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/27/2017
['Wade DavisP'],Chicago Cubs,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/27/2017
['Kris Bryant3B'],Chicago Cubs,3,0,0,0,1,0,4,.295,.410,.539,.949,5,4,-0.116,0.84,0.001,-0.117%,-0.00%,0.04,-1.0,0,1,"GDP,IW",9/27/2017
['Anthony Rizzo1B'],Chicago Cubs,3,1,1,0,0,1,4,.274,.394,.510,.904,12,8,0.021,0.95,0.082,-0.061%,0.00%,0.04,-1.3,4,2,"HBP,GDP",9/27/2017
['Ben ZobristLF'],Chicago Cubs,4,1,1,0,0,0,4,.238,.323,.384,.707,15,9,0.124,1.14,0.170,-0.046%,0.00%,0.06,0.3,3,0,,9/27/2017
['Addison RussellSS'],Chicago Cubs,4,1,1,3,0,1,4,.242,.308,.424,.732,15,8,0.232,1.13,0.272,-0.040%,0.01%,0.05,1.1,2,1,HR,9/27/2017
['Javier Baez2B'],Chicago Cubs,4,1,1,0,0,2,4,.273,.317,.481,.797,11,10,-0.008,0.65,0.043,-0.051%,0%,0.03,0.1,1,3,2B,9/27/2017
['Jason HeywardRF'],Chicago Cubs,4,1,1,1,0,0,4,.259,.327,.390,.717,11,8,0.025,0.54,0.061,-0.035%,0.00%,0.03,0.5,4,0,2B,9/27/2017
['Rene RiveraC'],Chicago Cubs,3,0,0,0,1,3,4,.248,.302,.416,.718,15,11,-0.035,0.52,0.008,-0.043%,-0.00%,0.03,-0.1,7,0,,9/27/2017
['John LackeyP'],Chicago Cubs,2,0,0,0,0,2,2,.132,.179,.151,.330,7,6,-0.056,1.09,0.000,-0.056%,-0.00%,0.05,-0.4,2,0,,9/27/2017
['Tommy La StellaPH'],Chicago Cubs,1,0,1,1,0,0,1,.286,.393,.491,.884,3,3,0.043,0.65,0.043,0.000%,0.00%,0.03,1.5,,,2B,9/27/2017
['Leonys MartínCF'],Chicago Cubs,1,0,0,0,0,0,1,.177,.233,.290,.523,6,3,-0.001,0.04,0.000,-0.001%,0%,0.00,-0.1,1,0,,9/27/2017
Team Totals,Chicago Cubs,33,5,8,5,2,9,36,.242,.306,.424,.730,113,79,0.243,0.79,0.730,-0.486%,0.01%,0.04,0.4,27,7,,9/27/2017
['David PeraltaLF'],Arizona Diamondbacks,4,1,0,0,1,2,5,.300,.417,.433,.850,18,11,-0.066,0.97,0.036,-0.102%,-0.05%,1.11,-0.6,0,0,,4/7/2018
['Ketel MarteSS-2B'],Arizona Diamondbacks,5,0,1,0,0,1,5,.206,.229,.353,.582,22,16,-0.080,0.90,0.025,-0.105%,-0.06%,1.04,-0.9,1,1,2B,4/7/2018
['Paul Goldschmidt1B'],Arizona Diamondbacks,4,1,1,0,1,2,5,.115,.378,.154,.532,21,13,0.055,1.02,0.115,-0.060%,0.04%,1.18,0.6,5,0,,4/7/2018
['AJ PollockCF'],Arizona Diamondbacks,3,1,2,1,1,0,4,.323,.417,.581,.997,16,8,0.171,1.47,0.246,-0.075%,0.12%,1.70,1.5,4,0,"2B,GDP",4/7/2018
['Daniel Descalso3B'],Arizona Diamondbacks,3,0,0,0,1,0,4,.211,.348,.474,.822,14,7,-0.072,1.56,0.027,-0.099%,-0.05%,1.79,-0.4,0,2,,4/7/2018
['Chris Owings2B-RF'],Arizona Diamondbacks,4,0,1,2,0,2,4,.400,.464,.600,1.064,14,10,-0.006,1.68,0.112,-0.118%,-0.00%,1.94,0.1,3,1,,4/7/2018
['Jarrod DysonRF'],Arizona Diamondbacks,3,0,0,0,0,1,3,.188,.278,.375,.653,10,6,-0.100,1.31,0.000,-0.100%,-0.07%,1.52,-1.1,2,0,,4/7/2018
['Matt KochP'],Arizona Diamondbacks,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,4/7/2018
['Alex AvilaPH'],Arizona Diamondbacks,0,0,0,0,1,0,1,.125,.300,.125,.425,4,0,0.027,1.46,0.027,0.000%,0.02%,1.69,0.1,,,,4/7/2018
['Fernando SalasP'],Arizona Diamondbacks,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,4/7/2018
['Jeff MathisC'],Arizona Diamondbacks,3,0,0,0,1,2,4,.125,.364,.125,.489,18,9,-0.061,1.20,0.038,-0.099%,-0.04%,1.38,-0.4,9,0,,4/7/2018
['Zack GreinkeP'],Arizona Diamondbacks,0,0,0,0,1,0,2,.000,.333,.000,.333,6,1,0.023,1.13,0.044,-0.021%,0.01%,1.31,0.2,0,0,SH,4/7/2018
['Nick AhmedSS'],Arizona Diamondbacks,2,0,0,0,0,2,2,.421,.476,.737,1.213,10,7,-0.058,1.16,0.000,-0.058%,-0.04%,1.34,-0.4,0,2,,4/7/2018
Team Totals,Arizona Diamondbacks,31,3,5,3,7,12,39,.161,.316,.226,.542,153,88,-0.167,1.23,0.670,-0.837%,-0.12%,1.42,-1.2,24,6,,4/7/2018
['David PeraltaLF'],Arizona Diamondbacks,4,1,2,2,0,1,4,.324,.425,.529,.954,20,13,0.302,1.46,0.349,-0.047%,0.20%,1.62,1.6,5,0,HR,4/8/2018
['Ketel Marte2B'],Arizona Diamondbacks,4,0,1,0,0,0,4,.211,.231,.342,.573,22,14,-0.025,0.88,0.018,-0.043%,-0.02%,0.97,-0.4,2,4,,4/8/2018
['Paul Goldschmidt1B'],Arizona Diamondbacks,4,0,0,0,0,2,4,.100,.341,.133,.475,21,13,-0.135,1.06,0.000,-0.135%,-0.09%,1.18,-1.0,7,0,,4/8/2018
['AJ PollockCF'],Arizona Diamondbacks,4,2,2,1,0,1,4,.343,.425,.657,1.082,17,8,0.084,1.29,0.153,-0.069%,0.06%,1.42,0.8,1,0,"HR,SB",4/8/2018
['Daniel Descalso3B'],Arizona Diamondbacks,4,0,0,0,0,2,4,.174,.296,.391,.688,15,9,-0.116,1.10,0.000,-0.116%,-0.08%,1.22,-0.8,0,2,,4/8/2018
['Alex AvilaC'],Arizona Diamondbacks,2,0,0,0,0,1,2,.111,.273,.111,.384,8,5,-0.032,0.64,0.000,-0.032%,-0.02%,0.70,-0.2,3,0,,4/8/2018
['Christian WalkerPH'],Arizona Diamondbacks,0,0,0,0,1,0,1,,1.000,,,6,2,0.019,2.30,0.019,0.000%,0.01%,2.55,0.1,,,,4/8/2018
['John Ryan MurphyC'],Arizona Diamondbacks,1,0,0,0,0,0,1,.182,.182,.455,.636,6,3,-0.003,0.12,0.000,-0.003%,-0.00%,0.13,-0.2,3,0,,4/8/2018
['Nick AhmedSS'],Arizona Diamondbacks,3,0,1,1,1,1,4,.409,.480,.682,1.162,19,11,0.205,1.23,0.232,-0.027%,0.14%,1.36,0.8,1,2,,4/8/2018
['Jarrod DysonRF'],Arizona Diamondbacks,4,0,0,0,0,0,4,.150,.227,.300,.527,10,8,-0.137,1.27,0.000,-0.137%,-0.09%,1.41,-0.9,5,0,,4/8/2018
['Taijuan WalkerP'],Arizona Diamondbacks,2,0,0,0,0,1,2,.000,.000,.000,.000,9,7,-0.048,0.95,0.000,-0.048%,-0.03%,1.06,-0.3,0,1,,4/8/2018
['Yoshihisa HiranoP'],Arizona Diamondbacks,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,4/8/2018
['Chris OwingsPH'],Arizona Diamondbacks,1,1,1,0,0,0,1,.423,.483,.615,1.098,4,2,0.069,1.83,0.069,0.000%,0.05%,2.03,0.4,,,,4/8/2018
['Archie BradleyP'],Arizona Diamondbacks,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,4/8/2018
['Brad BoxbergerP'],Arizona Diamondbacks,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,4/8/2018
Team Totals,Arizona Diamondbacks,33,4,7,4,2,9,35,.212,.257,.394,.651,157,95,0.183,1.16,0.840,-0.657%,0.12%,1.29,-0.2,27,9,,4/8/2018
['Craig GentryLF-CF'],Baltimore Orioles,6,1,2,1,0,0,7,.246,.308,.303,.612,36,23,-0.116,1.21,0.129,-0.244%,0%,0.00,0.2,4,0,"CS,HBP,GDP",6/22/2018
['Adam JonesCF'],Baltimore Orioles,5,1,1,0,0,1,5,.291,.314,.449,.763,25,15,0.020,0.73,0.075,-0.054%,0%,0.00,-0.5,2,0,,6/22/2018
"[""Darren O'DayP""]",Baltimore Orioles,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/22/2018
['Austin WynnsC'],Baltimore Orioles,1,0,0,0,0,1,2,.217,.217,.348,.565,5,4,-0.066,2.62,0.000,-0.066%,0%,0.00,-0.4,2,0,SH,6/22/2018
['Manny MachadoSS'],Baltimore Orioles,5,2,2,2,2,0,7,.305,.374,.561,.935,34,21,0.753,2.07,0.814,-0.061%,0%,0.00,3.1,1,6,"HR,SB",6/22/2018
['Mark TrumboRF'],Baltimore Orioles,4,0,1,0,0,1,4,.261,.315,.444,.760,11,9,-0.184,1.91,0.000,-0.184%,0%,0.00,-1.3,1,0,,6/22/2018
['Zack BrittonP'],Baltimore Orioles,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/22/2018
['Colby RasmusRF'],Baltimore Orioles,3,1,1,0,0,2,3,.148,.207,.296,.503,13,8,-0.163,1.73,0.008,-0.171%,0%,0.00,-0.4,3,0,,6/22/2018
['Danny Valencia3B'],Baltimore Orioles,3,0,2,1,1,1,4,.290,.358,.465,.822,19,11,0.147,1.74,0.181,-0.034%,0%,0.00,1.3,0,1,,6/22/2018
['Jace PetersonPR-RF-LF'],Baltimore Orioles,3,1,0,0,0,1,3,.203,.321,.339,.660,17,10,-0.238,2.21,0.000,-0.238%,0%,0.00,-0.9,1,1,,6/22/2018
['Jonathan Schoop2B'],Baltimore Orioles,7,1,2,2,0,0,7,.212,.257,.365,.622,18,13,0.193,2.28,0.481,-0.288%,0%,0.00,0.7,1,6,"2B,GDP",6/22/2018
['Chris Davis1B'],Baltimore Orioles,4,1,1,2,2,1,7,.152,.233,.242,.475,28,14,0.151,1.68,0.279,-0.129%,0%,0.00,0.8,18,1,"HR,SF,IW",6/22/2018
['Caleb JosephC'],Baltimore Orioles,5,1,2,1,0,0,5,.185,.211,.326,.537,17,9,0.050,1.45,0.161,-0.112%,0%,0.00,0.6,10,1,2B,6/22/2018
['Miguel CastroP'],Baltimore Orioles,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,,6/22/2018
['Andrew CashnerPH'],Baltimore Orioles,1,0,0,0,0,0,1,.000,.000,.000,.000,2,1,-0.044,1.78,0.000,-0.044%,0%,0.00,-0.2,,,,6/22/2018
['Mike Wright Jr.P'],Baltimore Orioles,1,0,0,0,0,0,1,.000,.000,.000,.000,7,5,-0.006,0.24,0.000,-0.006%,0%,0.00,-0.4,0,2,,6/22/2018
['Alex CobbP'],Baltimore Orioles,2,0,0,0,0,1,2,.000,.000,.000,.000,6,6,-0.042,0.83,0.000,-0.042%,0%,0.00,-0.4,0,0,,6/22/2018
['Trey ManciniPH'],Baltimore Orioles,1,0,0,0,0,1,1,.219,.291,.361,.652,5,4,-0.066,2.84,0.000,-0.066%,0%,0.00,-0.4,,,,6/22/2018
['Tanner ScottP'],Baltimore Orioles,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/22/2018
['Brad BrachP'],Baltimore Orioles,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/22/2018
['Stevie WilkersonPH-3B'],Baltimore Orioles,3,1,1,1,0,1,3,.200,.333,.200,.533,9,6,-0.024,1.01,0.042,-0.066%,0%,0.00,0.8,1,1,,6/22/2018
Team Totals,Baltimore Orioles,54,10,15,10,5,11,62,.278,.344,.426,.770,252,159,0.365,1.66,2.170,-1.805%,0.00%,0.00,2.7,45,19,,6/22/2018
['Trea TurnerSS'],Washington Nationals,5,0,2,0,0,0,5,.267,.338,.412,.750,17,11,0.064,1.05,0.132,-0.068%,0.03%,0.95,0.8,3,3,2·SB,7/28/2018
['Bryce HarperRF-1B'],Washington Nationals,2,1,0,0,1,1,4,.218,.365,.473,.839,20,9,0.107,1.78,0.175,-0.069%,0.06%,1.61,0.1,3,0,HBP,7/28/2018
['Ryan Zimmerman1B'],Washington Nationals,4,0,1,0,0,1,4,.226,.285,.414,.698,16,9,-0.056,2.55,0.165,-0.221%,-0.03%,2.31,-1.0,5,1,GDP,7/28/2018
['Matt ReynoldsPR-3B'],Washington Nationals,0,0,0,0,0,0,0,.154,.214,.154,.368,,,,,,,,,,0,0,,7/28/2018
['Juan SotoLF'],Washington Nationals,4,0,1,0,0,0,4,.314,.420,.575,.995,19,13,-0.112,2.03,0.028,-0.140%,-0.06%,1.84,-0.6,5,0,,7/28/2018
['Daniel Murphy2B'],Washington Nationals,3,0,1,1,1,1,4,.278,.331,.383,.713,18,10,0.297,2.93,0.367,-0.070%,0.16%,2.66,1.0,2,1,SB,7/28/2018
['Mark Reynolds3B-1B-RF'],Washington Nationals,3,0,0,0,1,2,4,.271,.360,.527,.887,21,11,-0.228,2.26,0.024,-0.253%,-0.12%,2.05,-1.1,1,3,,7/28/2018
['Michael A. TaylorCF'],Washington Nationals,4,0,0,0,0,1,4,.235,.296,.365,.661,12,8,-0.258,2.17,0.000,-0.258%,-0.14%,1.97,-1.4,0,1,GDP,7/28/2018
['Matt WietersC'],Washington Nationals,2,0,0,0,0,1,2,.196,.295,.308,.603,9,5,-0.039,0.78,0.000,-0.039%,-0.02%,0.70,-0.3,5,0,,7/28/2018
['Adam EatonPH'],Washington Nationals,1,0,0,0,0,0,1,.312,.404,.416,.820,7,4,-0.053,2.14,0.000,-0.053%,-0.03%,1.94,-0.2,,,,7/28/2018
['Brandon KintzlerP'],Washington Nationals,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,,7/28/2018
['Ryan MadsonP'],Washington Nationals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/28/2018
['Wilmer DifoPH'],Washington Nationals,1,0,0,0,0,1,1,.239,.299,.338,.637,3,3,-0.056,2.25,0.000,-0.056%,-0.03%,2.04,-0.2,,,,7/28/2018
['Kelvin HerreraP'],Washington Nationals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/28/2018
['Gio GonzalezP'],Washington Nationals,2,0,0,0,0,1,2,.057,.057,.086,.143,9,6,-0.053,1.08,0.000,-0.053%,-0.03%,0.97,-0.4,0,0,,7/28/2018
['Matt AdamsPH'],Washington Nationals,1,0,0,0,0,0,1,.286,.362,.552,.914,7,5,-0.037,1.53,0.000,-0.037%,-0.02%,1.39,-0.1,,,,7/28/2018
['Spencer KieboomC'],Washington Nationals,1,0,0,0,0,0,1,.226,.290,.258,.548,4,2,-0.041,1.71,0.000,-0.041%,-0.02%,1.55,-0.1,2,0,,7/28/2018
Team Totals,Washington Nationals,33,1,5,1,3,9,37,.152,.243,.152,.395,162,96,-0.465,1.92,0.891,-1.358%,-0.25%,1.74,-3.5,27,9,,7/28/2018
['Amed RosarioSS'],New York Mets,5,0,1,0,0,0,5,.235,.277,.350,.627,25,18,-0.149,1.22,0.025,-0.174%,0%,0.00,-1.0,2,3,2B,8/11/2018
['Jeff McNeil2B'],New York Mets,5,0,0,0,0,0,5,.260,.362,.420,.782,16,12,-0.126,1.04,0.000,-0.126%,0%,0.00,-0.8,1,3,,8/11/2018
