,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Mauricio CabreraP'],Atlanta Braves,,,,,,,,,,,,,,,,,,,,,0,0,,7/26/2016
['Hunter CervenkaP'],Atlanta Braves,,,,,,,,,,,,,,,,,,,,,0,0,,7/26/2016
['Chris WithrowP'],Atlanta Braves,,,,,,,,,,,,,,,,,,,,,0,0,,7/26/2016
['Jim JohnsonP'],Atlanta Braves,,,,,,,,,,,,,,,,,,,,,0,0,,7/26/2016
Team Totals,Atlanta Braves,33,2,7,1,0,5,33,.212,.212,.333,.545,97,63,-0.129,0.61,0.289,-0.419%,0.00%,0.00,-2.6,27,8,,7/26/2016
"[""Shawn O'MalleySS""]",Seattle Mariners,5,0,2,1,0,1,5,.236,.306,.309,.615,14,10,0.023,0.57,0.052,-0.029%,0.01%,0.56,0.9,2,2,SB,7/29/2016
['Franklin GutierrezLF'],Seattle Mariners,4,0,1,0,1,1,5,.244,.328,.463,.791,23,13,-0.039,0.41,0.009,-0.048%,-0.02%,0.40,-0.2,3,0,SB,7/29/2016
['Robinson Canó2B'],Seattle Mariners,4,0,2,0,1,0,5,.303,.362,.528,.890,21,10,0.019,0.40,0.031,-0.013%,0.01%,0.39,-0.5,0,2,,7/29/2016
['Nelson CruzRF'],Seattle Mariners,2,0,0,0,1,1,3,.284,.369,.537,.906,14,6,-0.035,1.02,0.019,-0.054%,-0.02%,0.99,-0.5,0,0,,7/29/2016
['Guillermo HerediaRF'],Seattle Mariners,1,0,0,0,0,1,1,.000,.000,.000,.000,4,3,0.000,0.00,0.000,0.000%,0%,0.00,-0.3,1,0,,7/29/2016
['Kyle Seager3B'],Seattle Mariners,4,0,0,0,0,1,4,.284,.359,.526,.885,9,7,-0.087,0.85,0.000,-0.087%,-0.05%,0.82,-1.3,1,2,,7/29/2016
['Dae-ho Lee1B'],Seattle Mariners,3,0,0,0,0,1,3,.262,.309,.461,.770,11,7,-0.039,0.51,0.000,-0.039%,-0.02%,0.50,-0.6,4,0,,7/29/2016
['Vidal Nuno IIIP'],Seattle Mariners,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/29/2016
['Tom WilhelmsenP'],Seattle Mariners,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/29/2016
['Adam Lind1B'],Seattle Mariners,1,0,0,0,0,0,1,.231,.265,.442,.708,3,1,0.000,0.00,0.000,0.000%,0%,0.00,-0.2,2,0,,7/29/2016
['Leonys MartínCF'],Seattle Mariners,4,1,2,0,0,1,4,.247,.322,.422,.745,20,14,0.035,0.24,0.043,-0.008%,0.02%,0.23,0.3,4,0,2B,7/29/2016
['Chris IannettaC'],Seattle Mariners,3,0,1,0,1,1,4,.215,.313,.346,.659,17,8,-0.040,0.36,0.000,-0.041%,-0.02%,0.36,0.2,6,0,,7/29/2016
['Hisashi IwakumaP'],Seattle Mariners,1,0,0,0,0,0,1,.000,.000,.000,.000,2,2,-0.034,1.20,0.000,-0.034%,-0.02%,1.17,-0.3,0,2,,7/29/2016
['Nate KarnsP'],Seattle Mariners,1,0,0,0,0,0,1,.000,.000,.000,.000,3,2,-0.012,0.46,0.000,-0.012%,-0.01%,0.45,-0.2,0,0,,7/29/2016
['Luis Sardinas1B-P'],Seattle Mariners,2,0,0,0,0,1,2,.182,.206,.273,.479,5,4,0.000,0.01,0.000,0.000%,0%,0.01,-0.8,1,2,,7/29/2016
Team Totals,Seattle Mariners,35,1,8,1,4,9,39,.229,.308,.257,.565,146,87,-0.209,0.46,0.154,-0.365%,-0.12%,0.45,-3.5,24,10,,7/29/2016
['Ender InciarteCF'],Atlanta Braves,5,1,1,0,0,1,5,.268,.326,.344,.670,18,13,0.020,0.43,0.053,-0.033%,0%,0.00,0.1,4,0,,8/7/2016
['Erick AybarSS'],Atlanta Braves,5,1,1,2,0,0,5,.234,.291,.297,.588,8,8,0.046,0.35,0.069,-0.023%,0%,0.00,0.9,0,2,3B,8/7/2016
['Freddie Freeman1B'],Atlanta Braves,3,1,0,0,2,1,5,.278,.366,.506,.872,31,17,0.015,0.18,0.020,-0.006%,0%,0.00,0.2,5,0,,8/7/2016
['Matt KempLF'],Atlanta Braves,4,1,2,1,0,0,4,.258,.284,.485,.769,18,15,0.032,0.28,0.038,-0.006%,0%,0.00,0.0,0,0,2B,8/7/2016
['Nick MarkakisRF'],Atlanta Braves,3,1,2,2,1,0,4,.272,.348,.381,.729,16,7,0.169,0.61,0.173,-0.004%,0%,0.00,2.0,5,0,,8/7/2016
['Adonis Garcia3B'],Atlanta Braves,4,0,1,0,0,0,4,.271,.311,.409,.720,18,13,-0.006,0.33,0.020,-0.026%,0%,0.00,-1.4,0,3,2·GDP,8/7/2016
['Jace Peterson2B'],Atlanta Braves,4,0,1,1,0,0,4,.268,.358,.380,.738,16,13,0.070,0.42,0.079,-0.009%,0%,0.00,0.4,4,2,,8/7/2016
['Anthony ReckerC'],Atlanta Braves,4,0,2,0,0,1,4,.371,.439,.514,.953,12,9,-0.028,0.33,0.005,-0.033%,0%,0.00,-0.3,9,0,,8/7/2016
['Mike FoltynewiczP'],Atlanta Braves,3,1,1,0,0,1,3,.158,.200,.158,.358,13,10,0.014,0.26,0.021,-0.007%,0%,0.00,-0.0,0,0,,8/7/2016
['Ian KrolP'],Atlanta Braves,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,8/7/2016
['Jeff FrancoeurPH'],Atlanta Braves,1,0,0,0,0,1,1,.248,.286,.388,.674,4,3,-0.002,0.07,0.000,-0.002%,0%,0.00,-0.2,,,,8/7/2016
['Madison YounginerP'],Atlanta Braves,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/7/2016
"[""Eric O'FlahertyP""]",Atlanta Braves,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/7/2016
['Jim JohnsonP'],Atlanta Braves,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/7/2016
Team Totals,Atlanta Braves,36,6,11,6,3,5,39,.306,.359,.389,.748,154,108,0.330,0.35,0.478,-0.149%,0.00%,0.00,1.6,27,7,,8/7/2016
['Matt Carpenter1B'],St. Louis Cardinals,3,0,0,0,1,1,4,.280,.393,.521,.913,15,9,-0.040,0.96,0.034,-0.075%,-0.03%,1.20,-0.2,7,0,,9/3/2016
['Jedd GyorkoSS'],St. Louis Cardinals,3,1,1,1,1,0,4,.244,.304,.506,.811,12,7,0.039,0.84,0.125,-0.086%,0.03%,1.05,0.2,2,5,"HR,GDP",9/3/2016
['Brandon MossLF'],St. Louis Cardinals,2,0,0,0,2,1,4,.256,.332,.552,.883,19,10,0.012,1.01,0.072,-0.060%,0.01%,1.25,0.1,1,0,,9/3/2016
['Stephen PiscottyRF'],St. Louis Cardinals,4,0,2,0,0,0,4,.275,.348,.466,.814,10,8,-0.016,1.11,0.061,-0.078%,-0.01%,1.38,0.0,0,0,,9/3/2016
['Randal GrichukCF'],St. Louis Cardinals,4,0,1,0,0,2,4,.230,.282,.484,.766,17,12,-0.040,1.43,0.074,-0.114%,-0.03%,1.77,-0.4,3,0,2B,9/3/2016
['Jhonny Peralta3B'],St. Louis Cardinals,3,0,0,0,1,2,4,.242,.286,.393,.680,13,7,-0.086,1.20,0.032,-0.118%,-0.06%,1.48,-1.0,1,3,GDP,9/3/2016
['Greg Garcia2B'],St. Louis Cardinals,1,0,1,0,3,0,4,.275,.392,.381,.773,17,5,0.096,1.21,0.096,0.000%,0.07%,1.50,1.2,0,1,,9/3/2016
['Alberto RosarioC'],St. Louis Cardinals,4,0,0,0,0,0,4,.200,.243,.257,.500,11,9,-0.253,2.06,0.000,-0.253%,-0.19%,2.56,-2.8,9,3,GDP,9/3/2016
['Jaime GarciaP'],St. Louis Cardinals,2,0,0,0,0,2,2,.179,.214,.179,.394,10,6,-0.052,0.97,0.000,-0.052%,-0.04%,1.21,-0.5,1,0,,9/3/2016
['Jeremy HazelbakerPH'],St. Louis Cardinals,1,0,0,0,0,1,1,.244,.307,.494,.801,4,3,-0.044,1.73,0.000,-0.044%,-0.03%,2.15,-0.2,,,,9/3/2016
['Miguel SocolovichP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/3/2016
['Dean KiekheferP'],St. Louis Cardinals,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/3/2016
['Jonathan BroxtonP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/3/2016
['Jerome WilliamsP'],St. Louis Cardinals,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/3/2016
['Tommy PhamPH'],St. Louis Cardinals,1,0,0,0,0,1,1,.232,.335,.472,.807,4,3,0.000,0.00,0.000,0.000%,0%,0.00,-0.1,,,,9/3/2016
Team Totals,St. Louis Cardinals,28,1,5,1,8,10,36,.179,.361,.321,.683,132,79,-0.384,1.19,0.494,-0.880%,-0.29%,1.48,-3.5,24,12,,9/3/2016
['Adam FrazierLF'],Pittsburgh Pirates,5,2,3,0,0,0,5,.351,.403,.491,.894,23,17,0.152,0.82,0.169,-0.017%,0.02%,0.15,1.3,0,0,2B,9/20/2016
['Josh Bell1B'],Pittsburgh Pirates,3,1,1,2,1,0,4,.312,.416,.462,.878,19,10,0.043,1.22,0.129,-0.086%,0.01%,0.23,0.1,6,0,GDP,9/20/2016
['Wade LeBlancP'],Pittsburgh Pirates,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/20/2016
['Juan NicasioP'],Pittsburgh Pirates,0,0,0,0,0,0,0,.158,.158,.158,.316,,,,,,,,,,0,0,,9/20/2016
['Antonio BastardoP'],Pittsburgh Pirates,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/20/2016
['Matt JoycePH'],Pittsburgh Pirates,1,0,0,0,0,1,1,.245,.405,.476,.881,5,3,-0.003,0.10,0.000,-0.003%,0%,0.02,-0.2,,,,9/20/2016
['Tony WatsonP'],Pittsburgh Pirates,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/20/2016
['Andrew McCutchenCF'],Pittsburgh Pirates,5,0,2,2,0,1,5,.254,.334,.428,.762,17,12,0.151,0.68,0.171,-0.020%,0.02%,0.13,1.8,2,0,2B,9/20/2016
['Gregory PolancoRF'],Pittsburgh Pirates,4,0,1,0,0,0,4,.260,.325,.475,.800,16,8,-0.064,0.69,0.018,-0.081%,-0.01%,0.13,-0.8,1,0,SB,9/20/2016
['Jung Ho Kang3B'],Pittsburgh Pirates,4,0,0,0,0,2,4,.259,.353,.517,.871,19,12,-0.103,0.78,0.000,-0.103%,-0.01%,0.15,-1.8,1,4,GDP,9/20/2016
['Francisco CervelliC'],Pittsburgh Pirates,4,2,2,0,0,1,4,.265,.378,.310,.689,13,10,0.009,0.63,0.049,-0.040%,0.00%,0.12,-0.0,11,0,2B,9/20/2016
['Sean Rodriguez2B'],Pittsburgh Pirates,3,0,1,0,1,2,4,.266,.350,.521,.871,19,11,0.051,0.80,0.075,-0.024%,0.01%,0.15,0.6,3,4,,9/20/2016
