,Team,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Date
Nate Karns,Seattle Mariners,2,3,5,5,3,2,1,5.15,12,58,30,13,5,12,3,4,0,0,,0,0,-0.007,0.12,-0.00%,0.12,-3.6,7/29/2016
Vidal Nuno III,Seattle Mariners,1,2,1,1,0,1,0,3.23,5,18,14,8,2,4,0,4,2,0,,1,1,-0.001,0.01,0.00%,0.01,-0.9,7/29/2016
Tom Wilhelmsen,Seattle Mariners,1,1,1,1,2,0,0,7.92,5,23,12,8,3,1,2,1,0,0,,0,0,0.000,0.00,0.00%,0.00,-0.5,7/29/2016
Luis Sardiñas,Seattle Mariners,1,0,0,0,0,0,0,0.00,3,8,6,4,0,2,2,1,0,0,,0,0,0.000,0.00,0.00%,0.00,0.5,7/29/2016
Seattle Mariners Totals,Seattle Mariners,8,14,12,12,6,5,2,13.50,43,167,102,57,16,29,13,19,8,0,24,1,1,-0.289,0.40,-0.17%,0.39,-8.0,7/29/2016
"Mike Foltynewicz, W (5-5)",Atlanta Braves,6,6,1,1,2,4,0,4.37,26,105,66,41,9,16,6,13,6,0,58,,,0.124,0.71,0.00%,0.00,1.9,8/7/2016
Ian Krol,Atlanta Braves,1,0,0,0,0,2,0,2.62,3,15,12,6,1,5,1,0,0,0,,0,0,0.019,0.24,0.00%,0.00,0.5,8/7/2016
Madison Younginer,Atlanta Braves,0.2,3,2,2,0,0,0,27.00,5,19,14,10,0,4,2,3,2,0,,0,0,-0.033,0.31,0.00%,0.00,-1.7,8/7/2016
"Eric O'Flaherty, H (3)",Atlanta Braves,0.1,0,0,0,1,0,0,6.48,2,12,5,1,2,2,1,0,0,0,,1,0,0.021,1.16,0.00%,0.00,0.2,8/7/2016
"Jim Johnson, S (8)",Atlanta Braves,1,0,0,0,0,2,0,3.70,3,10,9,3,3,3,0,1,0,0,,0,0,0.039,0.51,0.00%,0.00,0.5,8/7/2016
Atlanta Braves Totals,Atlanta Braves,9,9,3,3,3,8,0,3.00,39,161,106,61,15,30,10,17,8,0,58,1,0,0.170,0.63,0.00%,0.00,1.4,8/7/2016
"Jaime García, L (10-11)",St. Louis Cardinals,6,6,2,2,4,8,0,4.41,27,93,54,32,6,16,11,5,4,0,56,,,0.050,1.24,0.04%,1.54,1.0,9/3/2016
Miguel Socolovich,St. Louis Cardinals,0.1,1,1,1,0,0,0,2.35,2,8,5,3,1,1,1,1,0,0,,0,0,-0.018,0.94,-0.01%,1.17,-0.2,9/3/2016
Dean Kiekhefer,St. Louis Cardinals,0,2,1,1,1,0,0,5.14,3,8,3,2,0,1,0,2,1,0,,1,1,-0.151,1.43,-0.11%,1.78,-2.5,9/3/2016
Jonathan Broxton,St. Louis Cardinals,0.2,0,0,0,0,1,0,4.59,2,9,8,5,2,1,0,1,0,0,,2,0,0.029,0.45,0.02%,0.56,1.2,9/3/2016
Jerome Williams,St. Louis Cardinals,1,3,5,5,4,0,0,7.43,10,31,14,7,2,5,2,4,3,0,,0,0,-0.026,0.09,-0.02%,0.10,-4.5,9/3/2016
St. Louis Cardinals Totals,St. Louis Cardinals,8,12,9,9,9,9,0,10.12,44,149,84,49,11,24,14,13,8,0,56,3,1,-0.116,0.97,-0.09%,1.21,-5.0,9/3/2016
Steven Brault,Pittsburgh Pirates,4,5,3,3,2,4,1,4.26,20,88,53,28,11,14,9,5,4,0,42,,,-0.152,0.94,-0.02%,0.18,-1.3,9/20/2016
"Jared Hughes, W (1-1)",Pittsburgh Pirates,1,0,0,0,0,1,0,3.05,2,7,5,2,2,1,1,0,0,0,,2,1,0.122,1.47,0.01%,0.28,0.9,9/20/2016
"Wade LeBlanc, H (1)",Pittsburgh Pirates,1,1,0,0,1,0,0,4.02,4,17,9,4,0,5,2,1,1,0,,0,0,0.055,1.72,0.01%,0.33,0.5,9/20/2016
"Juan Nicasio, H (4)",Pittsburgh Pirates,1,0,0,0,0,2,0,4.49,3,10,7,3,2,2,1,0,0,0,,0,0,0.055,0.72,0.01%,0.13,0.5,9/20/2016
"Antonio Bastardo, H (14)",Pittsburgh Pirates,1,1,0,0,0,2,0,3.92,4,15,11,2,2,7,0,2,0,0,,0,0,0.052,0.70,0.01%,0.13,0.5,9/20/2016
"Tony Watson, S (14)",Pittsburgh Pirates,1,0,0,0,0,2,0,3.20,3,12,8,4,2,2,0,1,0,0,,0,0,0.042,0.54,0.01%,0.10,0.5,9/20/2016
Pittsburgh Pirates Totals,Pittsburgh Pirates,9,7,3,3,3,11,1,3.00,36,149,93,43,19,31,13,9,5,0,42,2,1,0.174,0.98,0.02%,0.18,1.6,9/20/2016
Edinson Vólquez,Kansas City Royals,2.2,6,4,4,4,1,1,5.37,17,59,30,20,3,7,5,7,2,0,27,,,-0.142,0.91,0.00%,0.00,-3.3,9/25/2016
Peter Moylan,Kansas City Royals,0.1,0,0,0,0,0,0,3.50,1,1,1,1,0,0,1,0,0,0,,3,0,0.079,3.08,0.00%,0.00,0.8,9/25/2016
"Dillon Gee, W (8-9)",Kansas City Royals,2.2,4,2,2,0,0,0,4.68,12,44,30,17,1,12,6,6,3,0,,0,0,0.031,0.44,0.00%,0.00,0.1,9/25/2016
Brian Flynn,Kansas City Royals,0.1,0,0,0,1,0,0,2.25,2,12,5,5,0,0,0,1,0,0,,2,1,-0.002,0.75,0.00%,0.00,-0.6,9/25/2016
Joakim Soria,Kansas City Royals,1,2,1,1,0,1,1,4.13,5,25,14,8,3,3,1,3,2,0,,0,0,0.002,0.79,0.00%,0.00,-0.5,9/25/2016
Kelvin Herrera,Kansas City Royals,1,3,2,2,0,1,0,2.43,6,21,15,7,3,5,3,2,2,0,,0,0,-0.031,1.30,0.00%,0.00,-1.5,9/25/2016
"Wade Davis, S (26)",Kansas City Royals,1,2,0,0,0,2,0,2.01,5,22,14,7,2,5,1,2,1,0,,0,0,0.042,1.41,0.00%,0.00,0.5,9/25/2016
