,Team,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Date
Kansas City Royals Totals,Kansas City Royals,9,17,9,9,5,5,2,9.00,48,184,109,65,12,32,17,21,10,0,27,5,1,-0.021,0.92,0.00%,0.00,-4.4,9/25/2016
Hyun Jin Ryu,Los Angeles Dodgers,6,3,1,1,1,4,0,3.91,22,,,,,,,,,,65,,,0.203,0.82,0.16%,1.05,2.0,5/31/2017
"Ross Stripling, L (0-3)",Los Angeles Dodgers,2,2,1,1,0,1,1,2.67,7,,,,,,,,,,,0,0,-0.141,1.31,-0.11%,1.68,0.0,5/31/2017
Los Angeles Dodgers Totals,Los Angeles Dodgers,8,5,2,2,1,5,1,2.25,29,,,,,,,,,,65,0,0,0.062,0.94,0.05%,1.20,2.1,5/31/2017
"Brandon McCarthy, L (5-2)",Los Angeles Dodgers,4,7,2,2,1,6,1,3.38,20,85,57,31,8,18,6,7,4,0,45,,,-0.045,0.84,-0.03%,1.09,0.0,6/1/2017
Josh Fields,Los Angeles Dodgers,1,0,0,0,1,1,0,0.81,3,18,12,8,1,3,0,1,0,0,,0,0,0.033,0.74,0.03%,0.95,0.5,6/1/2017
Sergio Romo,Los Angeles Dodgers,0.2,1,0,0,0,1,0,6.27,3,12,9,5,2,2,0,2,1,0,,0,0,0.016,0.53,0.01%,0.68,0.3,6/1/2017
Grant Dayton,Los Angeles Dodgers,1.1,0,0,0,0,0,0,4.73,4,16,11,8,1,2,2,2,1,0,,1,0,0.038,0.36,0.03%,0.46,0.7,6/1/2017
Brandon Morrow,Los Angeles Dodgers,1,1,0,0,0,2,0,0.00,4,18,13,7,3,3,1,1,1,0,,0,0,0.014,0.34,0.01%,0.44,0.5,6/1/2017
Los Angeles Dodgers Totals,Los Angeles Dodgers,8,9,2,2,2,10,1,2.25,34,149,102,59,15,28,9,13,7,0,45,1,0,0.056,0.69,0.04%,0.90,2.1,6/1/2017
Michael Wacha,St. Louis Cardinals,4.1,6,6,6,4,5,2,4.67,22,74,47,26,5,16,5,8,2,0,28,,,-0.489,0.84,-0.37%,1.06,-3.9,6/4/2017
Tyler Lyons,St. Louis Cardinals,0.2,0,0,0,0,0,0,4.50,2,9,5,2,1,2,2,0,0,0,,1,0,0.036,0.80,0.03%,1.01,0.6,6/4/2017
Brett Cecil,St. Louis Cardinals,1,0,0,0,1,1,0,4.05,4,16,8,4,2,2,1,1,0,0,,0,0,0.077,1.07,0.06%,1.36,0.5,6/4/2017
"Matt Bowman, L (1-2)",St. Louis Cardinals,1,3,1,1,0,0,0,4.91,5,14,10,8,1,1,2,3,3,0,,0,0,-0.150,1.81,-0.11%,2.30,-0.5,6/4/2017
Trevor Rosenthal,St. Louis Cardinals,1,0,0,0,1,3,0,2.53,4,24,13,5,8,0,0,0,0,0,,0,0,0.033,0.46,0.03%,0.59,0.5,6/4/2017
St. Louis Cardinals Totals,St. Louis Cardinals,8,9,7,7,6,9,2,7.88,37,137,83,45,17,21,10,12,5,0,28,1,0,-0.493,0.95,-0.37%,1.21,-2.7,6/4/2017
Carlos Martínez,St. Louis Cardinals,7,5,2,2,1,5,1,3.36,27,,,,,,,,,,63,,,0.146,0.90,0.07%,0.75,1.5,7/16/2017
"Trevor Rosenthal, H (12)",St. Louis Cardinals,1,0,0,0,0,1,0,3.72,4,,,,,,,,,,,0,0,0.142,3.05,0.07%,2.56,0.5,7/16/2017
"Brett Cecil, BS (5), L (1-3)",St. Louis Cardinals,0.2,3,2,2,1,0,0,3.65,6,,,,,,,,,,,0,0,-0.800,4.19,-0.40%,3.51,-1.9,7/16/2017
St. Louis Cardinals Totals,St. Louis Cardinals,8.2,8,4,4,2,6,1,4.15,37,,,,,,,,,,63,0,0,-0.512,1.66,-0.26%,1.39,0.1,7/16/2017
Mike Pelfrey,Chicago White Sox,5,2,1,1,6,4,0,4.46,21,103,55,28,8,19,5,6,2,0,57,,,0.240,1.28,0.02%,0.15,2.3,7/22/2017
"David Holmberg, BS (1), L (1-3)",Chicago White Sox,0.2,4,4,4,0,0,3,3.83,6,17,11,9,0,2,2,4,1,0,,1,1,-0.500,1.09,-0.03%,0.13,-3.3,7/22/2017
Juan Minaya,Chicago White Sox,1.1,2,1,1,0,1,1,5.12,5,20,11,7,0,4,1,3,1,0,,1,1,-0.087,0.30,-0.01%,0.04,-1.2,7/22/2017
Brad Goldberg,Chicago White Sox,1,1,1,1,0,1,1,22.50,4,15,10,5,2,3,2,1,0,0,,0,0,-0.006,0.03,-0.00%,0.00,-0.5,7/22/2017
Chicago White Sox Totals,Chicago White Sox,8,9,7,7,6,6,5,7.88,36,155,87,49,10,28,10,14,4,0,57,2,2,-0.353,0.98,-0.02%,0.12,-2.7,7/22/2017
Jordan Montgomery,New York Yankees,5,3,1,1,0,7,1,4.05,18,65,47,21,10,16,4,7,5,0,64,,,0.193,0.96,0.20%,1.65,1.8,8/5/2017
"David Robertson, W (5-2)",New York Yankees,2,2,0,0,0,2,0,2.55,8,28,18,10,5,3,2,4,3,0,,0,0,0.171,1.72,0.18%,2.94,1.1,8/5/2017
"Dellin Betances, H (15)",New York Yankees,1,0,0,0,0,2,0,2.41,3,14,9,3,0,6,0,1,1,0,,0,0,0.151,1.91,0.15%,3.26,0.6,8/5/2017
"Aroldis Chapman, S (14)",New York Yankees,1,1,0,0,0,1,0,2.87,4,21,15,11,0,4,0,3,1,0,,0,0,0.220,4.38,0.23%,7.48,0.6,8/5/2017
New York Yankees Totals,New York Yankees,9,6,1,1,0,12,1,1.00,33,128,89,45,15,29,6,15,10,0,64,0,0,0.735,1.65,0.76%,2.81,4.0,8/5/2017
"Sonny Gray, W (10-11)",New York Yankees,6,4,1,1,3,4,1,3.31,25,96,55,29,8,18,7,11,6,0,61,,,0.233,1.19,0.05%,0.41,2.2,9/23/2017
"Chad Green, H (7)",New York Yankees,1,0,0,0,0,2,0,1.90,3,16,10,2,6,2,0,1,0,0,,0,0,0.086,1.10,0.02%,0.38,0.5,9/23/2017
"David Robertson, H (6)",New York Yankees,1,0,0,0,0,2,0,1.96,3,12,7,2,5,0,0,1,0,0,,0,0,0.056,0.72,0.01%,0.25,0.5,9/23/2017
Aroldis Chapman,New York Yankees,1,0,0,0,0,0,0,3.42,3,10,7,5,1,1,1,2,0,0,,0,0,0.020,0.26,0.00%,0.09,0.5,9/23/2017
New York Yankees Totals,New York Yankees,9,4,1,1,3,8,1,1.00,34,134,79,38,20,21,8,15,6,0,61,0,0,0.395,1.06,0.08%,0.36,3.8,9/23/2017
"John Lackey, W (12-11)",Chicago Cubs,6,2,1,1,2,3,0,4.56,21,,,,,,,,,,65,,,0.175,0.82,0.01%,0.04,2.0,9/27/2017
Pedro Strop,Chicago Cubs,1,0,0,0,0,2,0,2.88,3,,,,,,,,,,,0,0,0.035,0.45,0.00%,0.02,0.5,9/27/2017
Héctor Rondón,Chicago Cubs,0.2,1,0,0,0,1,0,4.31,3,,,,,,,,,,,0,0,0.018,0.85,0.00%,0.04,0.3,9/27/2017
Brian Duensing,Chicago Cubs,0,1,0,0,0,0,0,2.79,1,,,,,,,,,,,1,0,-0.016,0.37,0.00%,0.02,-0.3,9/27/2017
"Carl Edwards Jr., H (25)",Chicago Cubs,0.1,0,0,0,1,0,0,3.03,2,,,,,,,,,,,2,0,0.026,1.59,0.00%,0.07,0.5,9/27/2017
Wade Davis,Chicago Cubs,1,1,0,0,0,0,0,2.34,4,,,,,,,,,,,0,0,0.018,0.23,0.00%,0.01,0.5,9/27/2017
Chicago Cubs Totals,Chicago Cubs,9,5,1,1,3,6,0,1.00,34,,,,,,,,,,65,3,0,0.256,0.75,0.01%,0.04,3.6,9/27/2017
"Zack Greinke, L (0-1)",Arizona Diamondbacks,5,9,5,5,0,5,1,5.06,24,86,60,33,12,15,6,13,8,0,34,,,-0.382,0.82,-0.26%,0.95,-3.0,4/7/2018
Matt Koch,Arizona Diamondbacks,2,0,0,0,0,3,0,0.00,6,34,21,11,1,9,0,3,0,0,,1,0,0.037,0.25,0.03%,0.29,1.3,4/7/2018
Fernando Salas,Arizona Diamondbacks,1,1,0,0,0,1,0,2.57,4,16,10,5,3,2,2,1,1,0,,0,0,0.013,0.31,0.01%,0.36,0.5,4/7/2018
Arizona Diamondbacks Totals,Arizona Diamondbacks,8,10,5,5,0,9,1,5.62,34,136,91,49,16,26,8,17,9,0,34,1,0,-0.332,0.66,-0.23%,0.76,-1.3,4/7/2018
Taijuan Walker,Arizona Diamondbacks,6,3,1,1,2,3,0,3.27,22,85,53,25,4,24,7,10,5,0,63,,,0.147,0.93,0.10%,1.02,1.8,4/8/2018
"Yoshihisa Hirano, W (1-0)",Arizona Diamondbacks,1,0,0,0,0,1,0,1.69,3,11,7,2,1,4,1,1,0,0,,0,0,0.085,1.14,0.06%,1.26,0.5,4/8/2018
"Archie Bradley, H (5)",Arizona Diamondbacks,1,1,0,0,0,1,0,1.35,4,16,11,9,1,1,1,2,2,0,,0,0,0.047,1.23,0.03%,1.36,0.5,4/8/2018
"Brad Boxberger, S (4)",Arizona Diamondbacks,1,1,0,0,0,1,0,0.00,3,13,8,4,1,3,1,1,1,0,,0,0,0.037,0.81,0.03%,0.89,0.5,4/8/2018
Arizona Diamondbacks Totals,Arizona Diamondbacks,9,5,1,1,2,6,0,1.00,32,125,79,40,7,32,10,14,8,0,63,0,0,0.316,0.97,0.21%,1.07,3.2,4/8/2018
Alex Cobb,Baltimore Orioles,7,4,1,1,2,6,0,6.56,27,,,,,,,,,,69,,,0.228,1.37,0.00%,0.00,2.4,6/22/2018
Tanner Scott,Baltimore Orioles,0.1,1,2,2,2,0,0,7.00,4,,,,,,,,,,,0,0,-0.170,2.18,0.00%,0.00,-1.1,6/22/2018
Brad Brach,Baltimore Orioles,0.2,1,0,0,0,1,0,3.41,3,,,,,,,,,,,3,2,-0.154,3.52,0.00%,0.00,-0.4,6/22/2018
Zack Britton,Baltimore Orioles,0.1,5,4,4,0,0,0,7.71,6,,,,,,,,,,,0,0,-0.809,2.82,0.00%,0.00,-4.4,6/22/2018
Darren O'Day,Baltimore Orioles,1.2,2,0,0,1,2,0,2.70,7,,,,,,,,,,,1,0,0.461,3.28,0.00%,0.00,1.4,6/22/2018
Miguel Castro,Baltimore Orioles,3,0,0,0,0,1,0,2.51,10,,,,,,,,,,,0,0,0.404,2.14,0.00%,0.00,1.5,6/22/2018
"Mike Wright Jr., W (1-0)",Baltimore Orioles,2,1,0,0,1,1,0,5.77,8,,,,,,,,,,,0,0,0.174,2.23,0.00%,0.00,1.0,6/22/2018
Baltimore Orioles Totals,Baltimore Orioles,15,14,7,7,6,11,0,4.20,65,,,,,,,,,,69,4,2,0.134,2.12,0.00%,0.00,0.3,6/22/2018
Gio Gonzalez,Washington Nationals,7,3,1,1,4,4,0,3.78,27,114,67,39,8,20,7,12,5,0,67,,,0.181,0.99,0.10%,0.90,2.2,7/28/2018
Brandon Kintzler,Washington Nationals,1,2,0,0,1,0,0,3.59,5,14,9,7,0,2,2,2,2,0,,0,0,0.027,0.58,0.01%,0.53,0.5,7/28/2018
Ryan Madson,Washington Nationals,1,0,0,0,0,1,0,4.54,3,9,7,4,2,1,0,2,0,0,,0,0,0.128,1.74,0.07%,1.58,0.5,7/28/2018
"Kelvin Herrera, L (2-2)",Washington Nationals,0,3,1,1,0,0,0,2.06,4,10,5,4,0,0,2,2,0,0,,0,0,-0.372,2.86,-0.20%,2.59,-2.8,7/28/2018
Washington Nationals Totals,Washington Nationals,9,8,2,2,5,5,0,2.00,39,147,88,54,10,23,11,18,7,0,67,0,0,-0.036,1.19,-0.02%,1.08,0.3,7/28/2018
Corey Oswalt,New York Mets,6,6,3,3,1,3,0,5.03,25,,,,,,,,,,50,,,-0.037,1.09,0.00%,0.00,-0.3,8/11/2018
Bobby Wahl,New York Mets,1,1,0,0,1,2,0,4.91,5,,,,,,,,,,,0,0,0.084,1.56,0.00%,0.00,0.5,8/11/2018
Paul Sewald,New York Mets,1,2,0,0,1,1,0,4.63,6,,,,,,,,,,,0,0,0.101,3.44,0.00%,0.01,0.5,8/11/2018
Tyler Bashlor,New York Mets,2,0,0,0,0,1,0,4.32,6,,,,,,,,,,,0,0,0.256,1.74,0.00%,0.00,0.9,8/11/2018
"Jacob Rhame, L (0-2)",New York Mets,0.1,2,1,1,0,0,0,7.97,3,,,,,,,,,,,0,0,-0.372,2.87,0.00%,0.01,-1.2,8/11/2018
New York Mets Totals,New York Mets,10.1,11,4,4,3,7,0,3.48,45,,,,,,,,,,50,0,0,0.032,1.70,0.00%,0.00,0.4,8/11/2018
"Mike Fiers, L (12-7)",Oakland Athletics,4,4,3,3,3,2,2,3.38,19,80,45,26,5,14,6,7,1,0,41,,,-0.138,0.79,-0.08%,0.76,-1.0,9/16/2018
Cory Gearrin,Oakland Athletics,1,1,0,0,0,0,0,3.51,4,16,8,8,0,0,2,2,2,0,,0,0,0.020,0.32,0.01%,0.31,0.5,9/16/2018
Ryan Buchter,Oakland Athletics,1,1,0,0,0,1,0,2.86,4,13,9,6,1,2,0,3,1,0,,0,0,0.017,0.27,0.01%,0.26,0.5,9/16/2018
Emilio Pagán,Oakland Athletics,1,2,2,2,1,1,0,4.42,6,20,11,5,3,3,1,3,2,0,,0,0,-0.040,0.26,-0.02%,0.26,-1.5,9/16/2018
Frankie Montas,Oakland Athletics,1,1,0,0,0,0,0,3.90,4,12,7,5,1,1,3,1,1,0,,0,0,0.001,0.04,0.00%,0.04,0.5,9/16/2018
Oakland Athletics Totals,Oakland Athletics,8,9,5,5,4,4,2,5.62,37,141,80,50,10,20,12,16,7,0,41,0,0,-0.140,0.52,-0.08%,0.51,-1.0,9/16/2018
"Mike Minor, W (3-2)",Texas Rangers,7,3,1,1,1,13,1,2.88,26,111,76,35,19,22,6,5,1,0,79,,,0.038,0.24,0.02%,0.25,2.6,4/27/2019
Ariel Jurado,Texas Rangers,2,0,0,0,0,3,0,0.00,6,29,20,8,6,6,2,1,1,0,,0,0,0.000,0.00,0.00%,0.00,1.0,4/27/2019
Texas Rangers Totals,Texas Rangers,9,3,1,1,1,16,1,1.00,32,140,96,43,25,28,8,6,2,0,79,0,0,0.038,0.20,0.02%,0.20,3.7,4/27/2019
"Jordan Lyles, L (5-6)",Pittsburgh Pirates,0.2,4,7,7,4,2,1,5.16,10,43,22,9,6,7,1,3,2,0,14,,,-0.385,0.92,-0.29%,1.18,-5.9,7/13/2019
Chris Stratton,Pittsburgh Pirates,3.1,5,3,3,1,3,1,6.66,16,60,38,23,7,8,5,7,4,0,,2,1,-0.025,0.09,-0.02%,0.12,-2.0,7/13/2019
Luis Escobar,Pittsburgh Pirates,2,4,0,0,0,1,0,0.00,8,25,17,13,2,2,4,3,2,0,,0,0,0.002,0.02,0.00%,0.03,1.1,7/13/2019
Clay Holmes,Pittsburgh Pirates,2,0,0,0,1,3,0,4.85,8,30,16,7,6,3,3,1,0,0,,0,0,0.001,0.01,0.00%,0.01,1.1,7/13/2019
Pittsburgh Pirates Totals,Pittsburgh Pirates,8,13,10,10,6,9,2,11.25,42,158,93,52,21,20,13,14,8,0,14,2,1,-0.407,0.25,-0.31%,0.32,-5.8,7/13/2019
Zach Plesac,Cleveland Indians,5,6,2,2,1,6,0,3.81,21,74,49,26,10,13,6,8,5,0,52,,,0.083,1.15,0.05%,1.15,0.7,9/27/2019
"Nick Goody, L (3-2)",Cleveland Indians,0.2,2,4,4,2,0,0,3.54,6,20,10,9,0,1,1,3,1,0,,0,0,-0.324,2.13,-0.19%,2.14,-2.8,9/27/2019
Adam Cimber,Cleveland Indians,0.1,1,1,1,0,1,1,4.31,2,7,7,5,1,1,0,1,0,0,,1,1,-0.064,0.27,-0.04%,0.27,-1.7,9/27/2019
James Karinchak,Cleveland Indians,1,0,0,0,1,2,0,1.69,4,17,9,4,2,3,0,1,1,0,,0,0,0.004,0.10,0.00%,0.10,0.5,9/27/2019
Dan Otero,Cleveland Indians,1,2,1,1,0,0,1,5.02,5,12,8,5,1,2,1,4,1,0,,0,0,-0.003,0.02,-0.00%,0.02,-0.5,9/27/2019
Cleveland Indians Totals,Cleveland Indians,8,11,8,8,4,9,2,9.00,38,130,83,49,14,20,8,17,8,0,52,1,1,-0.304,0.97,-0.18%,0.98,-3.7,9/27/2019
"Wily Peralta, W (2-1)",Detroit Tigers,7,3,0,0,0,6,0,2.14,24,91,61,35,10,16,14,4,3,0,77,,,0.327,0.76,0.05%,0.18,3.6,7/5/2021
Erasmo Ramírez,Detroit Tigers,1,1,0,0,0,0,0,2.45,3,7,6,4,0,2,1,2,1,0,,0,0,0.004,0.14,0.00%,0.03,0.5,7/5/2021
Bryan Garcia,Detroit Tigers,1,3,3,3,0,2,2,6.97,6,18,13,7,2,4,2,2,0,0,,0,0,0.001,0.04,0.00%,0.01,-2.5,7/5/2021
Detroit Tigers Totals,Detroit Tigers,9,7,3,3,0,8,2,3.00,33,116,80,46,12,22,17,8,4,0,77,0,0,0.332,0.54,0.05%,0.13,1.7,7/5/2021
Chris Bassitt,Oakland Athletics,4.1,8,6,6,1,6,2,3.41,22,,,,,,,,,,28,,,-0.407,0.95,-0.46%,1.79,-3.6,7/6/2021
"J.B. Wendelken, L (1-1)",Oakland Athletics,1,1,2,2,1,2,0,4.86,5,,,,,,,,,,,0,0,-0.087,1.48,-0.10%,2.78,-0.6,7/6/2021
Yusmeiro Petit,Oakland Athletics,0.2,2,1,1,1,0,0,3.25,5,,,,,,,,,,,2,2,-0.190,1.01,-0.21%,1.88,-1.6,7/6/2021
Deolis Guerra,Oakland Athletics,1,1,0,0,0,1,0,3.73,4,,,,,,,,,,,0,0,0.014,0.27,0.01%,0.50,0.5,7/6/2021
Burch Smith,Oakland Athletics,1,0,0,0,0,0,0,5.47,3,,,,,,,,,,,0,0,0.007,0.09,0.01%,0.17,0.5,7/6/2021
Oakland Athletics Totals,Oakland Athletics,8,12,9,9,3,9,2,10.12,39,,,,,,,,,,28,2,2,-0.663,0.91,-0.74%,1.70,-4.8,7/6/2021
"Steven Matz, L (3-2)",St. Louis Cardinals,2,5,8,8,3,3,3,7.01,15,57,34,15,7,12,4,5,2,0,14,,,-0.599,1.00,-0.41%,1.15,-7.0,5/7/2022
Jake Woodford,St. Louis Cardinals,3.1,2,1,0,1,2,0,2.25,14,60,43,24,8,11,5,6,1,0,,0,0,-0.005,0.27,-0.00%,0.31,0.7,5/7/2022
Packy Naughton,St. Louis Cardinals,0.2,0,0,0,0,1,0,0.00,2,6,5,2,2,1,1,0,0,0,,0,0,0.003,0.06,0.00%,0.07,0.3,5/7/2022
Nick Wittgren,St. Louis Cardinals,1,2,1,1,0,0,0,2.61,6,20,13,9,1,3,1,4,2,0,,0,0,-0.041,0.38,-0.03%,0.44,-0.5,5/7/2022
Kodi Whitley,St. Louis Cardinals,0,0,3,3,4,0,0,4.15,4,26,10,4,4,2,0,0,0,0,,0,0,-0.022,0.17,-0.01%,0.19,-2.8,5/7/2022
T.J. McFarland,St. Louis Cardinals,1,0,0,0,0,0,0,5.63,3,9,6,5,0,1,1,1,0,0,,3,2,-0.002,0.04,-0.00%,0.05,0.3,5/7/2022
St. Louis Cardinals Totals,St. Louis Cardinals,8,9,13,12,8,6,3,13.50,44,178,111,59,22,30,12,16,5,0,14,3,2,-0.666,0.49,-0.46%,0.57,-9.1,5/7/2022
Shohei Ohtani,Los Angeles Angels,6,2,0,0,3,10,0,0.00,23,93,55,25,12,18,1,9,3,0,75,,,0.368,1.21,0.22%,1.23,2.8,3/30/2023
"Jimmy Herget, H (1)",Los Angeles Angels,1,0,0,0,0,1,0,0.00,3,16,11,8,1,2,1,1,0,0,,0,0,0.105,1.41,0.06%,1.43,0.5,3/30/2023
"Aaron Loup, BS (1), L (0-1)",Los Angeles Angels,0.1,2,2,2,0,1,0,54.00,3,15,11,7,3,1,1,1,0,0,,0,0,-0.359,2.85,-0.22%,2.90,-1.2,3/30/2023
Ryan Tepera,Los Angeles Angels,0.2,2,0,0,1,0,0,0.00,4,11,5,5,0,0,2,1,1,0,,1,1,-0.195,1.32,-0.12%,1.34,-0.3,3/30/2023
Los Angeles Angels Totals,Los Angeles Angels,8,6,2,2,4,12,0,2.25,33,135,82,45,16,21,5,12,4,0,75,1,1,-0.081,1.39,-0.05%,1.41,1.8,3/30/2023
Lucas Giolito,Chicago White Sox,5,8,3,2,3,5,1,3.54,25,105,66,34,12,20,5,12,2,0,43,,,-0.125,1.05,-0.03%,0.42,-0.6,6/17/2023
Gregory Santos,Chicago White Sox,2,0,0,0,0,2,0,2.52,6,19,17,11,1,5,2,2,0,0,,0,0,0.088,0.58,0.02%,0.23,1.0,6/17/2023
Keynan Middleton,Chicago White Sox,1.2,0,0,0,1,2,0,1.80,6,38,24,14,4,6,2,1,0,0,,0,0,0.101,1.09,0.02%,0.44,0.7,6/17/2023
"Aaron Bummer, W (2-1)",Chicago White Sox,1.1,0,0,0,1,3,0,6.65,5,15,11,4,3,4,1,0,0,0,,1,0,0.371,3.52,0.09%,1.40,1.3,6/17/2023
"Jesse Scholtens, S (1)",Chicago White Sox,1,0,0,0,0,1,0,2.89,4,16,8,4,2,2,2,1,0,0,,0,0,0.439,5.75,0.10%,2.29,1.1,6/17/2023
Chicago White Sox Totals,Chicago White Sox,11,8,3,2,5,13,1,1.64,46,193,126,67,22,37,12,16,2,0,43,1,0,0.874,1.67,0.21%,0.67,3.6,6/17/2023
"James Paxton, L (5-2)",Boston Red Sox,3,3,6,6,3,4,1,3.51,16,63,39,25,11,3,4,4,2,0,30,,,-0.287,0.97,-0.15%,0.86,-4.4,7/15/2023
Tayler Scott,Boston Red Sox,1,3,2,2,1,1,1,7.45,7,29,17,11,1,5,0,5,3,0,,0,0,-0.033,0.12,-0.02%,0.10,-1.5,7/15/2023
Joely Rodríguez,Boston Red Sox,1,0,0,0,0,2,0,12.00,3,10,8,2,3,3,1,0,0,0,,0,0,0.003,0.04,0.00%,0.04,0.5,7/15/2023
Joe Jacques,Boston Red Sox,1,0,0,0,0,1,0,4.63,3,14,8,3,1,4,2,0,0,0,,0,0,0.002,0.02,0.00%,0.02,0.5,7/15/2023
Brandon Walter,Boston Red Sox,2,6,2,2,0,3,0,3.29,11,34,24,14,5,5,3,5,3,0,,0,0,-0.011,0.07,-0.01%,0.07,-0.9,7/15/2023
Boston Red Sox Totals,Boston Red Sox,8,12,10,10,4,11,2,11.25,40,150,96,55,21,20,10,14,8,0,30,0,0,-0.326,0.45,-0.17%,0.39,-5.6,7/15/2023
"Alex Cobb, L (7-6)",San Francisco Giants,3,6,4,4,0,3,2,3.74,15,58,43,24,6,13,8,4,4,0,34,,,-0.247,0.72,-0.18%,0.87,-2.5,9/3/2023
Keaton Winn,San Francisco Giants,5,4,0,0,1,2,0,3.33,19,70,44,27,5,12,10,6,1,0,,0,0,0.046,0.20,0.03%,0.24,2.5,9/3/2023
San Francisco Giants Totals,San Francisco Giants,8,10,4,4,1,5,2,4.50,34,128,87,51,11,25,18,10,5,0,34,0,0,-0.201,0.42,-0.14%,0.51,-0.0,9/3/2023
"Trevor Rogers, L (0-1)",Miami Marlins,5,5,3,2,3,3,0,5.40,23,90,55,30,9,16,10,7,2,0,47,,,-0.081,1.00,-0.03%,0.55,-0.4,4/6/2024
Bryan Hoeing,Miami Marlins,1,2,0,0,1,0,0,1.04,6,20,12,8,1,3,2,3,2,0,,0,0,0.019,0.53,0.01%,0.29,0.5,4/6/2024
Burch Smith,Miami Marlins,1,1,0,0,0,0,0,6.75,3,12,9,5,2,2,3,0,0,0,,0,0,0.014,0.23,0.01%,0.13,0.5,4/6/2024
Tanner Scott,Miami Marlins,1,0,0,0,0,0,0,2.25,3,11,7,6,0,1,3,0,0,0,,0,0,0.015,0.24,0.01%,0.14,0.5,4/6/2024
Miami Marlins Totals,Miami Marlins,8,8,3,2,4,3,0,2.25,35,133,83,49,12,22,18,10,4,0,47,0,0,-0.033,0.78,-0.01%,0.43,1.2,4/6/2024
"Max Meyer, W (1-0)",Miami Marlins,6,3,1,1,1,3,1,2.45,22,83,52,24,10,18,12,6,1,0,64,,,0.088,0.26,0.03%,0.14,2.1,4/7/2024
Andrew Nardi,Miami Marlins,1,0,0,0,0,2,0,16.62,3,12,8,2,4,2,0,1,1,0,,0,0,0.007,0.08,0.00%,0.05,0.5,4/7/2024
George Soriano,Miami Marlins,1,0,0,0,1,2,0,4.15,4,21,12,6,2,4,0,1,0,0,,0,0,0.001,0.01,0.00%,0.01,0.5,4/7/2024
Matt Andriese,Miami Marlins,1,2,2,2,0,2,1,18.00,5,17,14,9,1,4,1,2,2,0,,0,0,0.000,0.01,0.00%,0.01,-1.5,4/7/2024
Miami Marlins Totals,Miami Marlins,9,5,3,3,2,9,2,3.00,34,133,86,41,17,28,13,10,4,0,64,0,0,0.096,0.18,0.03%,0.10,1.7,4/7/2024
"Brandon Pfaadt, L (1-3)",Arizona Diamondbacks,6,5,3,3,2,0,0,4.60,25,88,56,41,4,11,11,12,4,0,48,,,-0.057,0.89,-0.03%,0.71,-0.1,5/10/2024
Logan Allen,Arizona Diamondbacks,0.1,2,1,1,0,0,0,4.61,3,8,5,4,0,1,1,2,1,0,,0,0,-0.108,0.76,-0.05%,0.60,-1.2,5/10/2024
Justin Martinez,Arizona Diamondbacks,1.2,0,0,0,2,5,0,0.84,7,27,18,4,6,8,0,0,0,0,,1,0,0.046,0.41,0.02%,0.33,1.2,5/10/2024
Arizona Diamondbacks Totals,Arizona Diamondbacks,8,7,4,4,4,5,0,4.50,35,123,79,49,10,20,12,14,5,0,48,1,0,-0.119,0.78,-0.06%,0.63,-0.1,5/10/2024
"Max Fried, W (3-1)",Atlanta Braves,7,0,0,0,3,5,0,3.57,24,109,68,40,10,18,5,11,3,0,79,,,0.376,0.81,0.27%,0.98,3.6,5/11/2024
"Joe Jiménez, H (9)",Atlanta Braves,1,0,0,0,2,2,0,1.69,5,30,16,8,6,2,0,1,0,0,,0,0,0.053,1.84,0.04%,2.23,0.5,5/11/2024
Raisel Iglesias,Atlanta Braves,1,2,1,1,1,1,1,2.76,6,25,15,9,1,5,2,2,1,0,,0,0,0.019,0.53,0.01%,0.65,-0.5,5/11/2024
Atlanta Braves Totals,Atlanta Braves,9,2,1,1,6,8,1,1.00,35,164,99,57,17,25,7,14,4,0,79,0,0,0.448,0.91,0.33%,1.10,3.6,5/11/2024
"Zach Eflin, W (3-4)",Tampa Bay Rays,5,6,3,3,0,2,1,3.91,20,91,64,41,9,14,7,11,3,0,45,,,0.029,1.03,0.01%,0.80,-0.3,5/13/2024
"Kevin Kelly, H (3)",Tampa Bay Rays,2,1,0,0,0,0,0,3.24,7,25,17,9,0,8,3,4,2,0,,0,0,0.202,1.71,0.09%,1.33,1.1,5/13/2024
"Garrett Cleavinger, H (4)",Tampa Bay Rays,1,1,0,0,0,3,0,1.72,4,19,13,7,0,6,1,0,0,0,,0,0,0.096,1.31,0.04%,1.01,0.5,5/13/2024
"Jason Adam, S (3)",Tampa Bay Rays,1,0,0,0,1,3,0,1.47,4,17,11,1,5,5,0,0,0,0,,0,0,0.100,2.46,0.05%,1.91,0.5,5/13/2024
Tampa Bay Rays Totals,Tampa Bay Rays,9,8,3,3,1,8,1,3.00,35,152,105,58,14,33,11,15,5,0,45,0,0,0.427,1.34,0.20%,1.04,1.9,5/13/2024
