,Year,Player,League,Details
155,,Lino Donoso,NN2,"NYC 5-2 (1 SV), 2.30, 64 SO"
156,1946,Hal Newhouser,AL,"DET 26-9 (1 SV), 1.94, 275 SO"
157,1946,Satchel Paige,NAL,"KCM 4-0, 1.29, 32 SO"
158,,Howie Pollet,NL,"STL 21-10 (5 SV), 2.10, 107 SO"
159,,Rufus Lewis,NN2,"NE 8-2, 1.97, 60 SO"
160,1945,Hal Newhouser,AL,"DET 25-9 (2 SV), 1.81, 212 SO"
161,1945,Roosevelt Davis,NAL,"TOT 2-0, 1.65, 13 SO"
162,,Hank Borowy,NL,"CHC 11-2 (1 SV), 2.13, 47 SO"
163,,Garnett Blair,NN2,"HG 5-1, 0.96, 23 SO"
164,1944,Dizzy Trout,AL,"DET 27-14, 2.12, 144 SO"
165,1944,Robert Keyes,NAL,"MRS 1-2, 0.64, 8 SO"
166,,Ed Heusser,NL,"CIN 13-11 (2 SV), 2.38, 42 SO"
167,,Donald Troy,NN2,"BEG 5-2, 1.63, 28 SO"
168,1943,Spud Chandler,AL,"NYY 20-4, 1.64, 134 SO"
169,1943,Theolic Smith,NAL,"CBE 5-4, 2.22, 36 SO"
170,,Howie Pollet,NL,"STL 8-4, 1.75, 61 SO"
171,,Johnny Wright,NN2,"HG 18-3 (1 SV), 2.54, 94 SO"
172,1942,Ted Lyons,AL,"CHW 14-6, 2.10, 50 SO"
173,1942,Smoky Owens,NAL,"CCB 1-3 (2 SV), 1.83, 8 SO"
174,,Mort Cooper,NL,"STL 22-7, 1.78, 152 SO"
175,,Roy Partlow,NN2,"HG 6-2, 1.69, 47 SO"
176,1941,Thornton Lee,AL,"CHW 22-11 (1 SV), 2.37, 130 SO"
177,1941,Gready McKinnis,NAL,"BBB 3-0, 1.04, 21 SO"
178,,Elmer Riddle,NL,"CIN 19-4 (1 SV), 2.24, 80 SO"
179,,Bill Byrd,NN2,"BEG 9-3 (2 SV), 2.23, 62 SO"
180,1940,Bob Feller,AL,"CLE 27-11 (4 SV), 2.61, 261 SO"
181,1940,George Walker,NAL,"KCM 4-1, 1.29, 38 SO"
182,,Bucky Walters,NL,"CIN 22-10, 2.48, 115 SO"
183,,Ray Brown,NN2,"HG 17-2, 2.07, 75 SO"
184,1939,Lefty Grove,AL,"BOS 15-4, 2.54, 81 SO"
185,1939,Felix Evans,NAL,"IAB 2-1, 1.86, 20 SO"
186,,Bucky Walters,NL,"CIN 27-11, 2.29, 137 SO"
187,,Roy Partlow,NN2,"HG 3-1 (1 SV), 1.74, 27 SO"
188,1938,Lefty Grove,AL,"BOS 14-4 (1 SV), 3.08, 99 SO"
189,1938,Hilton Smith,NAL,"KCM 9-2 (1 SV), 1.92, 88 SO"
190,,Bill Lee,NL,"CHC 22-9 (2 SV), 2.66, 121 SO"
191,,Ray Brown,NN2,"HG 14-0 (3 SV), 1.88, 70 SO"
192,1937,Lefty Gomez,AL,"NYY 21-11, 2.33, 194 SO"
193,1937,Eugene Bremer,NAL,"CT 5-2, 1.47, 29 SO"
194,,Jim Turner,NL,"BSN 20-11 (1 SV), 2.38, 69 SO"
195,,Roy Welmaker,NN2,"HG 5-0, 2.31, 25 SO"
196,1936,Lefty Grove,AL,"BOS 17-12 (2 SV), 2.81, 130 SO"
197,1936,Carl Hubbell,NL,"NYG 26-6 (3 SV), 2.31, 123 SO"
198,,Jim Willis,NN2,"WEG 5-5 (1 SV), 2.84, 26 SO"
199,1935,Lefty Grove,AL,"BOS 20-12 (1 SV), 2.70, 121 SO"
200,1935,Cy Blanton,NL,"PIT 18-13 (1 SV), 2.58, 142 SO"
201,,Leroy Matlock,NN2,"PC 8-0 (1 SV), 1.52, 38 SO"
202,1934,Lefty Gomez,AL,"NYY 26-5 (2 SV), 2.33, 158 SO"
203,1934,Carl Hubbell,NL,"NYG 21-12 (8 SV), 2.30, 118 SO"
204,,Slim Jones,NN2,"PS 20-4 (2 SV), 1.29, 164 SO"
205,1933,Monte Pearson,AL,"CLE 10-5, 2.33, 54 SO"
206,1933,Carl Hubbell,NL,"NYG 23-12 (5 SV), 1.66, 156 SO"
