,Name,,Voted By,Inducted As,Votes,% of Ballots,Year Elected
89,Paul Molitor,1956-Living,BBWAA,Player,431.0,85.2%,2004
90,Gary Carter,1954-2012,BBWAA,Player,387.0,78.0%,2003
91,Eddie Murray,1956-Living,BBWAA,Player,423.0,85.3%,2003
92,Ozzie Smith,1954-Living,BBWAA,Player,433.0,91.7%,2002
93,Bill Mazeroski,1936-Living,Veterans,Player,,,2001
94,Kirby Puckett,1960-2006,BBWAA,Player,423.0,82.1%,2001
95,Hilton Smith,1907-1983,Veterans,Player,,,2001
96,Dave Winfield,1951-Living,BBWAA,Player,435.0,84.5%,2001
97,Sparky Anderson,1934-2010,Veterans,Manager,,,2000
98,Carlton Fisk,1947-Living,BBWAA,Player,397.0,79.6%,2000
99,Bid McPhee,1859-1943,Veterans,Player,,,2000
100,Tony Pérez,1942-Living,BBWAA,Player,385.0,77.2%,2000
101,Turkey Stearnes,1901-1979,Veterans,Player,,,2000
102,George Brett,1953-Living,BBWAA,Player,488.0,98.2%,1999
103,Orlando Cepeda,1937-Living,Veterans,Player,,,1999
104,Nestor Chylak,1922-1982,Veterans,Umpire,,,1999
105,Nolan Ryan,1947-Living,BBWAA,Player,491.0,98.8%,1999
106,Frank Selee,1859-1909,Veterans,Manager,,,1999
107,Joe Williams,1886-1951,Veterans,Player,,,1999
108,Robin Yount,1955-Living,BBWAA,Player,385.0,77.5%,1999
109,George Davis,1870-1940,Veterans,Player,,,1998
110,Larry Doby,1923-2003,Veterans,Player,,,1998
111,Lee MacPhail,1917-2012,Veterans,Pioneer/Executive,,,1998
112,Bullet Rogan,1893-1967,Veterans,Player,,,1998
113,Don Sutton,1945-2021,BBWAA,Player,386.0,81.6%,1998
114,Nellie Fox,1927-1975,Veterans,Player,,,1997
115,Tommy Lasorda,1927-2021,Veterans,Manager,,,1997
116,Phil Niekro,1939-2020,BBWAA,Player,380.0,80.3%,1997
117,Willie Wells,1904-1989,Veterans,Player,,,1997
118,Jim Bunning,1931-2017,Veterans,Player,,,1996
119,Bill Foster,1904-1978,Veterans,Player,,,1996
120,Ned Hanlon,1857-1937,Veterans,Manager,,,1996
121,Earl Weaver,1930-2013,Veterans,Manager,,,1996
122,Richie Ashburn,1927-1997,Veterans,Player,,,1995
123,Leon Day,1916-1995,Veterans,Player,,,1995
124,William Hulbert,1832-1882,Veterans,Pioneer/Executive,,,1995
125,Mike Schmidt,1949-Living,BBWAA,Player,444.0,96.5%,1995
126,Vic Willis,1876-1947,Veterans,Player,,,1995
127,Steve Carlton,1944-Living,BBWAA,Player,436.0,95.6%,1994
