,Year,Player,League,Details
253,1920,Rogers Hornsby,NL,STL 149 G .370/.431/.559
254,,Cristóbal Torriente,NNL,CAG 66 G .411/.479/.606
255,1919,Ty Cobb,AL,DET 124 G .384/.428/.514
256,1919,Edd Roush,NL,CIN 133 G .321/.380/.431
257,1918,Ty Cobb,AL,DET 111 G .382/.440/.515
258,1918,Zack Wheat,NL,BRO 105 G .335/.369/.386
259,1917,Ty Cobb,AL,DET 152 G .383/.444/.570
260,1917,Edd Roush,NL,CIN 136 G .341/.379/.454
261,1916,Tris Speaker,AL,CLE 151 G .386/.470/.502
262,1916,Hal Chase,NL,CIN 142 G .339/.363/.459
263,1915,Ty Cobb,AL,DET 156 G .369/.486/.487
264,1915,Benny Kauff,FL,BTT 136 G .342/.446/.509
265,,Larry Doyle,NL,NYG 150 G .320/.358/.442
266,1914,Ty Cobb,AL,DET 98 G .368/.466/.513
267,1914,Benny Kauff,FL,IND 154 G .370/.447/.534
268,,Jake Daubert,NL,BRO 126 G .329/.375/.432
269,1913,Ty Cobb,AL,DET 122 G .389/.466/.534
270,1913,Jake Daubert,NL,BRO 139 G .350/.405/.423
271,1912,Ty Cobb,AL,DET 140 G .409/.456/.584
272,1912,Heinie Zimmerman,NL,CHC 145 G .372/.418/.571
273,1911,Ty Cobb,AL,DET 146 G .419/.466/.620
274,1911,Honus Wagner,NL,PIT 130 G .334/.423/.507
275,1910,Ty Cobb,AL,DET 140 G .382/.455/.549
276,1910,Sherry Magee,NL,PHI 154 G .331/.445/.507
277,1909,Ty Cobb,AL,DET 156 G .377/.431/.517
278,1909,Honus Wagner,NL,PIT 137 G .339/.420/.489
279,1908,Ty Cobb,AL,DET 150 G .324/.368/.476
280,1908,Honus Wagner,NL,PIT 151 G .354/.415/.542
281,1907,Ty Cobb,AL,DET 150 G .350/.380/.468
282,1907,Honus Wagner,NL,PIT 142 G .350/.408/.513
283,1906,George Stone,AL,SLB 154 G .358/.417/.501
284,1906,Honus Wagner,NL,PIT 142 G .339/.416/.459
285,1905,Elmer Flick,AL,CLE 132 G .308/.383/.462
286,1905,Cy Seymour,NL,CIN 149 G .377/.429/.559
287,1904,Nap Lajoie,AL,CLE 140 G .376/.413/.546
288,1904,Honus Wagner,NL,PIT 132 G .349/.423/.520
289,1903,Nap Lajoie,AL,CLE 125 G .344/.379/.518
290,1903,Honus Wagner,NL,PIT 129 G .355/.414/.518
291,1902,Ed Delahanty,AL,WSH 123 G .376/.453/.590
292,1902,Ginger Beaumont,NL,PIT 130 G .357/.404/.418
293,1901,Nap Lajoie,AL,PHA 131 G .426/.463/.643
294,1901,Jesse Burkett,NL,STL 142 G .376/.440/.509
295,1900,Honus Wagner,NL,PIT 135 G .381/.434/.573
296,1899,Ed Delahanty,NL,PHI 146 G .410/.464/.582
297,1898,Willie Keeler,NL,BLN 129 G .385/.420/.410
298,1897,Willie Keeler,NL,BLN 129 G .424/.464/.539
299,1896,Jesse Burkett,NL,CLV 133 G .410/.461/.541
300,1895,Jesse Burkett,NL,CLV 132 G .405/.482/.519
301,1894,Hugh Duffy,NL,BSN 125 G .440/.502/.694
302,1893,Hugh Duffy,NL,BSN 131 G .363/.416/.461
303,1892,Dan Brouthers,NL,BRO 152 G .335/.432/.480
304,1891,Dan Brouthers,AA,BOS 130 G .350/.471/.512
305,1891,Billy Hamilton,NL,PHI 133 G .340/.453/.421
306,1890,Chicken Wolf,AA,LOU 134 G .363/.421/.479
307,1890,Jack Glasscock,NL,NYG 124 G .336/.395/.439
308,,Pete Browning,PL,CLE 118 G .373/.459/.517
309,1889,Tommy Tucker,AA,BAL 134 G .372/.450/.484
310,1889,Dan Brouthers,NL,BSN 126 G .373/.462/.507
311,1888,Tip O'Neill,AA,STL 130 G .335/.390/.446
312,1888,Cap Anson,NL,CHC 134 G .344/.400/.499
313,1887,Tip O'Neill,AA,STL 124 G .435/.490/.691
314,1887,Cap Anson,NL,CHC 122 G .347/.422/.517
315,1886,Guy Hecker,AA,LOU 84 G .341/.402/.446
316,1886,King Kelly,NL,CHC 118 G .388/.483/.534
317,1885,Pete Browning,AA,LOU 112 G .362/.393/.530
318,1885,Roger Connor,NL,NYG 110 G .371/.435/.495
319,1884,Dave Orr,AA,NYP 110 G .354/.362/.539
320,1884,Jim O'Rourke,NL,BUF 108 G .347/.392/.480
321,,Fred Dunlap,UA,SLM 101 G .412/.448/.621
322,1883,Ed Swartwood,AA,PIT 94 G .357/.394/.476
323,1883,Dan Brouthers,NL,BUF 98 G .374/.397/.572
324,1882,Pete Browning,AA,LOU 69 G .378/.430/.510
325,1882,Dan Brouthers,NL,BUF 84 G .368/.403/.547
326,1881,Cap Anson,NL,CHC 84 G .399/.442/.510
327,1880,George Gore,NL,CHC 77 G .360/.399/.463
328,1879,Cap Anson,NL,CHC 51 G .317/.323/.414
329,1878,Abner Dalrymple,NL,MLG 61 G .354/.368/.421
330,1877,Deacon White,NL,BSN 59 G .387/.405/.545
331,1876,Ross Barnes,NL,CHC 66 G .429/.462/.590
332,1875,Deacon White,NA,BOS 80 G .367/.372/.453
333,1874,Levi Meyerle,NA,CHI 53 G .394/.401/.488
334,1873,Ross Barnes,NA,BOS 60 G .431/.465/.616
335,1872,Ross Barnes,NA,BOS 45 G .430/.452/.583
336,1871,Levi Meyerle,NA,ATH 26 G .492/.500/.700
