,Year & Common,League,P,C,1B,2B,3B,SS,OF,OF,OF,DH,Utility
0,2022,AL, ,Alejandro Kirk,Nathaniel Lowe,Jose Altuve,José Ramírez,Xander Bogaerts,Julio Rodríguez,Aaron Judge,Mike Trout,Yordan Alvarez,Luis Arraez
1,2021,AL, ,Salvador Perez,Vladimir Guerrero Jr.,Marcus Semien,Rafael Devers,Xander Bogaerts,Teoscar Hernández,Cedric Mullins,Aaron Judge,Shohei Ohtani,
2,2020,AL, ,Salvador Perez,José Abreu,DJ LeMahieu,José Ramírez,Tim Anderson,Teoscar Hernández,Eloy Jiménez,Mike Trout,Nelson Cruz,
3,2019,AL, ,Mitch Garver,Carlos Santana,DJ LeMahieu,Alex Bregman,Xander Bogaerts,George Springer,Mike Trout,Mookie Betts,Nelson Cruz,
4,2018,AL, ,Salvador Perez,José Abreu,Jose Altuve,José Ramírez,Francisco Lindor,J.D. Martinez,Mike Trout,Mookie Betts,J.D. Martinez,
5,2017,AL, ,Gary Sanchez,Eric Hosmer,Jose Altuve,José Ramírez,Francisco Lindor,Justin Upton,George Springer,Aaron Judge,Nelson Cruz,
6,2016,AL, ,Salvador Perez,Miguel Cabrera,Jose Altuve,Josh Donaldson,Xander Bogaerts,Mark Trumbo,Mike Trout,Mookie Betts,David Ortiz,
7,2015,AL, ,Brian McCann,Miguel Cabrera,Jose Altuve,Josh Donaldson,Xander Bogaerts,J.D. Martinez,Nelson Cruz,Mike Trout,Kendrys Morales,
8,2014,AL, ,Yan Gomes,José Abreu,Jose Altuve,Adrián Beltré,Alexei Ramírez,José Bautista,Michael Brantley,Mike Trout,Victor Martinez,
9,2013,AL, ,Joe Mauer,Chris Davis,Robinson Canó,Miguel Cabrera,J.J. Hardy,Torii Hunter,Adam Jones,Mike Trout,David Ortiz,
10,2012,AL, ,A.J. Pierzynski,Prince Fielder,Robinson Canó,Miguel Cabrera,Derek Jeter,Josh Hamilton,Mike Trout,Josh Willingham,Billy Butler,
11,2011,AL, ,Alex Avila,Adrián González,Robinson Canó,Adrián Beltré,Asdrúbal Cabrera,Jacoby Ellsbury,José Bautista,Curtis Granderson,David Ortiz,
12,2010,AL, ,Joe Mauer,Miguel Cabrera,Robinson Canó,Adrián Beltré,Alexei Ramírez,Josh Hamilton,José Bautista,Carl Crawford,Vladimir Guerrero,
13,2009,AL, ,Joe Mauer,Mark Teixeira,Aaron Hill,Evan Longoria,Derek Jeter,Torii Hunter,Ichiro Suzuki,Jason Bay,Adam Lind,
14,2008,AL, ,Joe Mauer,Justin Morneau,Dustin Pedroia,Alex Rodriguez,Derek Jeter,Josh Hamilton,Carlos Quentin,Grady Sizemore,Aubrey Huff,
15,2007,AL, ,Jorge Posada,Carlos Pena,Placido Polanco,Alex Rodriguez,Derek Jeter,Vladimir Guerrero,Ichiro Suzuki,Magglio Ordonez,David Ortiz,
16,2006,AL, ,Joe Mauer,Justin Morneau,Robinson Canó,Joe Crede,Derek Jeter,Vladimir Guerrero,Jermaine Dye,Manny Ramirez,David Ortiz,
17,2005,AL, ,Jason Varitek,Mark Teixeira,Alfonso Soriano,Alex Rodriguez,Miguel Tejada,Vladimir Guerrero,Gary Sheffield,Manny Ramirez,David Ortiz,
18,2004,AL, ,Victor Martinez,Mark Teixeira,Alfonso Soriano,Melvin Mora,Miguel Tejada,Vladimir Guerrero,Gary Sheffield,Manny Ramirez,David Ortiz,
19,2003,AL, ,Jorge Posada,Carlos Delgado,Bret Boone,Bill Mueller,Alex Rodriguez,Vernon Wells,Manny Ramirez,Garret Anderson,Edgar Martinez,
20,2002,AL, ,Jorge Posada,Jason Giambi,Alfonso Soriano,Eric Chavez,Alex Rodriguez,Magglio Ordonez,Bernie Williams,Garret Anderson,Manny Ramirez,
21,2001,AL, ,Jorge Posada,Jason Giambi,Bret Boone,Troy Glaus,Alex Rodriguez,Ichiro Suzuki,Manny Ramirez,Juan Gonzalez,Edgar Martinez,
22,2000,AL, ,Jorge Posada,Carlos Delgado,Roberto Alomar,Troy Glaus,Alex Rodriguez,Magglio Ordonez,Manny Ramirez,Darin Erstad,Frank Thomas,
23,1999,AL, ,Ivan Rodriguez,Carlos Delgado,Roberto Alomar,Dean Palmer,Alex Rodriguez,Manny Ramirez,Ken Griffey Jr.,Shawn Green,Rafael Palmeiro,
24,1998,AL, ,Ivan Rodriguez,Rafael Palmeiro,Damion Easley,Dean Palmer,Alex Rodriguez,Ken Griffey Jr.,Albert Belle,Juan Gonzalez,Jose Canseco,
25,1997,AL, ,Ivan Rodriguez,Tino Martinez,Chuck Knoblauch,Matt Williams,Nomar Garciaparra,David Justice,Ken Griffey Jr.,Juan Gonzalez,Edgar Martinez,
26,1996,AL, ,Ivan Rodriguez,Mark McGwire,Roberto Alomar,Jim Thome,Alex Rodriguez,Ken Griffey Jr.,Albert Belle,Juan Gonzalez,Paul Molitor,
27,1995,AL, ,Ivan Rodriguez,Mo Vaughn,Chuck Knoblauch,Gary Gaetti,John Valentin,Tim Salmon,Manny Ramirez,Albert Belle,Edgar Martinez,
28,1994,AL, ,Ivan Rodriguez,Frank Thomas,Carlos Baerga,Wade Boggs,Cal Ripken Jr.,Kirby Puckett,Ken Griffey Jr.,Albert Belle,Julio Franco,
29,1993,AL, ,Mike Stanley,Frank Thomas,Carlos Baerga,Wade Boggs,Cal Ripken Jr.,Ken Griffey Jr.,Albert Belle,Juan Gonzalez,Paul Molitor,
30,1992,AL, ,Mickey Tettleton,Mark McGwire,Roberto Alomar,Edgar Martinez,Travis Fryman,Joe Carter,Kirby Puckett,Juan Gonzalez,Dave Winfield,
31,1991,AL, ,Mickey Tettleton,Cecil Fielder,Julio Franco,Wade Boggs,Cal Ripken Jr.,Joe Carter,Jose Canseco,Ken Griffey Jr.,Frank Thomas,
32,1990,AL, ,Lance Parrish,Cecil Fielder,Julio Franco,Kelly Gruber,Alan Trammell,Jose Canseco,Rickey Henderson,Ellis Burks,Dave Parker,
33,1989,AL, ,Mickey Tettleton,Fred McGriff,Julio Franco,Wade Boggs,Cal Ripken Jr.,Robin Yount,Kirby Puckett,Ruben Sierra,Harold Baines,
34,1988,AL, ,Carlton Fisk,George Brett,Julio Franco,Wade Boggs,Alan Trammell,Mike Greenwell,Jose Canseco,Kirby Puckett,Paul Molitor,
35,1987,AL, ,Matt Nokes,Don Mattingly,Lou Whitaker,Wade Boggs,Alan Trammell,Kirby Puckett,Dwight Evans,George Bell,Paul Molitor,
36,1986,AL, ,Lance Parrish,Don Mattingly,Frank White,Wade Boggs,Cal Ripken Jr.,Kirby Puckett,George Bell,Jesse Barfield,Don Baylor,
37,1985,AL, ,Carlton Fisk,Don Mattingly,Lou Whitaker,George Brett,Cal Ripken Jr.,Rickey Henderson,Dave Winfield,George Bell,Don Baylor,
38,1984,AL, ,Lance Parrish,Eddie Murray,Lou Whitaker,Buddy Bell,Cal Ripken Jr.,Tony Armas,Dave Winfield,Jim Rice,Andre Thornton,
