,Lineup Spot,Player,Position,Year
1598,8,Del Crandall,C,1960: Game 3
1599,9,Vern Law,P,1960: Game 3
1600,,Manager,,1960: Game 3
1601,,Walter Alston,,1960: Game 3
1602,,Reserves,,1960: Game 3
1603,,Ed Bailey,C,1960: Game 3
1604,,Smoky Burgess,C,1960: Game 3
1605,,Norm Larker,1B,1960: Game 3
1606,,Stan Musial,1B,1960: Game 3
1607,,Bill White,1B,1960: Game 3
1608,,Charlie Neal,2B,1960: Game 3
1609,,Tony Taylor,2B,1960: Game 3
1610,,Ken Boyer,3B,1960: Game 3
1611,,Dick Groat,SS,1960: Game 3
1612,,Orlando Cepeda,LF,1960: Game 3
1613,,Vada Pinson,CF,1960: Game 3
1614,,Roberto Clemente,RF,1960: Game 3
1615,,Bob Buhl,P,1960: Game 3
1616,,Roy Face,P,1960: Game 3
1617,,Bob Friend,P,1960: Game 3
1618,,Bill Henry,P,1960: Game 3
1619,,Larry Jackson,P,1960: Game 3
1620,,Mike McCormick,P,1960: Game 3
1621,,Lindy McDaniel,P,1960: Game 3
1622,,Johnny Podres,P,1960: Game 3
1623,,Stan Williams,P,1960: Game 3
1624,1,Minnie Minoso,LF,1960: Game 3
1625,2,Pete Runnels,2B,1960: Game 3
1626,3,Roger Maris,RF,1960: Game 3
1627,4,Mickey Mantle,CF,1960: Game 3
1628,5,Bill Skowron,1B,1960: Game 3
1629,6,Yogi Berra,C,1960: Game 3
1630,7,Frank Malzone,3B,1960: Game 3
1631,8,Ron Hansen,SS,1960: Game 3
1632,9,Whitey Ford,P,1960: Game 3
1633,,Manager,,1960: Game 3
1634,,Al Lopez,,1960: Game 3
1635,,Reserves,,1960: Game 3
1636,,Elston Howard,C,1960: Game 3
1637,,Sherm Lollar,C,1960: Game 3
1638,,Jim Gentile,1B,1960: Game 3
1639,,Vic Power,1B,1960: Game 3
1640,,Nellie Fox,2B,1960: Game 3
1641,,Brooks Robinson,3B,1960: Game 3
1642,,Luis Aparicio,SS,1960: Game 3
1643,,Jim Lemon,LF,1960: Game 3
1644,,Ted Williams,LF,1960: Game 3
1645,,Al Kaline,CF,1960: Game 3
1646,,Harvey Kuenn,RF,1960: Game 3
1647,,Al Smith,RF,1960: Game 3
1648,,Gary Bell,P,1960: Game 3
1649,,Jim Coates,P,1960: Game 3
1650,,Bud Daley,P,1960: Game 3
1651,,Chuck Estrada,P,1960: Game 3
1652,,Frank Lary,P,1960: Game 3
1653,,Bill Monbouquette,P,1960: Game 3
1654,,Camilo Pascual,P,1960: Game 3
1655,,Gerry Staley,P,1960: Game 3
1656,,Dick Stigman,P,1960: Game 3
1657,,Early Wynn,P,1960: Game 3
1658,1,Johnny Temple,2B,1961: Game 2
1659,2,Norm Cash,1B,1961: Game 2
1660,3,Mickey Mantle,CF,1961: Game 2
1661,4,Roger Maris,RF,1961: Game 2
1662,5,Rocky Colavito,LF,1961: Game 2
1663,6,Tony Kubek,SS,1961: Game 2
1664,7,John Romano,C,1961: Game 2
1665,8,Brooks Robinson,3B,1961: Game 2
1666,9,Whitey Ford,P,1961: Game 2
1667,,Manager,,1961: Game 2
1668,,Paul Richards,,1961: Game 2
1669,,Reserves,,1961: Game 2
1670,,Elston Howard,C,1961: Game 2
1671,,Jim Gentile,1B,1961: Game 2
1672,,Harmon Killebrew,1B,1961: Game 2
1673,,Nellie Fox,2B,1961: Game 2
1674,,Dick Howser,SS,1961: Game 2
1675,,Yogi Berra,LF,1961: Game 2
1676,,Jackie Brandt,CF,1961: Game 2
1677,,Al Kaline,RF,1961: Game 2
1678,,Jim Bunning,P,1961: Game 2
1679,,Dick Donovan,P,1961: Game 2
1680,,Ryne Duren,P,1961: Game 2
1681,,Mike Fornieles,P,1961: Game 2
1682,,Frank Lary,P,1961: Game 2
1683,,Jim Perry,P,1961: Game 2
1684,,Billy Pierce,P,1961: Game 2
1685,,Hoyt Wilhelm,P,1961: Game 2
1686,1,Maury Wills,SS,1961: Game 2
1687,2,Eddie Mathews,3B,1961: Game 2
1688,3,Willie Mays,CF,1961: Game 2
1689,4,Orlando Cepeda,LF,1961: Game 2
1690,5,Roberto Clemente,RF,1961: Game 2
1691,6,Bill White,1B,1961: Game 2
1692,7,Frank Bolling,2B,1961: Game 2
1693,8,Smoky Burgess,C,1961: Game 2
1694,9,Warren Spahn,P,1961: Game 2
1695,,Manager,,1961: Game 2
1696,,Danny Murtaugh,,1961: Game 2
1697,,Reserves,,1961: Game 2
1698,,John Roseboro,C,1961: Game 2
1699,,Dick Stuart,1B,1961: Game 2
1700,,Don Zimmer,2B,1961: Game 2
1701,,Ken Boyer,3B,1961: Game 2
1702,,Eddie Kasko,SS,1961: Game 2
1703,,Stan Musial,LF,1961: Game 2
1704,,Frank Robinson,LF,1961: Game 2
1705,,Henry Aaron,CF,1961: Game 2
1706,,George Altman,RF,1961: Game 2
1707,,Roy Face,P,1961: Game 2
1708,,Joey Jay,P,1961: Game 2
1709,,Sandy Koufax,P,1961: Game 2
1710,,Art Mahaffey,P,1961: Game 2
1711,,Mike McCormick,P,1961: Game 2
1712,,Stu Miller,P,1961: Game 2
1713,,Bob Purkey,P,1961: Game 2
1714,1,Maury Wills,SS,1961: Game 3
1715,2,Eddie Mathews,3B,1961: Game 3
1716,3,Willie Mays,CF,1961: Game 3
1717,4,Orlando Cepeda,LF,1961: Game 3
1718,5,Roberto Clemente,RF,1961: Game 3
1719,6,Bill White,1B,1961: Game 3
1720,7,Frank Bolling,2B,1961: Game 3
1721,8,Smoky Burgess,C,1961: Game 3
1722,9,Bob Purkey,P,1961: Game 3
1723,,Manager,,1961: Game 3
1724,,Danny Murtaugh,,1961: Game 3
1725,,Reserves,,1961: Game 3
1726,,Ed Bailey,C,1961: Game 3
1727,,John Roseboro,C,1961: Game 3
1728,,Dick Stuart,1B,1961: Game 3
1729,,Don Zimmer,2B,1961: Game 3
1730,,Ken Boyer,3B,1961: Game 3
1731,,Ernie Banks,SS,1961: Game 3
1732,,Eddie Kasko,SS,1961: Game 3
1733,,Stan Musial,LF,1961: Game 3
1734,,Frank Robinson,LF,1961: Game 3
1735,,Henry Aaron,RF,1961: Game 3
1736,,George Altman,RF,1961: Game 3
1737,,Don Drysdale,P,1961: Game 3
1738,,Roy Face,P,1961: Game 3
1739,,Joey Jay,P,1961: Game 3
1740,,Sandy Koufax,P,1961: Game 3
1741,,Art Mahaffey,P,1961: Game 3
1742,,Mike McCormick,P,1961: Game 3
1743,,Stu Miller,P,1961: Game 3
1744,,Warren Spahn,P,1961: Game 3
1745,1,Norm Cash,1B,1961: Game 3
1746,2,Rocky Colavito,LF,1961: Game 3
1747,3,Al Kaline,RF,1961: Game 3
1748,4,Mickey Mantle,CF,1961: Game 3
1749,5,John Romano,C,1961: Game 3
1750,6,Luis Aparicio,SS,1961: Game 3
1751,7,Johnny Temple,2B,1961: Game 3
1752,8,Brooks Robinson,3B,1961: Game 3
1753,9,Jim Bunning,P,1961: Game 3
1754,,Manager,,1961: Game 3
1755,,Paul Richards,,1961: Game 3
1756,,Reserves,,1961: Game 3
1757,,Elston Howard,C,1961: Game 3
1758,,Jim Gentile,1B,1961: Game 3
1759,,Harmon Killebrew,1B,1961: Game 3
1760,,Roy Sievers,1B,1961: Game 3
1761,,Bill Skowron,1B,1961: Game 3
1762,,Nellie Fox,2B,1961: Game 3
1763,,Dick Howser,SS,1961: Game 3
1764,,Tony Kubek,SS,1961: Game 3
1765,,Yogi Berra,LF,1961: Game 3
1766,,Tito Francona,LF,1961: Game 3
1767,,Jackie Brandt,CF,1961: Game 3
1768,,Roger Maris,RF,1961: Game 3
1769,,Luis Arroyo,P,1961: Game 3
1770,,Dick Donovan,P,1961: Game 3
1771,,Whitey Ford,P,1961: Game 3
1772,,Barry Latman,P,1961: Game 3
1773,,Ken McBride,P,1961: Game 3
1774,,Camilo Pascual,P,1961: Game 3
1775,,Don Schwall,P,1961: Game 3
1776,,Hoyt Wilhelm,P,1961: Game 3
1777,1,Dick Groat,SS,1962: Game 2
1778,2,Roberto Clemente,RF,1962: Game 2
1779,3,Willie Mays,CF,1962: Game 2
1780,4,Orlando Cepeda,1B,1962: Game 2
1781,5,Tommy Davis,LF,1962: Game 2
1782,6,Ken Boyer,3B,1962: Game 2
1783,7,Del Crandall,C,1962: Game 2
1784,8,Bill Mazeroski,2B,1962: Game 2
1785,9,Don Drysdale,P,1962: Game 2
1786,,Manager,,1962: Game 2
1787,,Fred Hutchinson,,1962: Game 2
1788,,Reserves,,1962: Game 2
1789,,John Roseboro,C,1962: Game 2
1790,,Ernie Banks,1B,1962: Game 2
1791,,Frank Bolling,2B,1962: Game 2
1792,,Jim Davenport,3B,1962: Game 2
1793,,Maury Wills,SS,1962: Game 2
1794,,Stan Musial,LF,1962: Game 2
1795,,Henry Aaron,CF,1962: Game 2
1796,,Richie Ashburn,CF,1962: Game 2
1797,,Felipe Alou,RF,1962: Game 2
1798,,Johnny Callison,RF,1962: Game 2
1799,,Turk Farrell,P,1962: Game 2
1800,,Bob Gibson,P,1962: Game 2
1801,,Sandy Koufax,P,1962: Game 2
1802,,Juan Marichal,P,1962: Game 2
1803,,Bob Purkey,P,1962: Game 2
1804,,Bob Shaw,P,1962: Game 2
1805,,Warren Spahn,P,1962: Game 2
1806,1,Rich Rollins,3B,1962: Game 2
1807,2,Billy Moran,2B,1962: Game 2
1808,3,Roger Maris,CF,1962: Game 2
1809,4,Mickey Mantle,RF,1962: Game 2
1810,5,Jim Gentile,1B,1962: Game 2
1811,6,Leon Wagner,LF,1962: Game 2
1812,7,Earl Battey,C,1962: Game 2
1813,8,Luis Aparicio,SS,1962: Game 2
1814,9,Jim Bunning,P,1962: Game 2
1815,,Manager,,1962: Game 2
1816,,Ralph Houk,,1962: Game 2
1817,,Reserves,,1962: Game 2
1818,,Elston Howard,C,1962: Game 2
1819,,John Romano,C,1962: Game 2
1820,,Norm Siebern,1B,1962: Game 2
1821,,Lee Thomas,1B,1962: Game 2
1822,,Bobby Richardson,2B,1962: Game 2
1823,,Brooks Robinson,3B,1962: Game 2
1824,,Tom Tresh,SS,1962: Game 2
1825,,Rocky Colavito,LF,1962: Game 2
1826,,Jim Landis,CF,1962: Game 2
1827,,Hank Aguirre,P,1962: Game 2
1828,,Dick Donovan,P,1962: Game 2
1829,,Bill Monbouquette,P,1962: Game 2
1830,,Milt Pappas,P,1962: Game 2
1831,,Camilo Pascual,P,1962: Game 2
1832,,Dave Stenhouse,P,1962: Game 2
1833,,Ralph Terry,P,1962: Game 2
1834,,Hoyt Wilhelm,P,1962: Game 2
1835,1,Rich Rollins,3B,1962: Game 3
1836,2,Billy Moran,2B,1962: Game 3
1837,3,Roger Maris,CF,1962: Game 3
1838,4,Rocky Colavito,RF,1962: Game 3
1839,5,Jim Gentile,1B,1962: Game 3
1840,6,Earl Battey,C,1962: Game 3
1841,7,Leon Wagner,LF,1962: Game 3
1842,8,Luis Aparicio,SS,1962: Game 3
1843,9,Dave Stenhouse,P,1962: Game 3
1844,,Manager,,1962: Game 3
1845,,Ralph Houk,,1962: Game 3
1846,,Reserves,,1962: Game 3
1847,,Elston Howard,C,1962: Game 3
1848,,John Romano,C,1962: Game 3
1849,,Pete Runnels,1B,1962: Game 3
1850,,Norm Siebern,1B,1962: Game 3
1851,,Bobby Richardson,2B,1962: Game 3
1852,,Brooks Robinson,3B,1962: Game 3
1853,,Tom Tresh,SS,1962: Game 3
1854,,Yogi Berra,LF,1962: Game 3
1855,,Jim Landis,CF,1962: Game 3
1856,,Mickey Mantle,CF,1962: Game 3
1857,,Al Kaline,RF,1962: Game 3
1858,,Lee Thomas,RF,1962: Game 3
1859,,Hank Aguirre,P,1962: Game 3
1860,,Jim Bunning,P,1962: Game 3
1861,,Dick Donovan,P,1962: Game 3
1862,,Ray Herbert,P,1962: Game 3
1863,,Jim Kaat,P,1962: Game 3
1864,,Ken McBride,P,1962: Game 3
1865,,Milt Pappas,P,1962: Game 3
1866,,Camilo Pascual,P,1962: Game 3
1867,,Ralph Terry,P,1962: Game 3
1868,,Hoyt Wilhelm,P,1962: Game 3
1869,1,Dick Groat,SS,1962: Game 3
1870,2,Roberto Clemente,RF,1962: Game 3
1871,3,Willie Mays,CF,1962: Game 3
1872,4,Orlando Cepeda,1B,1962: Game 3
1873,5,Tommy Davis,LF,1962: Game 3
1874,6,Ken Boyer,3B,1962: Game 3
1875,7,Del Crandall,C,1962: Game 3
1876,8,Bill Mazeroski,2B,1962: Game 3
1877,9,Johnny Podres,P,1962: Game 3
1878,,Manager,,1962: Game 3
1879,,Fred Hutchinson,,1962: Game 3
1880,,Reserves,,1962: Game 3
1881,,John Roseboro,C,1962: Game 3
1882,,Ernie Banks,1B,1962: Game 3
1883,,Frank Bolling,2B,1962: Game 3
1884,,Jim Davenport,3B,1962: Game 3
1885,,Eddie Mathews,3B,1962: Game 3
1886,,Maury Wills,SS,1962: Game 3
1887,,Stan Musial,LF,1962: Game 3
1888,,Billy Williams,LF,1962: Game 3
1889,,Henry Aaron,CF,1962: Game 3
1890,,Richie Ashburn,CF,1962: Game 3
1891,,George Altman,RF,1962: Game 3
1892,,Johnny Callison,RF,1962: Game 3
1893,,Frank Robinson,RF,1962: Game 3
1894,,Turk Farrell,P,1962: Game 3
1895,,Bob Gibson,P,1962: Game 3
1896,,Art Mahaffey,P,1962: Game 3
1897,,Juan Marichal,P,1962: Game 3
1898,,Bob Purkey,P,1962: Game 3
1899,,Warren Spahn,P,1962: Game 3
1900,1,Tommy Davis,LF,1963: Game 1
1901,2,Henry Aaron,RF,1963: Game 1
1902,3,Bill White,1B,1963: Game 1
1903,4,Willie Mays,CF,1963: Game 1
1904,5,Ed Bailey,C,1963: Game 1
1905,6,Ken Boyer,3B,1963: Game 1
1906,7,Dick Groat,SS,1963: Game 1
1907,8,Julian Javier,2B,1963: Game 1
1908,9,Jim O'Toole,P,1963: Game 1
1909,,Manager,,1963: Game 1
1910,,Al Dark,,1963: Game 1
1911,,Reserves,,1963: Game 1
1912,,Johnny Edwards,C,1963: Game 1
1913,,Joe Torre,C,1963: Game 1
1914,,Orlando Cepeda,1B,1963: Game 1
1915,,Bill Mazeroski,2B,1963: Game 1
1916,,Ron Santo,3B,1963: Game 1
1917,,Maury Wills,SS,1963: Game 1
1918,,Willie McCovey,LF,1963: Game 1
1919,,Stan Musial,LF,1963: Game 1
1920,,Roberto Clemente,RF,1963: Game 1
1921,,Duke Snider,RF,1963: Game 1
1922,,Ray Culp,P,1963: Game 1
1923,,Don Drysdale,P,1963: Game 1
1924,,Larry Jackson,P,1963: Game 1
1925,,Sandy Koufax,P,1963: Game 1
1926,,Juan Marichal,P,1963: Game 1
1927,,Warren Spahn,P,1963: Game 1
1928,,Hal Woodeshick,P,1963: Game 1
1929,1,Nellie Fox,2B,1963: Game 1
1930,2,Albie Pearson,CF,1963: Game 1
1931,3,Al Kaline,RF,1963: Game 1
1932,4,Frank Malzone,3B,1963: Game 1
1933,5,Leon Wagner,LF,1963: Game 1
1934,6,Earl Battey,C,1963: Game 1
1935,7,Joe Pepitone,1B,1963: Game 1
1936,8,Zoilo Versalles,SS,1963: Game 1
1937,9,Ken McBride,P,1963: Game 1
1938,,Manager,,1963: Game 1
1939,,Ralph Houk,,1963: Game 1
1940,,Reserves,,1963: Game 1
1941,,Elston Howard,C,1963: Game 1
1942,,Don Leppert,C,1963: Game 1
1943,,Norm Siebern,1B,1963: Game 1
1944,,Bobby Richardson,2B,1963: Game 1
1945,,Brooks Robinson,3B,1963: Game 1
1946,,Luis Aparicio,SS,1963: Game 1
1947,,Harmon Killebrew,LF,1963: Game 1
1948,,Carl Yastrzemski,LF,1963: Game 1
1949,,Mickey Mantle,CF,1963: Game 1
1950,,Tom Tresh,CF,1963: Game 1
1951,,Bob Allison,RF,1963: Game 1
1952,,Steve Barber,P,1963: Game 1
1953,,Jim Bouton,P,1963: Game 1
1954,,Jim Bunning,P,1963: Game 1
1955,,Mudcat Grant,P,1963: Game 1
1956,,Bill Monbouquette,P,1963: Game 1
1957,,Juan Pizarro,P,1963: Game 1
1958,,Dick Radatz,P,1963: Game 1
1959,1,Jim Fregosi,SS,1964: Game 1
1960,2,Tony Oliva,RF,1964: Game 1
1961,3,Mickey Mantle,CF,1964: Game 1
1962,4,Harmon Killebrew,LF,1964: Game 1
1963,5,Bob Allison,1B,1964: Game 1
1964,6,Brooks Robinson,3B,1964: Game 1
1965,7,Bobby Richardson,2B,1964: Game 1
1966,8,Elston Howard,C,1964: Game 1
1967,9,Dean Chance,P,1964: Game 1
1968,,Manager,,1964: Game 1
1969,,Al Lopez,,1964: Game 1
1970,,Reserves,,1964: Game 1
1971,,Bill Freehan,C,1964: Game 1
1972,,Joe Pepitone,1B,1964: Game 1
1973,,Norm Siebern,1B,1964: Game 1
1974,,Jerry Lumpe,2B,1964: Game 1
1975,,Frank Malzone,3B,1964: Game 1
1976,,Luis Aparicio,SS,1964: Game 1
1977,,Eddie Bressoud,SS,1964: Game 1
1978,,Chuck Hinton,LF,1964: Game 1
1979,,Jimmie Hall,CF,1964: Game 1
1980,,Rocky Colavito,RF,1964: Game 1
1981,,Al Kaline,RF,1964: Game 1
1982,,Whitey Ford,P,1964: Game 1
1983,,Jack Kralick,P,1964: Game 1
1984,,Camilo Pascual,P,1964: Game 1
1985,,Gary Peters,P,1964: Game 1
1986,,Juan Pizarro,P,1964: Game 1
1987,,Dick Radatz,P,1964: Game 1
1988,,John Wyatt,P,1964: Game 1
1989,1,Roberto Clemente,RF,1964: Game 1
1990,2,Dick Groat,SS,1964: Game 1
1991,3,Billy Williams,LF,1964: Game 1
1992,4,Willie Mays,CF,1964: Game 1
1993,5,Orlando Cepeda,1B,1964: Game 1
1994,6,Ken Boyer,3B,1964: Game 1
1995,7,Joe Torre,C,1964: Game 1
1996,8,Ron Hunt,2B,1964: Game 1
1997,9,Don Drysdale,P,1964: Game 1
1998,,Manager,,1964: Game 1
1999,,Walter Alston,,1964: Game 1
2000,,Reserves,,1964: Game 1
2001,,Smoky Burgess,C,1964: Game 1
2002,,Johnny Edwards,C,1964: Game 1
2003,,Bill White,1B,1964: Game 1
2004,,Bill Mazeroski,2B,1964: Game 1
2005,,Ron Santo,3B,1964: Game 1
2006,,Leo Cardenas,SS,1964: Game 1
2007,,Willie Stargell,LF,1964: Game 1
2008,,Curt Flood,CF,1964: Game 1
2009,,Henry Aaron,RF,1964: Game 1
2010,,Johnny Callison,RF,1964: Game 1
2011,,Jim Bunning,P,1964: Game 1
2012,,Dick Ellsworth,P,1964: Game 1
2013,,Turk Farrell,P,1964: Game 1
2014,,Sandy Koufax,P,1964: Game 1
2015,,Juan Marichal,P,1964: Game 1
2016,,Chris Short,P,1964: Game 1
2017,1,Willie Mays,CF,1965: Game 1
2018,2,Henry Aaron,RF,1965: Game 1
2019,3,Willie Stargell,LF,1965: Game 1
2020,4,Dick Allen,3B,1965: Game 1
2021,5,Joe Torre,C,1965: Game 1
2022,6,Ernie Banks,1B,1965: Game 1
2023,7,Pete Rose,2B,1965: Game 1
2024,8,Maury Wills,SS,1965: Game 1
2025,9,Juan Marichal,P,1965: Game 1
2026,,Manager,,1965: Game 1
2027,,Gene Mauch,,1965: Game 1
2028,,Reserves,,1965: Game 1
2029,,Johnny Edwards,C,1965: Game 1
2030,,Ed Kranepool,1B,1965: Game 1
2031,,Ron Santo,3B,1965: Game 1
2032,,Leo Cardenas,SS,1965: Game 1
2033,,Billy Williams,LF,1965: Game 1
2034,,Cookie Rojas,CF,1965: Game 1
2035,,Johnny Callison,RF,1965: Game 1
2036,,Roberto Clemente,RF,1965: Game 1
2037,,Frank Robinson,RF,1965: Game 1
2038,,Don Drysdale,P,1965: Game 1
2039,,Sammy Ellis,P,1965: Game 1
2040,,Turk Farrell,P,1965: Game 1
2041,,Bob Gibson,P,1965: Game 1
2042,,Sandy Koufax,P,1965: Game 1
2043,,Jim Maloney,P,1965: Game 1
2044,,Bob Veale,P,1965: Game 1
2045,1,Dick McAuliffe,SS,1965: Game 1
2046,2,Brooks Robinson,3B,1965: Game 1
2047,3,Harmon Killebrew,1B,1965: Game 1
2048,4,Rocky Colavito,RF,1965: Game 1
2049,5,Willie Horton,LF,1965: Game 1
2050,6,Felix Mantilla,2B,1965: Game 1
2051,7,Vic Davalillo,CF,1965: Game 1
2052,8,Earl Battey,C,1965: Game 1
2053,9,Milt Pappas,P,1965: Game 1
2054,,Manager,,1965: Game 1
2055,,Al Lopez,,1965: Game 1
2056,,Reserves,,1965: Game 1
2057,,Bill Freehan,C,1965: Game 1
2058,,Elston Howard,C,1965: Game 1
2059,,Joe Pepitone,1B,1965: Game 1
2060,,Bill Skowron,1B,1965: Game 1
2061,,Bobby Richardson,2B,1965: Game 1
2062,,Max Alvis,3B,1965: Game 1
2063,,Zoilo Versalles,SS,1965: Game 1
2064,,Mickey Mantle,LF,1965: Game 1
2065,,Carl Yastrzemski,LF,1965: Game 1
2066,,Jimmie Hall,CF,1965: Game 1
2067,,Al Kaline,CF,1965: Game 1
2068,,Tony Oliva,RF,1965: Game 1
2069,,Eddie Fisher,P,1965: Game 1
2070,,Mudcat Grant,P,1965: Game 1
2071,,Bob Lee,P,1965: Game 1
2072,,Sam McDowell,P,1965: Game 1
2073,,John O'Donoghue,P,1965: Game 1
2074,,Pete Richert,P,1965: Game 1
2075,,Mel Stottlemyre,P,1965: Game 1
2076,1,Dick McAuliffe,SS,1966: Game 1
2077,2,Al Kaline,CF,1966: Game 1
2078,3,Frank Robinson,LF,1966: Game 1
2079,4,Tony Oliva,RF,1966: Game 1
2080,5,Brooks Robinson,3B,1966: Game 1
2081,6,George Scott,1B,1966: Game 1
2082,7,Bill Freehan,C,1966: Game 1
2083,8,Bobby Knoop,2B,1966: Game 1
2084,9,Denny McLain,P,1966: Game 1
2085,,Manager,,1966: Game 1
2086,,Sam Mele,,1966: Game 1
2087,,Reserves,,1966: Game 1
2088,,Earl Battey,C,1966: Game 1
2089,,Andy Etchebarren,C,1966: Game 1
2090,,Norm Cash,1B,1966: Game 1
2091,,Bobby Richardson,2B,1966: Game 1
2092,,Harmon Killebrew,3B,1966: Game 1
2093,,Jim Fregosi,SS,1966: Game 1
2094,,Carl Yastrzemski,LF,1966: Game 1
2095,,Tommie Agee,CF,1966: Game 1
2096,,Rocky Colavito,RF,1966: Game 1
2097,,Steve Barber,P,1966: Game 1
2098,,Gary Bell,P,1966: Game 1
2099,,Catfish Hunter,P,1966: Game 1
2100,,Jim Kaat,P,1966: Game 1
2101,,Sam McDowell,P,1966: Game 1
2102,,Pete Richert,P,1966: Game 1
2103,,Sonny Siebert,P,1966: Game 1
2104,,Mel Stottlemyre,P,1966: Game 1
2105,1,Willie Mays,CF,1966: Game 1
2106,2,Roberto Clemente,RF,1966: Game 1
2107,3,Henry Aaron,LF,1966: Game 1
2108,4,Willie McCovey,1B,1966: Game 1
2109,5,Ron Santo,3B,1966: Game 1
2110,6,Joe Torre,C,1966: Game 1
2111,7,Jim Lefebvre,2B,1966: Game 1
2112,8,Leo Cardenas,SS,1966: Game 1
2113,9,Sandy Koufax,P,1966: Game 1
2114,,Manager,,1966: Game 1
2115,,Walter Alston,,1966: Game 1
2116,,Reserves,,1966: Game 1
2117,,Tom Haller,C,1966: Game 1
2118,,Tim McCarver,C,1966: Game 1
2119,,Ron Hunt,2B,1966: Game 1
2120,,Joe Morgan,2B,1966: Game 1
2121,,Jim Ray Hart,3B,1966: Game 1
2122,,Maury Wills,SS,1966: Game 1
2123,,Dick Allen,LF,1966: Game 1
2124,,Felipe Alou,LF,1966: Game 1
2125,,Willie Stargell,LF,1966: Game 1
2126,,Curt Flood,CF,1966: Game 1
2127,,Jim Bunning,P,1966: Game 1
2128,,Bob Gibson,P,1966: Game 1
2129,,Juan Marichal,P,1966: Game 1
2130,,Billy McCool,P,1966: Game 1
2131,,Gaylord Perry,P,1966: Game 1
2132,,Claude Raymond,P,1966: Game 1
2133,,Phil Regan,P,1966: Game 1
2134,,Bob Veale,P,1966: Game 1
2135,1,Lou Brock,LF,1967: Game 1
2136,2,Roberto Clemente,RF,1967: Game 1
2137,3,Henry Aaron,CF,1967: Game 1
2138,4,Orlando Cepeda,1B,1967: Game 1
2139,5,Dick Allen,3B,1967: Game 1
2140,6,Joe Torre,C,1967: Game 1
2141,7,Bill Mazeroski,2B,1967: Game 1
2142,8,Gene Alley,SS,1967: Game 1
2143,9,Juan Marichal,P,1967: Game 1
2144,,Manager,,1967: Game 1
2145,,Walter Alston,,1967: Game 1
2146,,Reserves,,1967: Game 1
2147,,Tom Haller,C,1967: Game 1
2148,,Tim McCarver,C,1967: Game 1
2149,,Ernie Banks,1B,1967: Game 1
2150,,Tommy Helms,2B,1967: Game 1
2151,,Tony Perez,3B,1967: Game 1
2152,,Pete Rose,LF,1967: Game 1
2153,,Willie Mays,CF,1967: Game 1
2154,,Jim Wynn,CF,1967: Game 1
2155,,Rusty Staub,RF,1967: Game 1
2156,,Mike Cuellar,P,1967: Game 1
2157,,Don Drysdale,P,1967: Game 1
2158,,Bob Gibson,P,1967: Game 1
2159,,Fergie Jenkins,P,1967: Game 1
2160,,Denny Lemaster,P,1967: Game 1
2161,,Claude Osteen,P,1967: Game 1
2162,,Tom Seaver,P,1967: Game 1
2163,,Chris Short,P,1967: Game 1
2164,1,Brooks Robinson,3B,1967: Game 1
2165,2,Rod Carew,2B,1967: Game 1
2166,3,Tony Oliva,CF,1967: Game 1
2167,4,Harmon Killebrew,1B,1967: Game 1
2168,5,Tony Conigliaro,RF,1967: Game 1
2169,6,Carl Yastrzemski,LF,1967: Game 1
2170,7,Bill Freehan,C,1967: Game 1
2171,8,Rico Petrocelli,SS,1967: Game 1
2172,9,Dean Chance,P,1967: Game 1
2173,,Manager,,1967: Game 1
2174,,Hank Bauer,,1967: Game 1
2175,,Reserves,,1967: Game 1
2176,,Paul Casanova,C,1967: Game 1
2177,,Andy Etchebarren,C,1967: Game 1
2178,,Mickey Mantle,1B,1967: Game 1
2179,,Don Mincher,1B,1967: Game 1
2180,,Dick McAuliffe,2B,1967: Game 1
2181,,Max Alvis,3B,1967: Game 1
2182,,Jim Fregosi,SS,1967: Game 1
2183,,Tommie Agee,CF,1967: Game 1
2184,,Ken Berry,RF,1967: Game 1
2185,,Al Kaline,RF,1967: Game 1
2186,,Frank Robinson,RF,1967: Game 1
2187,,Al Downing,P,1967: Game 1
2188,,Steve Hargan,P,1967: Game 1
2189,,Joe Horlen,P,1967: Game 1
2190,,Catfish Hunter,P,1967: Game 1
2191,,Jim Lonborg,P,1967: Game 1
2192,,Jim McGlothlin,P,1967: Game 1
2193,,Gary Peters,P,1967: Game 1
2194,1,Jim Fregosi,SS,1968: Game 1
2195,2,Rod Carew,2B,1968: Game 1
2196,3,Carl Yastrzemski,CF,1968: Game 1
2197,4,Frank Howard,RF,1968: Game 1
2198,5,Willie Horton,LF,1968: Game 1
2199,6,Harmon Killebrew,1B,1968: Game 1
2200,7,Bill Freehan,C,1968: Game 1
2201,8,Brooks Robinson,3B,1968: Game 1
2202,9,Luis Tiant,P,1968: Game 1
2203,,Manager,,1968: Game 1
2204,,Dick Williams,,1968: Game 1
2205,,Reserves,,1968: Game 1
2206,,Joe Azcue,C,1968: Game 1
2207,,Duane Josephson,C,1968: Game 1
2208,,Mickey Mantle,1B,1968: Game 1
2209,,Boog Powell,1B,1968: Game 1
2210,,Davey Johnson,2B,1968: Game 1
2211,,Don Wert,3B,1968: Game 1
2212,,Bert Campaneris,SS,1968: Game 1
2213,,Rick Monday,CF,1968: Game 1
2214,,Ken Harrelson,RF,1968: Game 1
2215,,Tony Oliva,RF,1968: Game 1
2216,,Gary Bell,P,1968: Game 1
2217,,Tommy John,P,1968: Game 1
