,Team,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Date
Trevor Williams,Pittsburgh Pirates,5.2,9,2,1,2,5,0,4.57,27,,,,,,,,,,48,,,-0.018,1.42,-0.01%,0.90,0.5,7/16/2017
Daniel Hudson,Pittsburgh Pirates,0.1,0,0,0,0,0,0,4.38,1,,,,,,,,,,,2,0,0.076,2.73,0.03%,1.73,0.5,7/16/2017
Tony Watson,Pittsburgh Pirates,1,1,0,0,0,0,0,3.67,3,,,,,,,,,,,0,0,0.088,1.58,0.03%,1.00,0.5,7/16/2017
Juan Nicasio,Pittsburgh Pirates,1,2,1,1,1,2,1,2.59,6,,,,,,,,,,,0,0,-0.196,1.18,-0.07%,0.75,-0.5,7/16/2017
"Wade LeBlanc, W (4-2)",Pittsburgh Pirates,1,0,0,0,0,1,0,3.99,3,,,,,,,,,,,0,0,0.038,0.67,0.01%,0.43,0.5,7/16/2017
Pittsburgh Pirates Totals,Pittsburgh Pirates,9,12,3,2,3,8,1,2.00,40,,,,,,,,,,48,2,0,-0.012,1.36,-0.01%,0.87,1.5,7/16/2017
Jason Vargas,Kansas City Royals,5,7,2,2,1,2,1,3.08,23,84,50,30,4,16,8,12,7,0,46,,,-0.041,0.83,-0.03%,1.20,-0.3,7/22/2017
"Scott Alexander, W (2-3)",Kansas City Royals,1,0,0,0,0,0,0,2.08,3,16,12,10,0,2,3,0,0,0,,2,0,0.106,1.30,0.09%,1.87,1.5,7/22/2017
"Peter Moylan, H (12)",Kansas City Royals,1,1,0,0,1,0,0,4.72,5,23,14,8,1,5,2,2,1,0,,0,0,0.050,0.86,0.04%,1.24,0.5,7/22/2017
Joakim Soria,Kansas City Royals,1,0,0,0,1,0,0,3.29,3,18,9,3,2,4,2,0,0,0,,0,0,0.025,0.50,0.02%,0.71,0.5,7/22/2017
Al Alburquerque,Kansas City Royals,1,0,0,0,0,1,0,3.60,3,21,14,9,2,3,1,1,0,0,,0,0,0.007,0.09,0.01%,0.12,0.5,7/22/2017
Kansas City Royals Totals,Kansas City Royals,9,8,2,2,3,3,1,2.00,37,162,99,60,9,30,16,15,8,0,46,2,0,0.147,0.79,0.13%,1.13,2.8,7/22/2017
Danny Salazar,Cleveland Indians,7,4,1,1,3,12,0,4.32,27,112,71,37,14,20,5,7,4,0,74,,,0.365,1.17,0.34%,1.80,2.9,8/5/2017
"Zach McAllister, L (1-1)",Cleveland Indians,0.2,1,1,1,0,1,1,2.27,3,12,9,5,1,3,1,1,0,0,,0,0,-0.188,1.36,-0.17%,2.09,-0.6,8/5/2017
Tyler Olson,Cleveland Indians,0.1,0,0,0,0,0,0,0.00,1,1,1,1,0,0,1,0,0,0,,0,0,0.014,0.52,0.01%,0.80,0.1,8/5/2017
Nick Goody,Cleveland Indians,1,0,0,0,1,2,0,2.23,4,19,13,5,7,1,1,0,0,0,,0,0,0.045,0.61,0.04%,0.94,0.6,8/5/2017
Cleveland Indians Totals,Cleveland Indians,9,5,2,2,4,15,1,2.00,35,144,94,48,22,24,8,8,4,0,74,0,0,0.236,1.10,0.22%,1.70,3.0,8/5/2017
"Joe Biagini, L (3-12)",Toronto Blue Jays,5,3,3,3,4,3,1,5.34,19,74,38,21,4,13,7,5,3,0,48,,,-0.118,1.20,0.00%,0.00,-0.3,9/23/2017
Danny Barnes,Toronto Blue Jays,1,0,0,0,0,1,0,3.52,3,9,7,4,1,2,1,1,0,0,,0,0,0.041,0.52,0.00%,0.00,0.5,9/23/2017
Aaron Loup,Toronto Blue Jays,1,1,0,0,0,1,0,3.88,3,15,10,4,3,3,0,2,1,0,,0,0,0.038,0.57,0.00%,0.00,0.5,9/23/2017
Tim Mayza,Toronto Blue Jays,0.2,1,1,1,0,1,1,8.78,3,12,7,3,2,2,0,2,2,0,,0,0,-0.054,0.38,0.00%,0.00,-0.6,9/23/2017
Luis Santos,Toronto Blue Jays,1.1,2,1,1,1,1,0,2.57,7,25,16,9,3,4,3,2,1,0,,0,0,-0.012,0.22,0.00%,0.00,-0.4,9/23/2017
Toronto Blue Jays Totals,Toronto Blue Jays,9,7,5,5,5,7,2,5.00,35,135,78,41,13,24,11,12,7,0,48,0,0,-0.105,0.82,0.00%,0.00,-0.2,9/23/2017
"Michael Wacha, L (12-9)",St. Louis Cardinals,6,7,5,5,1,8,1,4.13,26,,,,,,,,,,45,,,-0.254,1.01,-0.09%,0.59,-2.0,9/27/2017
Matt Bowman,St. Louis Cardinals,0.1,1,0,0,1,0,0,3.90,3,,,,,,,,,,,2,1,-0.034,0.41,-0.01%,0.24,-1.1,9/27/2017
Zach Duke,St. Louis Cardinals,0.2,0,0,0,0,0,0,4.24,1,,,,,,,,,,,3,0,0.032,0.54,0.01%,0.32,1.6,9/27/2017
Sam Tuivailala,St. Louis Cardinals,1,0,0,0,0,0,0,2.68,3,,,,,,,,,,,0,0,0.008,0.10,0.00%,0.06,0.5,9/27/2017
Brett Cecil,St. Louis Cardinals,1,0,0,0,0,1,0,3.99,3,,,,,,,,,,,0,0,0.004,0.05,0.00%,0.03,0.5,9/27/2017
St. Louis Cardinals Totals,St. Louis Cardinals,9,8,5,5,2,9,1,5.00,36,,,,,,,,,,45,5,1,-0.244,0.79,-0.09%,0.46,-0.4,9/27/2017
"Michael Wacha, W (1-1)",St. Louis Cardinals,5,4,2,2,5,5,0,5.59,23,89,48,27,7,14,8,5,2,0,51,,,0.004,1.25,0.00%,1.15,0.3,4/7/2018
"Dominic Leone, H (1)",St. Louis Cardinals,1,0,0,0,0,2,0,3.86,3,14,8,3,1,4,0,1,1,0,,0,0,0.045,0.60,0.03%,0.55,0.5,4/7/2018
"Matt Bowman, H (3)",St. Louis Cardinals,1,0,0,0,0,2,0,5.40,3,14,9,3,1,5,0,1,0,0,,0,0,0.043,0.58,0.02%,0.53,0.5,4/7/2018
