,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
PJ Dozier,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,3/25/2023
Keon Ellis,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,3/25/2023
Alex Len,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,3/25/2023
Team Totals,SAC,240,44,95,.463,16,43,.372,17,21,.810,14,28,42,30,11,1,8,13,121,,3/25/2023
Keegan Murray,SAC,40:12,8,17,.471,3,10,.300,5,5,1.000,4,7,11,1,3,1,3,1,24,-3,11/10/2023
Domantas Sabonis,SAC,38:12,7,15,.467,0,0,,3,6,.500,6,7,13,13,1,2,5,5,17,+11,11/10/2023
Kevin Huerter,SAC,33:55,11,19,.579,4,10,.400,2,2,1.000,0,9,9,2,3,1,2,4,28,+8,11/10/2023
Keon Ellis,SAC,30:44,2,8,.250,1,7,.143,3,4,.750,1,3,4,2,0,3,1,3,8,+4,11/10/2023
Harrison Barnes,SAC,26:14,1,8,.125,0,4,.000,2,2,1.000,2,2,4,1,0,0,1,1,4,+7,11/10/2023
Malik Monk,SAC,28:40,5,12,.417,2,5,.400,0,0,,0,2,2,8,1,0,2,3,12,+7,11/10/2023
Davion Mitchell,SAC,16:33,1,6,.167,1,6,.167,0,0,,0,1,1,1,0,0,0,1,3,+1,11/10/2023
Alex Len,SAC,9:40,1,1,1.000,0,0,,1,2,.500,3,3,6,0,0,2,2,1,3,-1,11/10/2023
Sasha Vezenkov,SAC,8:24,2,3,.667,2,3,.667,0,0,,0,1,1,0,1,0,0,1,6,+5,11/10/2023
Chris Duarte,SAC,4:38,0,2,.000,0,2,.000,0,0,,0,1,1,0,1,0,1,2,0,-1,11/10/2023
Kessler Edwards,SAC,2:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,11/10/2023
Jordan Ford,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/10/2023
Colby Jones,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/10/2023
JaVale McGee,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/10/2023
Team Totals,SAC,240,38,91,.418,13,47,.277,16,21,.762,16,36,52,28,10,9,17,22,105,,11/10/2023
Harrison Barnes,SAC,37:09,5,10,.500,4,8,.500,5,6,.833,0,1,1,0,2,1,0,2,19,+16,12/22/2023
Domantas Sabonis,SAC,34:37,12,15,.800,0,2,.000,4,5,.800,1,10,11,12,0,0,3,3,28,+27,12/22/2023
Keegan Murray,SAC,32:55,8,13,.615,3,7,.429,2,2,1.000,1,4,5,2,0,0,1,3,21,+25,12/22/2023
De'Aaron Fox,SAC,32:03,9,17,.529,2,6,.333,3,4,.750,0,6,6,7,3,2,2,2,23,+21,12/22/2023
Kevin Huerter,SAC,27:17,5,9,.556,2,6,.333,1,1,1.000,1,1,2,5,1,0,1,1,13,+22,12/22/2023
Malik Monk,SAC,20:27,3,8,.375,0,3,.000,1,2,.500,0,2,2,5,0,3,2,4,7,-3,12/22/2023
Keon Ellis,SAC,17:18,0,3,.000,0,2,.000,1,2,.500,1,2,3,1,1,1,0,3,1,-3,12/22/2023
Trey Lyles,SAC,11:26,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,1,1,0,+4,12/22/2023
JaVale McGee,SAC,10:25,1,2,.500,0,0,,3,4,.750,0,1,1,0,0,0,1,3,5,-7,12/22/2023
Sasha Vezenkov,SAC,6:13,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,1,1,3,-4,12/22/2023
Juan Toscano-Anderson,SAC,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5,12/22/2023
Chris Duarte,SAC,2:24,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-6,12/22/2023
Kessler Edwards,SAC,2:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6,12/22/2023
Davion Mitchell,SAC,2:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6,12/22/2023
Team Totals,SAC,240,44,83,.530,12,38,.316,20,26,.769,7,30,37,32,7,7,12,24,120,,12/22/2023
