,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Richaun Holmes,SAC,22:11,2,5,.400,0,0,,2,2,1.000,0,3,3,1,0,0,0,2,6,-11,11/19/2021
Davion Mitchell,SAC,25:42,2,10,.200,1,5,.200,0,2,.000,2,3,5,4,0,0,1,3,5,-13,11/19/2021
Buddy Hield,SAC,25:18,3,13,.231,3,12,.250,1,2,.500,1,0,1,2,0,0,1,2,10,-12,11/19/2021
Marvin Bagley III,SAC,16:37,1,4,.250,0,2,.000,2,5,.400,1,5,6,1,0,0,0,1,4,0,11/19/2021
Damian Jones,SAC,16:21,2,5,.400,0,1,.000,2,2,1.000,4,5,9,0,0,1,0,0,6,+7,11/19/2021
Terence Davis,SAC,15:27,4,7,.571,1,4,.250,0,1,.000,1,0,1,0,0,1,2,1,9,+7,11/19/2021
Tristan Thompson,SAC,9:28,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,-15,11/19/2021
Jahmi'us Ramsey,SAC,3:10,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+4,11/19/2021
Robert Woodard II,SAC,3:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4,11/19/2021
Maurice Harkless,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/19/2021
Alex Len,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/19/2021
Team Totals,SAC,240,32,84,.381,9,37,.243,16,25,.640,11,29,40,15,8,4,13,18,89,,11/19/2021
Tyrese Haliburton,SAC,37:00,7,13,.538,2,5,.400,1,2,.500,1,1,2,2,4,0,2,4,17,-17,11/20/2021
Harrison Barnes,SAC,35:25,7,13,.538,1,3,.333,3,6,.500,1,7,8,5,1,1,2,1,18,-5,11/20/2021
De'Aaron Fox,SAC,32:53,5,17,.294,1,3,.333,2,3,.667,0,1,1,3,0,1,1,0,13,-7,11/20/2021
Richaun Holmes,SAC,31:08,9,10,.900,0,0,,4,5,.800,4,3,7,0,0,1,0,4,22,-7,11/20/2021
Chimezie Metu,SAC,22:35,3,10,.300,1,5,.200,0,0,,0,3,3,2,1,1,0,3,7,-11,11/20/2021
Buddy Hield,SAC,30:15,6,13,.462,3,8,.375,1,1,1.000,0,3,3,3,0,0,2,1,16,-16,11/20/2021
Maurice Harkless,SAC,19:03,0,1,.000,0,1,.000,1,2,.500,0,2,2,2,2,0,0,1,1,-9,11/20/2021
Davion Mitchell,SAC,16:04,2,8,.250,1,4,.250,1,2,.500,1,1,2,2,0,0,1,0,6,-11,11/20/2021
Alex Len,SAC,12:04,2,6,.333,1,2,.500,0,0,,1,6,7,1,0,1,0,0,5,-9,11/20/2021
Damian Jones,SAC,1:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1,11/20/2021
Jahmi'us Ramsey,SAC,1:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1,11/20/2021
Marvin Bagley III,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/20/2021
Terence Davis,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/20/2021
Tristan Thompson,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/20/2021
Robert Woodard II,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/20/2021
Team Totals,SAC,240,41,91,.451,10,31,.323,13,21,.619,8,27,35,20,8,5,8,14,105,,11/20/2021
Harrison Barnes,SAC,40:01,4,11,.364,1,3,.333,5,6,.833,1,6,7,3,0,0,0,0,14,+8,12/19/2021
Buddy Hield,SAC,39:31,10,18,.556,7,9,.778,2,2,1.000,1,2,3,4,1,0,1,2,29,-1,12/19/2021
Tyrese Haliburton,SAC,37:10,12,19,.632,3,5,.600,0,0,,1,3,4,11,2,0,3,5,27,+4,12/19/2021
Chimezie Metu,SAC,31:28,2,8,.250,0,3,.000,5,6,.833,1,5,6,1,4,0,1,2,9,0,12/19/2021
Tristan Thompson,SAC,28:31,4,10,.400,0,0,,0,0,,3,5,8,1,0,1,3,3,8,+6,12/19/2021
Maurice Harkless,SAC,32:24,2,3,.667,0,1,.000,0,1,.000,0,2,2,1,3,0,1,3,4,+15,12/19/2021
Damian Jones,SAC,19:29,9,15,.600,2,2,1.000,3,3,1.000,4,4,8,1,0,2,1,1,23,+1,12/19/2021
Jahmi'us Ramsey,SAC,8:34,3,4,.750,1,1,1.000,0,0,,0,1,1,1,1,0,1,2,7,+5,12/19/2021
Justin Robinson,SAC,2:52,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-3,12/19/2021
Neemias Queta,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,12/19/2021
Robert Woodard II,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,12/19/2021
Team Totals,SAC,240,46,91,.505,14,25,.560,15,18,.833,11,29,40,23,11,3,11,19,121,,12/19/2021
Harrison Barnes,SAC,37:40,5,9,.556,2,5,.400,4,4,1.000,0,9,9,6,0,0,3,4,16,+6,1/14/2022
De'Aaron Fox,SAC,34:27,11,18,.611,2,4,.500,3,6,.500,0,6,6,8,2,0,4,2,27,+10,1/14/2022
Marvin Bagley III,SAC,32:51,12,20,.600,0,2,.000,2,2,1.000,4,9,13,1,0,2,1,1,26,+8,1/14/2022
Tyrese Haliburton,SAC,31:25,3,8,.375,1,6,.167,2,2,1.000,1,5,6,12,0,0,1,2,9,-3,1/14/2022
Chimezie Metu,SAC,13:09,3,4,.750,1,2,.500,0,0,,0,2,2,0,1,0,2,3,7,+7,1/14/2022
Buddy Hield,SAC,32:06,5,13,.385,4,10,.400,5,6,.833,1,5,6,1,1,0,0,2,19,+12,1/14/2022
Davion Mitchell,SAC,24:17,2,11,.182,0,4,.000,0,0,,1,3,4,2,0,2,0,2,4,+15,1/14/2022
Terence Davis,SAC,17:31,5,8,.625,3,4,.750,1,2,.500,0,0,0,1,2,1,1,2,14,+6,1/14/2022
Alex Len,SAC,11:54,1,2,.500,0,0,,0,2,.000,4,0,4,2,2,2,2,3,2,+1,1/14/2022
Neemias Queta,SAC,4:39,1,3,.333,0,0,,0,0,,2,1,3,0,0,0,0,2,2,-2,1/14/2022
Maurice Harkless,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,1/14/2022
Team Totals,SAC,240,48,96,.500,13,37,.351,17,24,.708,13,40,53,33,8,7,14,23,126,,1/14/2022
Justin Holiday,SAC,40:32,7,13,.538,6,12,.500,1,3,.333,0,1,1,3,2,2,2,1,21,-11,3/18/2022
Domantas Sabonis,SAC,36:50,12,20,.600,1,1,1.000,5,7,.714,6,14,20,5,1,1,4,3,30,-2,3/18/2022
Davion Mitchell,SAC,35:09,5,14,.357,1,4,.250,1,2,.500,0,1,1,2,1,1,4,2,12,-25,3/18/2022
Trey Lyles,SAC,31:41,5,9,.556,3,5,.600,6,6,1.000,1,5,6,4,0,1,1,1,19,-7,3/18/2022
Harrison Barnes,SAC,24:18,0,5,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,1,0,-29,3/18/2022
Donte DiVincenzo,SAC,29:53,0,6,.000,0,5,.000,3,4,.750,0,2,2,8,0,0,2,1,3,-13,3/18/2022
Chimezie Metu,SAC,22:40,3,8,.375,2,5,.400,2,2,1.000,0,4,4,0,1,1,3,3,10,-12,3/18/2022
Damian Jones,SAC,11:10,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,-27,3/18/2022
Maurice Harkless,SAC,4:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-10,3/18/2022
Josh Jackson,SAC,3:25,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9,3/18/2022
Alex Len,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,3/18/2022
Team Totals,SAC,240,33,79,.418,13,36,.361,18,24,.750,8,29,37,23,5,6,16,14,97,,3/18/2022
Davion Mitchell,SAC,46:12,9,22,.409,4,7,.571,6,6,1.000,0,3,3,9,1,0,5,3,28,+6,3/20/2022
Harrison Barnes,SAC,41:08,7,16,.438,1,5,.200,6,8,.750,1,3,4,3,0,0,2,1,21,-6,3/20/2022
Trey Lyles,SAC,32:55,3,8,.375,2,4,.500,3,3,1.000,0,5,5,1,2,1,0,3,11,+5,3/20/2022
Domantas Sabonis,SAC,31:00,5,8,.625,1,1,1.000,7,9,.778,2,10,12,6,2,0,2,4,18,+5,3/20/2022
Justin Holiday,SAC,27:24,3,9,.333,2,7,.286,2,2,1.000,1,2,3,1,0,0,0,5,10,-10,3/20/2022
Donte DiVincenzo,SAC,28:45,4,11,.364,3,6,.500,2,2,1.000,0,1,1,3,3,0,4,2,13,+2,3/20/2022
Damian Jones,SAC,22:00,5,8,.625,1,1,1.000,2,4,.500,4,3,7,1,2,1,1,3,13,-8,3/20/2022
Chimezie Metu,SAC,20:05,1,4,.250,1,1,1.000,2,2,1.000,1,1,2,0,2,0,0,0,5,-8,3/20/2022
Jeremy Lamb,SAC,15:31,2,5,.400,1,2,.500,0,0,,0,5,5,3,0,0,1,0,5,-1,3/20/2022
Maurice Harkless,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,3/20/2022
Josh Jackson,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,3/20/2022
Alex Len,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,3/20/2022
Team Totals,SAC,265,39,91,.429,16,34,.471,30,36,.833,9,33,42,27,12,2,15,21,124,,3/20/2022
Drew Eubanks,POR,31:26,10,12,.833,1,2,.500,0,0,,2,7,9,1,1,1,2,5,21,-7,3/30/2022
CJ Elleby,POR,30:42,1,9,.111,1,6,.167,6,7,.857,2,5,7,3,0,0,1,2,9,-1,3/30/2022
Greg Brown III,POR,27:20,3,5,.600,3,5,.600,0,0,,0,3,3,3,0,1,2,2,9,-12,3/30/2022
Brandon Williams,POR,27:16,4,10,.400,2,6,.333,0,0,,1,1,2,10,1,0,6,2,10,-5,3/30/2022
Keon Johnson,POR,22:01,2,5,.400,1,2,.500,2,3,.667,0,2,2,4,0,1,2,5,7,-18,3/30/2022
Ben McLemore,POR,25:59,5,12,.417,3,10,.300,3,3,1.000,0,1,1,1,2,0,2,1,16,+8,3/30/2022
Kris Dunn,POR,24:39,4,9,.444,0,0,,1,1,1.000,1,4,5,8,2,0,3,1,9,-8,3/30/2022
Keljin Blevins,POR,22:33,2,6,.333,2,4,.500,0,0,,1,3,4,0,1,0,1,3,6,-4,3/30/2022
Reggie Perry,POR,16:34,6,11,.545,0,2,.000,3,4,.750,4,2,6,0,0,0,1,5,15,-3,3/30/2022
Didi Louzada,POR,11:30,2,6,.333,1,5,.200,0,0,,2,0,2,0,0,1,0,1,5,0,3/30/2022
Elijah Hughes,POR,Did Not Play,,,,,,,,,,,,,,,,,,,,3/30/2022
Justise Winslow,POR,Did Not Dress,,,,,,,,,,,,,,,,,,,,3/30/2022
Team Totals,POR,240,39,85,.459,14,42,.333,15,18,.833,13,28,41,30,7,4,20,27,107,,3/30/2022
Domantas Sabonis,SAC,34:39,4,12,.333,0,3,.000,3,6,.500,3,7,10,7,2,2,1,4,11,+7,10/22/2022
Harrison Barnes,SAC,34:29,2,10,.200,0,3,.000,4,7,.571,1,6,7,0,1,0,1,2,8,+4,10/22/2022
De'Aaron Fox,SAC,32:26,15,23,.652,3,5,.600,3,6,.500,1,4,5,4,1,1,3,1,36,+5,10/22/2022
Kevin Huerter,SAC,32:26,5,9,.556,5,8,.625,3,4,.750,0,3,3,5,0,0,1,4,18,+5,10/22/2022
KZ Okpala,SAC,18:20,1,3,.333,1,2,.500,0,0,,1,2,3,1,0,0,0,1,3,+2,10/22/2022
Keegan Murray,SAC,32:48,7,10,.700,3,6,.500,2,2,1.000,1,4,5,2,0,2,2,3,19,-4,10/22/2022
Davion Mitchell,SAC,16:06,2,7,.286,0,2,.000,0,0,,0,0,0,2,0,0,1,2,4,-10,10/22/2022
Malik Monk,SAC,13:03,0,4,.000,0,2,.000,0,1,.000,0,2,2,1,1,0,2,1,0,-13,10/22/2022
Richaun Holmes,SAC,12:49,1,2,.500,0,0,,0,0,,2,1,3,0,0,0,0,2,2,-6,10/22/2022
Terence Davis,SAC,12:24,3,5,.600,2,4,.500,0,0,,0,1,1,2,0,0,1,1,8,+1,10/22/2022
Chimezie Metu,SAC,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1,10/22/2022
Matthew Dellavedova,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,10/22/2022
Alex Len,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,10/22/2022
Trey Lyles,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,10/22/2022
Chima Moneke,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,10/22/2022
Team Totals,SAC,240,40,85,.471,14,35,.400,15,26,.577,9,30,39,24,5,5,12,21,109,,10/22/2022
Keegan Murray,SAC,39:13,7,15,.467,3,8,.375,1,1,1.000,3,3,6,0,0,0,2,1,18,-10,10/27/2022
Harrison Barnes,SAC,37:28,6,12,.500,1,4,.250,7,8,.875,0,3,3,3,1,0,2,0,20,-12,10/27/2022
De'Aaron Fox,SAC,35:25,11,19,.579,2,6,.333,3,3,1.000,1,5,6,2,1,1,3,5,27,-2,10/27/2022
Domantas Sabonis,SAC,30:52,4,6,.667,0,1,.000,3,4,.750,3,8,11,9,1,0,4,4,11,+7,10/27/2022
Kevin Huerter,SAC,19:09,3,8,.375,1,4,.250,0,0,,0,2,2,2,0,0,0,1,7,+7,10/27/2022
Malik Monk,SAC,22:01,5,9,.556,3,7,.429,2,2,1.000,0,2,2,7,0,1,1,2,15,-11,10/27/2022
Chimezie Metu,SAC,13:57,1,4,.250,0,2,.000,0,0,,0,3,3,2,0,0,0,1,2,-6,10/27/2022
Davion Mitchell,SAC,12:01,2,4,.500,1,2,.500,2,2,1.000,0,1,1,1,1,0,0,0,7,-13,10/27/2022
Terence Davis,SAC,10:52,1,5,.200,1,4,.250,0,0,,0,2,2,1,1,0,1,1,3,-14,10/27/2022
Richaun Holmes,SAC,8:24,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-12,10/27/2022
Chima Moneke,SAC,6:18,0,1,.000,0,0,,0,2,.000,2,0,2,1,0,0,0,2,0,-9,10/27/2022
Alex Len,SAC,3:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0,10/27/2022
Matthew Dellavedova,SAC,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,10/27/2022
KZ Okpala,SAC,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,10/27/2022
Trey Lyles,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,10/27/2022
Team Totals,SAC,240,40,83,.482,12,38,.316,18,22,.818,9,31,40,28,5,2,13,20,110,,10/27/2022
Domantas Sabonis,SAC,40:44,12,19,.632,2,2,1.000,2,5,.400,5,18,23,7,1,0,1,4,28,+6,12/19/2022
De'Aaron Fox,SAC,33:43,14,25,.560,2,5,.400,7,9,.778,1,4,5,2,0,0,2,5,37,-20,12/19/2022
Kevin Huerter,SAC,31:47,3,11,.273,3,8,.375,0,2,.000,1,2,3,1,0,0,0,5,9,+6,12/19/2022
Keegan Murray,SAC,31:02,4,9,.444,3,5,.600,0,2,.000,0,1,1,0,1,1,0,4,11,+8,12/19/2022
Harrison Barnes,SAC,29:29,3,7,.429,0,2,.000,5,8,.625,0,3,3,3,2,0,1,1,11,+2,12/19/2022
Malik Monk,SAC,24:51,4,13,.308,1,6,.167,3,4,.750,0,1,1,4,0,0,2,1,12,-4,12/19/2022
Davion Mitchell,SAC,21:04,3,4,.750,1,2,.500,0,0,,1,0,1,5,1,0,0,0,7,+1,12/19/2022
Terence Davis,SAC,14:43,1,4,.250,0,3,.000,0,1,.000,0,0,0,1,3,0,0,1,2,-11,12/19/2022
Neemias Queta,SAC,7:16,1,3,.333,0,0,,0,0,,2,2,4,0,0,1,1,0,2,-12,12/19/2022
Trey Lyles,SAC,5:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-6,12/19/2022
Matthew Dellavedova,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,12/19/2022
Richaun Holmes,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,12/19/2022
Alex Len,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,12/19/2022
Chimezie Metu,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,12/19/2022
KZ Okpala,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,12/19/2022
Team Totals,SAC,240,45,95,.474,12,33,.364,17,31,.548,10,32,42,23,8,2,8,23,119,,12/19/2022
Harrison Barnes,SAC,39:08,3,7,.429,1,4,.250,4,4,1.000,1,1,2,2,0,0,2,1,11,-1,1/20/2023
De'Aaron Fox,SAC,38:18,10,23,.435,2,6,.333,3,7,.429,0,4,4,2,0,0,1,3,25,+3,1/20/2023
Domantas Sabonis,SAC,37:47,5,9,.556,0,1,.000,8,8,1.000,4,10,14,14,0,0,6,3,18,+4,1/20/2023
Keegan Murray,SAC,37:20,10,12,.833,5,7,.714,4,4,1.000,3,11,14,1,0,0,2,1,29,+10,1/20/2023
Kevin Huerter,SAC,34:38,6,13,.462,2,7,.286,0,0,,2,4,6,1,0,1,2,2,14,+6,1/20/2023
Malik Monk,SAC,15:40,1,6,.167,0,5,.000,3,3,1.000,0,3,3,5,0,1,2,2,5,-2,1/20/2023
Trey Lyles,SAC,13:38,2,9,.222,1,5,.200,2,2,1.000,1,4,5,0,0,0,0,0,7,-2,1/20/2023
Davion Mitchell,SAC,11:25,2,4,.500,1,2,.500,0,0,,0,2,2,0,1,0,0,2,5,+6,1/20/2023
Chimezie Metu,SAC,10:13,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,0,3,4,+1,1/20/2023
KZ Okpala,SAC,1:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,1/20/2023
Terence Davis,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
Matthew Dellavedova,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
PJ Dozier,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
Richaun Holmes,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
Alex Len,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
Team Totals,SAC,240,41,87,.471,12,38,.316,24,28,.857,13,40,53,25,1,2,15,17,118,,1/20/2023
Keegan Murray,SAC,41:26,4,9,.444,3,8,.375,2,2,1.000,1,3,4,1,0,1,0,2,13,-3,1/21/2023
De'Aaron Fox,SAC,38:13,11,19,.579,0,2,.000,9,10,.900,0,4,4,9,2,0,1,2,31,+3,1/21/2023
Harrison Barnes,SAC,37:56,8,13,.615,6,9,.667,5,7,.714,1,3,4,1,0,0,0,2,27,+6,1/21/2023
Domantas Sabonis,SAC,37:41,7,10,.700,0,1,.000,2,4,.500,1,8,9,10,0,0,4,3,16,-2,1/21/2023
Kevin Huerter,SAC,30:44,8,12,.667,2,4,.500,2,2,1.000,1,2,3,3,3,0,0,4,20,+12,1/21/2023
Malik Monk,SAC,20:15,3,10,.300,1,5,.200,2,2,1.000,0,2,2,3,1,2,0,3,9,-8,1/21/2023
Davion Mitchell,SAC,11:52,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,0,2,3,-7,1/21/2023
Trey Lyles,SAC,11:26,1,3,.333,0,1,.000,0,2,.000,0,1,1,0,0,0,0,1,2,-10,1/21/2023
Richaun Holmes,SAC,5:33,2,2,1.000,0,0,,0,0,,0,1,1,0,0,2,0,0,4,-2,1/21/2023
Chimezie Metu,SAC,4:41,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,2,1,2,+4,1/21/2023
KZ Okpala,SAC,0:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-3,1/21/2023
Alex Len,SAC,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1/21/2023
Terence Davis,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,1/21/2023
Matthew Dellavedova,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,1/21/2023
