Date,Home,Visitor,Sport
12/2/2018,Miami Heat,Utah Jazz,NBA
12/22/2018,Vancouver Canucks,Winnipeg Jets,NHL
3/2/2019,St. Louis Cardinals,Miami Marlins,MLB Spring Training
4/27/2019,Seattle Mariners,Texas Rangers,MLB
7/13/2019,Chicago Cubs,Pittsburgh Pirates,MLB
8/24/2019,Palm Beach Cardinals,Fort Myers Miracle,MiLB
9/7/2019,Florida Atlantic Owls,UCF Knights,NCAA FB
9/27/2019,Washington Nationals,Cleveland Indians,MLB
11/8/2019,Atlanta Hawks,Sacramento Kings,NBA
1/16/2020,Florida Panthers,Los Angeles Kings,NHL
2/29/2020,Florida Panthers,Chicago Blackhawks,NHL
7/5/2021,Texas Rangers,Detroit Tigers,MLB
7/6/2021,Houston Astros,Oakland Athletics,MLB
7/15/2021,Sacramento River Cats,Round Rock Express,MiLB
8/5/2021,Sacramento River Cats,El Paso Chihuahuas,MiLB
8/21/2021,Sacramento River Cats,Tacoma Rainiers,MiLB
9/2/2021,Sacramento River Cats,Salt Lake Bees,MiLB
9/3/2021,Sacramento River Cats,Salt Lake Bees,MiLB
11/3/2021,Sacramento Kings,New Orleans Pelicans,NBA
11/7/2021,Sacramento Kings,Indiana Pacers,NBA
11/19/2021,Sacramento Kings,Toronto Raptors,NBA
11/20/2021,Sacramento Kings,Utah Jazz,NBA
12/19/2021,Sacramento Kings,San Antonio Spurs,NBA
1/14/2022,Sacramento Kings,Houston Rockets,NBA
3/18/2022,Sacramento Kings,Boston Celtics,NBA
3/20/2022,Sacramento Kings,Phoenix Suns,NBA
3/30/2022,Portland Trailblazers,New Orleans Pelicans,NBA
4/7/2022,Sacramento River Cats,Sugar Land Space Cowboys,MiLB
5/6/2022,Sacramento River Cats,Las Vegas Aviators,MiLB
5/7/2022,San Francisco Giants,St. Louis Cardinals,MLB
5/27/2022,Sacramento River Cats,Salt Lake Bees,MiLB
6/24/2022,Sacramento River Cats,El Paso Chihuahuas,MiLB
8/5/2022,Sacramento River Cats,Tacoma Rainiers,MiLB
9/26/2022,Sacramento River Cats,Las Vegas Aviators,MiLB
10/22/2022,Sacramento Kings,Los Angeles Clippers,NBA
10/27/2022,Sacramento Kings,Memphis Grizzlies,NBA
11/25/2022,Fresno State Bulldogs,Wyoming Cowboys,NCAAF
12/19/2022,Sacramento Kings,Charlotte Hornets,NBA
1/20/2023,Sacramento Kings,Oklahoma City Thunder,NBA
