,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
14,Jeff Teague,ATL,35:41,9.0,17.0,0.529,2.0,4.0,0.5,6.0,7.0,0.857,0.0,4.0,4.0,8.0,3.0,0.0,0.0,0.0,26.0,24.0,1/2/2015,1,27.1
15,DeMarre Carroll,ATL,33:53,3.0,9.0,0.333,0.0,4.0,0.0,4.0,5.0,0.8,1.0,6.0,7.0,3.0,1.0,0.0,2.0,2.0,10.0,1.0,1/2/2015,1,7.299999999999997
16,Paul Millsap,ATL,33:42,2.0,11.0,0.182,1.0,3.0,0.333,10.0,10.0,1.0,3.0,8.0,11.0,4.0,0.0,0.0,2.0,4.0,15.0,22.0,1/2/2015,1,11.800000000000002
17,Kyle Korver,ATL,32:00,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,2.0,6.0,8.0,2.0,1.0,0.0,1.0,6.0,9.0,28.0,1/2/2015,1,8.899999999999999
18,Al Horford,ATL,29:13,6.0,13.0,0.462,0.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,0.0,1.0,2.0,2.0,0.0,13.0,0.0,1/2/2015,1,8.200000000000001
19,Elton Brand,ATL,18:47,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,1/2/2015,1,6.300000000000001
20,Thabo Sefolosha,ATL,17:45,2.0,5.0,0.4,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,1.0,6.0,-9.0,1/2/2015,1,8.4
21,Mike Scott,ATL,14:18,3.0,8.0,0.375,1.0,4.0,0.25,1.0,2.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,-16.0,1/2/2015,1,3.5999999999999996
22,Kent Bazemore,ATL,12:22,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,-8.0,1/2/2015,1,1.7000000000000004
23,Dennis Schröder,ATL,12:19,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,-18.0,1/2/2015,1,-0.8
28,Matt Barnes,MEM,36:03,8.0,17.0,0.471,5.0,10.0,0.5,3.0,3.0,1.0,0.0,6.0,6.0,1.0,0.0,1.0,4.0,4.0,24.0,-13.0,4/3/2016,1,12.899999999999999
29,Zach Randolph,MEM,31:40,5.0,15.0,0.333,1.0,2.0,0.5,4.0,6.0,0.667,2.0,5.0,7.0,7.0,0.0,0.0,1.0,3.0,15.0,-1.0,4/3/2016,1,11.3
30,Chris Andersen,MEM,15:59,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,-25.0,4/3/2016,1,1.2
31,Jordan Farmar,MEM,14:14,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,-7.0,4/3/2016,1,-0.40000000000000036
32,Tony Allen,MEM,14:01,5.0,8.0,0.625,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,10.0,-8.0,4/3/2016,1,8.799999999999999
33,Xavier Munford,MEM,33:46,4.0,8.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,10.0,-5.0,4/3/2016,1,4.699999999999998
34,JaMychal Green,MEM,29:59,5.0,9.0,0.556,0.0,0.0,0.0,1.0,4.0,0.25,3.0,7.0,10.0,3.0,0.0,1.0,0.0,4.0,11.0,-2.0,4/3/2016,1,10.899999999999999
35,Vince Carter,MEM,24:25,6.0,9.0,0.667,1.0,2.0,0.5,0.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,13.0,-6.0,4/3/2016,1,10.600000000000001
36,Lance Stephenson,MEM,22:45,4.0,11.0,0.364,0.0,0.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,3.0,0.0,1.0,1.0,1.0,11.0,-4.0,4/3/2016,1,7.1
37,Jarell Martin,MEM,15:36,1.0,3.0,0.333,0.0,0.0,0.0,5.0,6.0,0.833,2.0,4.0,6.0,1.0,0.0,0.0,1.0,2.0,7.0,11.0,4/3/2016,1,6.400000000000001
38,Bryce Cotton,MEM,0:46,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4/3/2016,1,1.7
39,Ryan Hollins,MEM,0:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4/3/2016,1,0.7
42,Donovan Mitchell,UTA,34:45,6.0,17.0,0.353,1.0,6.0,0.167,4.0,5.0,0.8,0.0,7.0,7.0,3.0,2.0,1.0,3.0,4.0,17.0,-11.0,12/27/2017,1,9.399999999999999
43,Thabo Sefolosha,UTA,32:49,4.0,12.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,3.0,5.0,8.0,1.0,2.0,1.0,2.0,3.0,11.0,-14.0,12/27/2017,1,8.0
44,Ricky Rubio,UTA,25:31,5.0,13.0,0.385,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,10.0,-9.0,12/27/2017,1,5.5
45,Derrick Favors,UTA,25:30,7.0,11.0,0.636,0.0,0.0,0.0,3.0,4.0,0.75,5.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,17.0,-6.0,12/27/2017,1,15.800000000000002
46,Joe Ingles,UTA,24:03,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,0.0,4.0,2.0,3.0,-24.0,12/27/2017,1,1.8999999999999995
47,Rodney Hood,UTA,29:16,9.0,20.0,0.45,2.0,5.0,0.4,6.0,8.0,0.75,2.0,3.0,5.0,0.0,3.0,0.0,1.0,1.0,26.0,-22.0,12/27/2017,1,18.7
48,Ekpe Udoh,UTA,22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-19.0,12/27/2017,1,1.6
49,Alec Burks,UTA,20:04,3.0,8.0,0.375,1.0,3.0,0.333,3.0,4.0,0.75,0.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,10.0,-17.0,12/27/2017,1,5.699999999999998
50,Joe Johnson,UTA,15:11,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,-11.0,12/27/2017,1,-0.7999999999999999
51,Royce O'Neale,UTA,10:21,1.0,3.0,0.333,0.0,2.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,5.0,8.0,12/27/2017,1,4.400000000000001
56,Brandon Ingram,LAL,33:39,7.0,13.0,0.538,0.0,2.0,0.0,3.0,4.0,0.75,0.0,6.0,6.0,7.0,0.0,0.0,0.0,1.0,17.0,-7.0,11/17/2018,1,16.6
57,Lonzo Ball,LAL,28:13,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,2.0,1.0,3.0,4.0,0.0,-9.0,11/17/2018,1,-1.1
58,Kyle Kuzma,LAL,27:09,3.0,10.0,0.3,1.0,4.0,0.25,1.0,2.0,0.5,0.0,6.0,6.0,0.0,0.0,2.0,5.0,2.0,8.0,-7.0,11/17/2018,1,-0.8000000000000007
59,LeBron James,LAL,25:53,8.0,19.0,0.421,3.0,6.0,0.5,3.0,4.0,0.75,0.0,4.0,4.0,7.0,0.0,1.0,3.0,0.0,22.0,-11.0,11/17/2018,1,15.299999999999997
60,JaVale McGee,LAL,15:55,5.0,7.0,0.714,0.0,0.0,0.0,1.0,2.0,0.5,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,11.0,-6.0,11/17/2018,1,8.700000000000001
61,Kentavious Caldwell-Pope,LAL,28:19,3.0,9.0,0.333,0.0,3.0,0.0,4.0,4.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,10.0,-6.0,11/17/2018,1,6.099999999999999
62,Lance Stephenson,LAL,21:40,6.0,9.0,0.667,1.0,3.0,0.333,6.0,6.0,1.0,1.0,5.0,6.0,3.0,2.0,0.0,1.0,1.0,19.0,-2.0,11/17/2018,1,20.0
63,Josh Hart,LAL,20:11,5.0,7.0,0.714,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,13.0,-17.0,11/17/2018,1,12.0
64,Tyson Chandler,LAL,17:21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,-12.0,11/17/2018,1,1.1999999999999997
65,Svi Mykhailiuk,LAL,10:30,2.0,3.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,11/17/2018,1,6.300000000000001
66,Michael Beasley,LAL,9:04,3.0,6.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,7.0,5.0,11/17/2018,1,4.1
67,Moritz Wagner,LAL,2:06,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11/17/2018,1,-0.7
70,Tim Hardaway Jr.,NYK,35:57,9.0,20.0,0.45,5.0,10.0,0.5,9.0,10.0,0.9,1.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,32.0,-24.0,11/18/2018,1,24.8
71,Kevin Knox,NYK,23:26,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,-17.0,11/18/2018,1,-2.0
72,Emmanuel Mudiay,NYK,22:40,5.0,8.0,0.625,0.0,1.0,0.0,2.0,4.0,0.5,1.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,12.0,-21.0,11/18/2018,1,6.5
73,Allonzo Trier,NYK,12:41,2.0,5.0,0.4,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,-11.0,11/18/2018,1,5.3
74,Mitchell Robinson,NYK,8:42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,-3.0,11/18/2018,1,-0.30000000000000004
75,Enes Freedom,NYK,37:41,8.0,16.0,0.5,0.0,1.0,0.0,5.0,5.0,1.0,8.0,11.0,19.0,3.0,0.0,1.0,4.0,3.0,21.0,-4.0,11/18/2018,1,19.5
76,Noah Vonleh,NYK,34:32,2.0,5.0,0.4,1.0,1.0,1.0,2.0,2.0,1.0,2.0,7.0,9.0,1.0,0.0,1.0,2.0,4.0,7.0,-4.0,11/18/2018,1,5.599999999999998
77,Trey Burke,NYK,29:11,11.0,20.0,0.55,1.0,7.0,0.143,8.0,10.0,0.8,1.0,2.0,3.0,2.0,2.0,0.0,3.0,2.0,31.0,6.0,11/18/2018,1,21.499999999999996
78,Frank Ntilikina,NYK,21:31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,10.0,11/18/2018,1,1.4999999999999998
79,Damyean Dotson,NYK,13:39,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,-2.0,11/18/2018,1,-0.8999999999999998
83,Donovan Mitchell,UTA,37:40,8.0,24.0,0.333,1.0,7.0,0.143,1.0,1.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,2.0,18.0,-5.0,12/2/2018,1,6.200000000000001
84,Rudy Gobert,UTA,37:15,5.0,9.0,0.556,0.0,0.0,0.0,2.0,5.0,0.4,4.0,14.0,18.0,4.0,1.0,3.0,2.0,2.0,12.0,19.0,12/2/2018,1,16.599999999999998
85,Ricky Rubio,UTA,36:05,9.0,13.0,0.692,2.0,4.0,0.5,3.0,3.0,1.0,0.0,5.0,5.0,6.0,1.0,0.0,3.0,3.0,23.0,14.0,12/2/2018,1,20.0
86,Jae Crowder,UTA,34:09,6.0,15.0,0.4,3.0,7.0,0.429,4.0,4.0,1.0,2.0,4.0,6.0,2.0,1.0,0.0,4.0,3.0,19.0,1.0,12/2/2018,1,10.7
87,Joe Ingles,UTA,29:10,5.0,13.0,0.385,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,11.0,7.0,12/2/2018,1,8.3
88,Royce O'Neale,UTA,18:43,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,6.0,4.0,12/2/2018,1,6.0
89,Derrick Favors,UTA,17:53,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,7.0,0.0,2.0,2.0,0.0,2.0,5.0,-19.0,12/2/2018,1,8.9
90,Kyle Korver,UTA,17:23,1.0,6.0,0.167,1.0,5.0,0.2,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,-18.0,12/2/2018,1,-0.7999999999999994
91,Thabo Sefolosha,UTA,6:39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,12/2/2018,1,-0.39999999999999997
92,Raul Neto,UTA,3:07,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-4.0,12/2/2018,1,2.4
93,Dante Exum,UTA,1:55,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.0,12/2/2018,1,-0.5
97,Harrison Barnes,SAC,35:45,5.0,10.0,0.5,2.0,4.0,0.5,4.0,6.0,0.667,3.0,1.0,4.0,4.0,2.0,0.0,0.0,2.0,16.0,14.0,11/8/2019,1,16.599999999999998
98,De'Aaron Fox,SAC,29:54,6.0,10.0,0.6,0.0,0.0,0.0,5.0,6.0,0.833,1.0,3.0,4.0,9.0,1.0,1.0,5.0,3.0,17.0,-4.0,11/8/2019,1,15.399999999999999
99,Richaun Holmes,SAC,29:18,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,1.0,0.0,1.0,0.0,1.0,2.0,10.0,11/8/2019,1,4.1
100,Buddy Hield,SAC,25:54,9.0,17.0,0.529,3.0,8.0,0.375,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,22.0,-4.0,11/8/2019,1,14.600000000000001
101,Nemanja Bjelica,SAC,19:27,5.0,7.0,0.714,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,13.0,-2.0,11/8/2019,1,11.4
102,Cory Joseph,SAC,28:41,4.0,8.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,2.0,1.0,2.0,9.0,11.0,11/8/2019,1,8.6
103,Bogdan Bogdanović,SAC,28:31,6.0,9.0,0.667,5.0,6.0,0.833,3.0,3.0,1.0,0.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0,20.0,21.0,11/8/2019,1,19.699999999999996
104,Trevor Ariza,SAC,23:48,5.0,7.0,0.714,4.0,6.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,4.0,14.0,12.0,11/8/2019,1,9.100000000000001
105,Dewayne Dedmon,SAC,11:03,0.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,11/8/2019,1,3.9
106,Harry Giles,SAC,7:39,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,11/8/2019,1,3.6
111,Garrett Temple,NOP,34:15,4.0,12.0,0.333,1.0,6.0,0.167,3.0,4.0,0.75,3.0,5.0,8.0,2.0,0.0,2.0,1.0,1.0,12.0,-4.0,11/3/2021,1,9.8
112,Nickeil Alexander-Walker,NOP,32:54,7.0,16.0,0.438,1.0,6.0,0.167,1.0,2.0,0.5,1.0,3.0,4.0,4.0,1.0,0.0,3.0,4.0,16.0,-6.0,11/3/2021,1,8.000000000000002
113,Josh Hart,NOP,31:52,4.0,11.0,0.364,1.0,4.0,0.25,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,9.0,-6.0,11/3/2021,1,3.4000000000000004
114,Devonte' Graham,NOP,30:55,5.0,9.0,0.556,4.0,7.0,0.571,2.0,2.0,1.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0,3.0,16.0,-2.0,11/3/2021,1,14.099999999999998
115,Jonas Valančiūnas,NOP,29:10,5.0,13.0,0.385,2.0,3.0,0.667,2.0,2.0,1.0,1.0,10.0,11.0,2.0,0.0,0.0,2.0,1.0,14.0,4.0,11/3/2021,1,9.600000000000001
116,Naji Marshall,NOP,19:50,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,-9.0,11/3/2021,1,3.5999999999999996
117,Kira Lewis Jr.,NOP,16:51,6.0,9.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,14.0,-14.0,11/3/2021,1,6.899999999999997
118,Trey Murphy III,NOP,13:59,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,-5.0,11/3/2021,1,0.8999999999999997
119,Tomáš Satoranský,NOP,12:56,2.0,5.0,0.4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,-7.0,11/3/2021,1,1.2999999999999998
120,Willy Hernangómez,NOP,10:45,2.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,8.0,-11.0,11/3/2021,1,7.8999999999999995
121,Jaxson Hayes,NOP,4:27,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.0,11/3/2021,1,-0.7
122,Jose Alvarado,NOP,1:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11/3/2021,1,0.0
123,Didi Louzada,NOP,1:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11/3/2021,1,0.7
126,Myles Turner,IND,34:35,4.0,10.0,0.4,2.0,5.0,0.4,2.0,2.0,1.0,2.0,13.0,15.0,3.0,1.0,5.0,1.0,5.0,12.0,22.0,11/7/2021,1,15.5
127,T.J. McConnell,IND,32:45,8.0,13.0,0.615,0.0,0.0,0.0,2.0,3.0,0.667,1.0,6.0,7.0,4.0,1.0,0.0,4.0,2.0,18.0,0.0,11/7/2021,1,13.2
128,Chris Duarte,IND,31:20,6.0,12.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,0.0,5.0,5.0,2.0,1.0,0.0,2.0,2.0,15.0,19.0,11/7/2021,1,9.7
129,Caris LeVert,IND,30:52,9.0,22.0,0.409,1.0,5.0,0.2,3.0,4.0,0.75,3.0,3.0,6.0,1.0,1.0,1.0,3.0,3.0,22.0,19.0,11/7/2021,1,11.0
130,Domantas Sabonis,IND,29:24,7.0,13.0,0.538,0.0,3.0,0.0,3.0,3.0,1.0,3.0,7.0,10.0,1.0,3.0,0.0,3.0,5.0,17.0,-5.0,11/7/2021,1,13.599999999999998
131,Torrey Craig,IND,28:45,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,4.0,2.0,-10.0,11/7/2021,1,1.6999999999999997
132,Justin Holiday,IND,28:20,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,-9.0,11/7/2021,1,0.8999999999999999
133,Brad Wanamaker,IND,11:10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,1.0,3.0,0.0,1.0,-5.0,11/7/2021,1,-0.40000000000000036
134,Jeremy Lamb,IND,5:56,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0,11/7/2021,1,0.9000000000000004
135,Kelan Martin,IND,4:01,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,11/7/2021,1,-0.7
136,Goga Bitadze,IND,2:52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,11/7/2021,1,-1.5
139,Gary Trent Jr.,TOR,36:22,8.0,17.0,0.471,5.0,11.0,0.455,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,23.0,23.0,11/19/2021,1,14.299999999999999
140,Scottie Barnes,TOR,33:09,1.0,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,6.0,1.0,1.0,0.0,2.0,2.0,2.0,11/19/2021,1,4.3999999999999995
141,Fred VanVleet,TOR,31:52,5.0,14.0,0.357,2.0,7.0,0.286,1.0,1.0,1.0,2.0,1.0,3.0,6.0,2.0,0.0,7.0,3.0,13.0,23.0,11/19/2021,1,4.900000000000002
142,Pascal Siakam,TOR,30:18,10.0,12.0,0.833,3.0,3.0,1.0,9.0,10.0,0.9,0.0,8.0,8.0,1.0,0.0,2.0,4.0,3.0,32.0,19.0,11/19/2021,1,26.5
143,Khem Birch,TOR,22:57,4.0,7.0,0.571,0.0,1.0,0.0,2.0,4.0,0.5,4.0,5.0,9.0,1.0,4.0,2.0,0.0,2.0,10.0,17.0,11/19/2021,1,15.499999999999996
144,Precious Achiuwa,TOR,24:58,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,11/19/2021,1,5.6
145,Chris Boucher,TOR,23:45,3.0,10.0,0.3,1.0,4.0,0.25,3.0,4.0,0.75,3.0,9.0,12.0,1.0,1.0,2.0,0.0,3.0,10.0,4.0,11/19/2021,1,10.499999999999996
146,Svi Mykhailiuk,TOR,19:35,3.0,8.0,0.375,1.0,5.0,0.2,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,8.0,8.0,11/19/2021,1,4.1
147,Dalano Banton,TOR,10:57,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,11/19/2021,1,4.2
148,Malachi Flynn,TOR,3:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,11/19/2021,1,0.7
149,Justin Champagnie,TOR,2:52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,11/19/2021,1,-1.1
152,Donovan Mitchell,UTA,31:59,11.0,22.0,0.5,3.0,7.0,0.429,1.0,1.0,1.0,0.0,5.0,5.0,5.0,1.0,0.0,3.0,3.0,26.0,10.0,11/20/2021,1,16.8
153,Bojan Bogdanović,UTA,30:56,4.0,9.0,0.444,2.0,5.0,0.4,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,11/20/2021,1,7.199999999999999
154,Rudy Gobert,UTA,30:18,8.0,12.0,0.667,0.0,1.0,0.0,5.0,6.0,0.833,7.0,7.0,14.0,1.0,1.0,1.0,2.0,3.0,21.0,4.0,11/20/2021,1,21.6
155,Royce O'Neale,UTA,29:10,3.0,9.0,0.333,2.0,6.0,0.333,1.0,2.0,0.5,3.0,2.0,5.0,4.0,0.0,0.0,1.0,2.0,9.0,8.0,11/20/2021,1,7.199999999999999
156,Mike Conley,UTA,26:23,7.0,10.0,0.7,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,17.0,1.0,11/20/2021,1,12.100000000000001
157,Jordan Clarkson,UTA,23:46,5.0,13.0,0.385,3.0,7.0,0.429,3.0,4.0,0.75,2.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,16.0,20.0,11/20/2021,1,10.799999999999999
158,Joe Ingles,UTA,23:29,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,9.0,15.0,11/20/2021,1,10.0
159,Hassan Whiteside,UTA,17:42,3.0,5.0,0.6,0.0,0.0,0.0,4.0,4.0,1.0,2.0,8.0,10.0,0.0,0.0,1.0,0.0,3.0,10.0,14.0,11/20/2021,1,11.0
160,Rudy Gay,UTA,17:04,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,3.0,11.0,11/20/2021,1,1.6999999999999997
161,Trent Forrest,UTA,5:41,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11/20/2021,1,2.0
162,Miye Oni,UTA,1:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,11/20/2021,1,0.0
163,Eric Paschall,UTA,1:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,11/20/2021,1,0.3
165,Dejounte Murray,SAS,35:11,11.0,17.0,0.647,0.0,0.0,0.0,3.0,4.0,0.75,0.0,7.0,7.0,9.0,1.0,0.0,2.0,2.0,25.0,-9.0,12/19/2021,1,23.700000000000003
166,Jakob Poeltl,SAS,33:48,2.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,3.0,1.0,2.0,1.0,3.0,4.0,-11.0,12/19/2021,1,4.499999999999999
167,Keldon Johnson,SAS,31:51,5.0,14.0,0.357,2.0,5.0,0.4,4.0,4.0,1.0,2.0,9.0,11.0,1.0,2.0,0.0,2.0,2.0,16.0,-9.0,12/19/2021,1,12.2
