,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Brandon Clarke,MEM,22:33,6,8,.750,0,1,.000,4,5,.800,0,3,3,3,2,1,1,0,16,+11,10/27/2022
David Roddy,MEM,18:15,1,4,.250,0,3,.000,0,0,,0,3,3,1,0,0,0,0,2,+11,10/27/2022
Kennedy Chandler,MEM,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,10/27/2022
Kenneth Lofton Jr.,MEM,0:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,10/27/2022
Xavier Tillman Sr.,MEM,Did Not Play,,,,,,,,,,,,,,,,,,,,10/27/2022
Vince Williams Jr.,MEM,Did Not Play,,,,,,,,,,,,,,,,,,,,10/27/2022
Team Totals,MEM,240,49,92,.533,14,33,.424,13,18,.722,11,32,43,27,5,3,12,18,125,,10/27/2022
Kelly Oubre Jr.,CHO,38:27,12,25,.480,3,8,.375,4,6,.667,1,8,9,1,1,1,4,2,31,+1,12/19/2022
Gordon Hayward,CHO,36:43,8,12,.667,1,2,.500,2,2,1.000,1,4,5,1,1,0,4,2,19,+18,12/19/2022
P.J. Washington,CHO,29:03,1,6,.167,1,4,.250,0,0,,1,8,9,2,0,1,0,5,3,-5,12/19/2022
LaMelo Ball,CHO,27:28,9,19,.474,5,10,.500,0,0,,1,4,5,12,0,0,2,6,23,+3,12/19/2022
Mason Plumlee,CHO,25:08,7,8,.875,0,0,,1,2,.500,0,4,4,3,0,3,1,3,15,-4,12/19/2022
Théo Maledon,CHO,26:04,4,10,.400,0,3,.000,4,6,.667,0,7,7,3,1,0,0,2,12,+6,12/19/2022
Jalen McDaniels,CHO,25:50,1,5,.200,0,4,.000,4,4,1.000,1,2,3,2,0,2,2,2,6,+3,12/19/2022
Nick Richards,CHO,22:52,6,9,.667,0,0,,2,3,.667,5,6,11,2,1,0,1,3,14,+10,12/19/2022
JT Thor,CHO,8:24,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,2,-2,12/19/2022
James Bouknight,CHO,Did Not Play,,,,,,,,,,,,,,,,,,,,12/19/2022
Kai Jones,CHO,Did Not Play,,,,,,,,,,,,,,,,,,,,12/19/2022
Team Totals,CHO,240,49,95,.516,10,31,.323,17,23,.739,11,45,56,26,4,7,14,25,125,,12/19/2022
Shai Gilgeous-Alexander,OKC,37:30,16,23,.696,2,3,.667,3,4,.750,1,0,1,7,2,0,0,0,37,-10,1/20/2023
Luguentz Dort,OKC,35:20,5,13,.385,3,5,.600,2,2,1.000,0,3,3,2,1,0,0,6,15,-3,1/20/2023
Jalen Williams,OKC,31:30,5,9,.556,1,3,.333,2,2,1.000,0,1,1,2,1,0,3,5,13,-3,1/20/2023
Josh Giddey,OKC,29:37,7,13,.538,1,4,.250,0,0,,3,7,10,5,0,1,2,1,15,+8,1/20/2023
Jaylin Williams,OKC,24:49,2,6,.333,0,1,.000,0,1,.000,0,6,6,2,0,0,1,1,4,-4,1/20/2023
Isaiah Joe,OKC,29:21,7,13,.538,7,12,.583,0,0,,1,5,6,0,0,0,0,2,21,0,1/20/2023
Kenrich Williams,OKC,25:56,1,8,.125,1,6,.167,0,2,.000,3,3,6,3,0,0,1,1,3,+2,1/20/2023
Mike Muscala,OKC,11:21,1,5,.200,1,5,.200,0,0,,0,2,2,0,0,0,1,1,3,-8,1/20/2023
Lindy Waters III,OKC,7:23,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-8,1/20/2023
Tre Mann,OKC,7:13,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,1,2,+1,1/20/2023
Darius Bazley,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
Aaron Wiggins,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
Team Totals,OKC,240,45,93,.484,16,40,.400,7,11,.636,8,28,36,21,4,1,9,20,113,,1/20/2023
Tyrese Maxey,PHI,41:17,12,29,.414,2,8,.250,6,6,1.000,0,3,3,6,0,0,2,2,32,-4,1/21/2023
Montrezl Harrell,PHI,33:07,7,8,.875,0,0,,3,5,.600,5,2,7,2,0,1,0,2,17,-1,1/21/2023
De'Anthony Melton,PHI,31:19,4,8,.500,2,4,.500,4,4,1.000,2,5,7,5,3,1,4,3,14,-4,1/21/2023
Tobias Harris,PHI,25:10,7,13,.538,2,6,.333,1,1,1.000,0,5,5,6,0,0,5,6,17,-3,1/21/2023
P.J. Tucker,PHI,19:13,0,1,.000,0,1,.000,0,0,,1,2,3,0,0,0,0,3,0,-14,1/21/2023
Shake Milton,PHI,29:34,5,12,.417,1,2,.500,4,5,.800,2,4,6,7,1,0,1,2,15,0,1/21/2023
Georges Niang,PHI,27:02,7,12,.583,3,5,.600,0,0,,2,4,6,1,0,0,2,1,17,+21,1/21/2023
Paul Reed,PHI,14:47,4,6,.667,0,0,,1,2,.500,4,3,7,0,0,1,1,4,9,+2,1/21/2023
Matisse Thybulle,PHI,13:03,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,3,2,+3,1/21/2023
Danuel House Jr.,PHI,5:28,2,3,.667,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,6,+10,1/21/2023
Joel Embiid,PHI,Did Not Dress,,,,,,,,,,,,,,,,,,,,1/21/2023
Furkan Korkmaz,PHI,Did Not Play,,,,,,,,,,,,,,,,,,,,1/21/2023
Jaden Springer,PHI,Did Not Play,,,,,,,,,,,,,,,,,,,,1/21/2023
Team Totals,PHI,240,49,93,.527,12,28,.429,19,23,.826,16,30,46,27,4,3,15,26,129,,1/21/2023
Jalen Williams,OKC,39:47,10,19,.526,3,6,.500,2,2,1.000,3,4,7,2,6,1,3,3,25,+11,2/7/23
Shai Gilgeous-Alexander,OKC,37:41,9,17,.529,1,1,1.000,11,12,.917,0,2,2,8,2,0,4,5,30,-2,2/7/23
Josh Giddey,OKC,34:55,10,19,.526,0,3,.000,0,0,,1,4,5,6,0,0,4,2,20,-1,2/7/23
Jaylin Williams,OKC,30:40,4,6,.667,2,2,1.000,4,4,1.000,1,6,7,7,2,0,0,1,14,+2,2/7/23
Kenrich Williams,OKC,29:43,3,6,.500,1,4,.250,1,2,.500,1,3,4,5,1,0,1,2,8,-12,2/7/23
Isaiah Joe,OKC,23:02,5,11,.455,5,10,.500,0,0,,1,4,5,2,0,0,0,1,15,+15,2/7/23
Aaron Wiggins,OKC,21:43,2,5,.400,1,1,1.000,0,0,,0,3,3,0,0,1,0,3,5,+4,2/7/23
Mike Muscala,OKC,17:20,6,10,.600,4,7,.571,0,0,,0,4,4,2,1,0,0,1,16,+1,2/7/23
Tre Mann,OKC,5:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,2/7/23
Darius Bazley,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,2/7/23
Eugene Omoruyi,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,2/7/23
Lindy Waters III,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,2/7/23
Team Totals,OKC,240,49,94,.521,17,34,.500,18,20,.900,7,30,37,32,12,2,12,18,133,,2/7/23
