Team,Games,Wins,Losses,Win%
UTA,6,2,4,0.333
LAL,3,0,3,0.000
ATL,2,1,1,0.500
MEM,2,1,1,0.500
ORL,3,3,0,1.000
GSW,1,1,0,1.000
NYK,1,0,1,0.000
MIA,1,1,0,1.000
SAC,18,8,10,0.444
NOP,2,1,1,0.500
IND,1,1,0,1.000
TOR,1,1,0,1.000
SAS,1,0,1,0.000
HOU,1,0,1,0.000
BOS,1,1,0,1.000
PHO,2,1,1,0.500
POR,1,0,1,0.000
LAC,1,1,0,1.000
CHO,1,1,0,1.000
OKC,3,1,2,0.333
PHI,1,1,0,1.000
MIL,1,1,0,1.000
