,Player,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS,X_DPOY,Years
0,Draymond Green,1.0,GSW,6.0,10.0,0.600,2.0,5.0,0.400,0.0,0.0,0.600,0.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,14.0,6.0,14.0,1,[2017]
1,Giannis Antetokounmpo,1.0,MIL,19.0,28.0,0.679,2.0,2.0,1.000,6.0,7.0,0.679,1.0,11.0,12.0,4.0,1.0,0.0,5.0,2.0,46.0,15.0,35.6,1,[2020]
2,Marcus Smart,1.0,BOS,3.0,9.0,0.333,2.0,5.0,0.400,1.0,2.0,0.333,1.0,3.0,4.0,8.0,4.0,0.0,1.0,2.0,9.0,-2.0,12.9,1,[2022]
3,Rudy Gobert,3.0,UTA,5.33,8.0,0.667,0.0,0.33,0.000,4.0,5.67,0.667,4.33,8.67,13.0,2.0,0.67,2.67,1.33,2.33,14.67,12.33,17.83,3,"[2021, 2019, 2018]"
4,Tyson Chandler,1.0,LAL,1.0,1.0,1.000,0.0,0.0,0.000,0.0,0.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,-12.0,1.2,1,[2012]
