,Player,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS
0,Dwyane Wade,1.0,MIA,4.0,15.0,0.267,2.0,6.0,0.333,5.0,5.0,0.267,0.0,3.0,3.0,8.0,1.0,1.0,1.0,0.0,15.0,21.0,13.3
1,Steve Nash,1.0,LAL,1.0,4.0,0.250,0.0,2.0,0.000,0.0,0.0,0.250,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,-6.0,1.3
