,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Harrison Barnes,39:08,3,7,.429,1,4,.250,4,4,1.000,1,1,2,2,0,0,2,1,11,-1,1/20/2023
De'Aaron Fox,38:18,10,23,.435,2,6,.333,3,7,.429,0,4,4,2,0,0,1,3,25,+3,1/20/2023
Domantas Sabonis,37:47,5,9,.556,0,1,.000,8,8,1.000,4,10,14,14,0,0,6,3,18,+4,1/20/2023
Keegan Murray,37:20,10,12,.833,5,7,.714,4,4,1.000,3,11,14,1,0,0,2,1,29,+10,1/20/2023
Kevin Huerter,34:38,6,13,.462,2,7,.286,0,0,,2,4,6,1,0,1,2,2,14,+6,1/20/2023
Malik Monk,15:40,1,6,.167,0,5,.000,3,3,1.000,0,3,3,5,0,1,2,2,5,-2,1/20/2023
Trey Lyles,13:38,2,9,.222,1,5,.200,2,2,1.000,1,4,5,0,0,0,0,0,7,-2,1/20/2023
Davion Mitchell,11:25,2,4,.500,1,2,.500,0,0,,0,2,2,0,1,0,0,2,5,+6,1/20/2023
Chimezie Metu,10:13,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,0,3,4,+1,1/20/2023
KZ Okpala,1:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,1/20/2023
Terence Davis,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
PJ Dozier,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
Matthew Dellavedova,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
Alex Len,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
Richaun Holmes,Did Not Play,,,,,,,,,,,,,,,,,,,,1/20/2023
Team Totals,240,41,87,.471,12,38,.316,24,28,.857,13,40,53,25,1,2,15,17,118,,1/20/2023
Keegan Murray,41:26,4,9,.444,3,8,.375,2,2,1.000,1,3,4,1,0,1,0,2,13,-3,1/21/2023
De'Aaron Fox,38:13,11,19,.579,0,2,.000,9,10,.900,0,4,4,9,2,0,1,2,31,+3,1/21/2023
Harrison Barnes,37:56,8,13,.615,6,9,.667,5,7,.714,1,3,4,1,0,0,0,2,27,+6,1/21/2023
Domantas Sabonis,37:41,7,10,.700,0,1,.000,2,4,.500,1,8,9,10,0,0,4,3,16,-2,1/21/2023
Kevin Huerter,30:44,8,12,.667,2,4,.500,2,2,1.000,1,2,3,3,3,0,0,4,20,+12,1/21/2023
Malik Monk,20:15,3,10,.300,1,5,.200,2,2,1.000,0,2,2,3,1,2,0,3,9,-8,1/21/2023
Davion Mitchell,11:52,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,0,2,3,-7,1/21/2023
Trey Lyles,11:26,1,3,.333,0,1,.000,0,2,.000,0,1,1,0,0,0,0,1,2,-10,1/21/2023
Richaun Holmes,5:33,2,2,1.000,0,0,,0,0,,0,1,1,0,0,2,0,0,4,-2,1/21/2023
Chimezie Metu,4:41,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,2,1,2,+4,1/21/2023
KZ Okpala,0:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-3,1/21/2023
Alex Len,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1/21/2023
PJ Dozier,Did Not Play,,,,,,,,,,,,,,,,,,,,1/21/2023
Matthew Dellavedova,Did Not Play,,,,,,,,,,,,,,,,,,,,1/21/2023
Terence Davis,Did Not Play,,,,,,,,,,,,,,,,,,,,1/21/2023
Team Totals,240,46,84,.548,13,33,.394,22,29,.759,4,25,29,28,6,5,8,20,127,,1/21/2023
