,Player,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS,X_DPOY,Years
0,Draymond Green,1.0,GSW,6.0,10.0,0.600,2.0,5.0,0.400,0.0,0.0,0.600,0.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,14.0,6.0,14.0,1,[2017]
1,Rudy Gobert,2.0,UTA,3.5,5.0,0.700,0.0,0.0,0.000,3.5,3.5,0.700,2.0,7.0,9.0,1.0,0.5,2.0,0.5,4.0,10.5,-15.0,12.4,3,"[2021, 2019, 2018]"
