,index,Player,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS,Year
0,75,Joel Embiid,1.0,PHI,14.0,20.0,0.700,2.0,3.0,0.667,16.0,19.0,0.700,2.0,13.0,15.0,7.0,0.0,7.0,2.0,4.0,46.0,19.0,47.9,2023
1,96,Kevin Durant,2.0,PHO/GSW,8.0,12.0,0.667,2.0,3.0,0.667,6.5,7.0,0.667,0.0,6.5,6.5,3.0,0.5,1.5,4.5,1.5,24.5,4.0,19.6,2014
2,102,LeBron James,1.0,LAL,13.0,20.0,0.650,4.0,6.0,0.667,8.0,10.0,0.650,0.0,7.0,7.0,3.0,3.0,0.0,4.0,3.0,38.0,8.0,30.4,2013
3,102,LeBron James,1.0,LAL,13.0,20.0,0.650,4.0,6.0,0.667,8.0,10.0,0.650,0.0,7.0,7.0,3.0,3.0,0.0,4.0,3.0,38.0,8.0,30.4,2012
4,102,LeBron James,1.0,LAL,13.0,20.0,0.650,4.0,6.0,0.667,8.0,10.0,0.650,0.0,7.0,7.0,3.0,3.0,0.0,4.0,3.0,38.0,8.0,30.4,2010
5,102,LeBron James,1.0,LAL,13.0,20.0,0.650,4.0,6.0,0.667,8.0,10.0,0.650,0.0,7.0,7.0,3.0,3.0,0.0,4.0,3.0,38.0,8.0,30.4,2009
6,131,Russell Westbrook,1.0,LAL,10.0,19.0,0.526,4.0,7.0,0.571,3.0,6.0,0.526,0.0,4.0,4.0,8.0,2.0,1.0,6.0,1.0,27.0,4.0,19.6,2017
