,League,League_Teams_Total,Stadiums_Visited,%_Visited,Teams_Seen,%_Teams_Seen
0,MLB,32,0,0.0%,0,0.0%
1,NBA,30,6,20.0%,12,40.0%
2,NFL,32,0,0.0%,0,0.0%
3,NHL,32,0,0.0%,0,0.0%
4,MLS,28,0,0.0%,0,0.0%
