,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Damian Jones,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/3/21
Chimezie Metu,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/3/21
Jahmi'us Ramsey,SAC,Did Not Play,,,,,,,,,,,,,,,,,,,,11/3/21
Team Totals,SAC,240,42,80,.525,10,30,.333,18,22,.818,4,33,37,27,8,7,8,21,112,,11/3/21
Donovan Mitchell,UTA,38:44,10,21,.476,1,8,.125,11,12,.917,0,2,2,6,0,1,2,4,32,+4,4/21/22
Mike Conley,UTA,35:11,6,14,.429,2,7,.286,7,8,.875,0,2,2,6,2,1,4,5,21,-16,4/21/22
Royce O'Neale,UTA,31:51,0,0,,0,0,,2,2,1.000,1,3,4,1,0,0,2,4,2,-13,4/21/22
Bojan Bogdanović,UTA,31:49,8,12,.667,4,7,.571,4,4,1.000,0,6,6,2,0,0,3,5,24,+4,4/21/22
Rudy Gobert,UTA,29:06,6,6,1.000,0,0,,3,3,1.000,0,7,7,0,0,1,0,4,15,-16,4/21/22
Jordan Clarkson,UTA,30:10,5,9,.556,1,3,.333,3,3,1.000,0,3,3,2,0,0,1,2,14,0,4/21/22
Danuel House Jr.,UTA,19:16,1,1,1.000,0,0,,0,0,,0,6,6,2,0,0,2,0,2,-3,4/21/22
Eric Paschall,UTA,10:17,2,3,.667,1,2,.500,1,1,1.000,0,1,1,0,0,0,0,2,6,+9,4/21/22
Hassan Whiteside,UTA,7:16,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,2,-1,4/21/22
Juancho Hernangómez,UTA,6:20,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,2,0,-8,4/21/22
Nickeil Alexander-Walker,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,4/21/22
Jared Butler,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,4/21/22
Rudy Gay,UTA,Did Not Play,,,,,,,,,,,,,,,,,,,,4/21/22
Team Totals,UTA,240,39,69,.565,9,28,.321,31,33,.939,1,31,32,20,2,4,14,28,118,,4/21/22
LeBron James,LAL,33:57,13,20,.650,4,6,.667,8,10,.800,0,7,7,3,3,0,4,3,38,+8,2/7/23
Dennis Schröder,LAL,31:55,4,9,.444,0,5,.000,2,2,1.000,0,2,2,3,0,0,3,3,10,-11,2/7/23
Anthony Davis,LAL,30:36,6,9,.667,0,0,,1,2,.500,3,5,8,2,2,1,2,4,13,-4,2/7/23
Rui Hachimura,LAL,26:26,5,7,.714,1,1,1.000,3,4,.750,1,5,6,0,0,0,1,0,14,-11,2/7/23
Patrick Beverley,LAL,23:41,2,3,.667,2,3,.667,1,2,.500,0,1,1,5,0,0,3,3,7,+1,2/7/23
Russell Westbrook,LAL,28:00,10,19,.526,4,7,.571,3,6,.500,0,4,4,8,2,1,6,1,27,+4,2/7/23
Troy Brown Jr.,LAL,22:17,4,6,.667,1,2,.500,0,0,,1,5,6,1,1,0,0,1,9,+9,2/7/23
Lonnie Walker IV,LAL,18:54,3,7,.429,2,5,.400,0,0,,0,1,1,3,0,0,1,2,8,-5,2/7/23
Thomas Bryant,LAL,17:24,2,3,.667,0,1,.000,0,0,,1,4,5,1,0,1,0,0,4,+1,2/7/23
Austin Reaves,LAL,6:50,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,2,0,-7,2/7/23
Max Christie,LAL,Did Not Play,,,,,,,,,,,,,,,,,,,,2/7/23
Wenyen Gabriel,LAL,Did Not Play,,,,,,,,,,,,,,,,,,,,2/7/23
Damian Jones,LAL,Did Not Play,,,,,,,,,,,,,,,,,,,,2/7/23
Juan Toscano-Anderson,LAL,Did Not Play,,,,,,,,,,,,,,,,,,,,2/7/23
Team Totals,LAL,240,49,85,.576,14,31,.452,18,26,.692,6,35,41,27,8,3,20,19,130,,2/7/23
Jerami Grant,POR,40:31,9,21,.429,1,5,.200,10,13,.769,3,7,10,5,0,0,4,4,29,-7,12/28/23
Malcolm Brogdon,POR,36:47,10,19,.526,6,8,.750,3,5,.600,1,5,6,6,1,0,1,1,29,-10,12/28/23
Scoot Henderson,POR,36:19,8,23,.348,3,7,.429,6,6,1.000,2,1,3,4,1,0,6,5,25,-6,12/28/23
Toumani Camara,POR,21:04,0,5,.000,0,1,.000,1,2,.500,3,4,7,0,0,0,1,1,1,-11,12/28/23
Moses Brown,POR,13:44,2,6,.333,0,0,,0,0,,5,2,7,0,0,0,0,3,4,-8,12/28/23
Jabari Walker,POR,29:35,2,4,.500,0,0,,2,2,1.000,2,7,9,0,1,1,1,4,6,-18,12/28/23
Matisse Thybulle,POR,28:26,1,7,.143,1,7,.143,1,2,.500,0,2,2,1,2,0,0,1,4,-6,12/28/23
Ibou Badji,POR,14:08,3,3,1.000,0,0,,1,2,.500,5,4,9,0,0,3,0,3,7,+11,12/28/23
Skylar Mays,POR,13:56,0,8,.000,0,4,.000,0,0,,1,2,3,0,1,0,0,0,0,-9,12/28/23
Ish Wainright,POR,5:30,0,5,.000,0,4,.000,0,0,,0,1,1,0,0,0,0,0,0,-1,12/28/23
Duop Reath,POR,Did Not Dress,,,,,,,,,,,,,,,,,,,,12/28/23
Anfernee Simons,POR,Did Not Dress,,,,,,,,,,,,,,,,,,,,12/28/23
Team Totals,POR,240,35,101,.347,11,36,.306,24,32,.750,22,35,57,16,6,4,13,22,105,,12/28/23
Jerami Grant,POR,39:23,9,17,.529,4,5,.800,5,6,.833,0,6,6,4,0,0,4,2,27,+6,12/29/23
Scoot Henderson,POR,36:41,9,21,.429,3,5,.600,1,2,.500,4,3,7,11,1,1,4,5,22,-2,12/29/23
Malcolm Brogdon,POR,36:36,9,18,.500,5,7,.714,4,4,1.000,0,1,1,7,1,0,1,2,27,+16,12/29/23
Toumani Camara,POR,36:26,6,12,.500,1,3,.333,0,0,,4,7,11,2,3,0,3,1,13,+9,12/29/23
Moses Brown,POR,3:41,0,0,,0,0,,0,0,,0,4,4,0,0,0,0,1,0,-2,12/29/23
Jabari Walker,POR,29:45,7,11,.636,1,2,.500,10,13,.769,6,3,9,1,1,1,1,4,25,+12,12/29/23
Matisse Thybulle,POR,27:27,3,6,.500,1,4,.250,0,0,,0,1,1,0,1,2,1,1,7,+10,12/29/23
Skylar Mays,POR,19:41,5,10,.500,1,1,1.000,0,0,,1,1,2,2,1,0,0,0,11,-9,12/29/23
Ibou Badji,POR,10:20,0,0,,0,0,,2,2,1.000,1,1,2,1,0,2,0,3,2,-10,12/29/23
Justin Minaya,POR,Did Not Play,,,,,,,,,,,,,,,,,,,,12/29/23
Kris Murray,POR,Did Not Play,,,,,,,,,,,,,,,,,,,,12/29/23
Rayan Rupert,POR,Did Not Play,,,,,,,,,,,,,,,,,,,,12/29/23
