,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date
Devonte' Graham,NOP,30:55,5,9,.556,4,7,.571,2,2,1.000,1,0,1,7,0,0,2,3,16,-2,11/3/21
Jonas Valančiūnas,NOP,29:10,5,13,.385,2,3,.667,2,2,1.000,1,10,11,2,0,0,2,1,14,+4,11/3/21
Naji Marshall,NOP,19:50,2,5,.400,1,3,.333,0,0,,2,3,5,0,0,0,1,0,5,-9,11/3/21
Kira Lewis Jr.,NOP,16:51,6,9,.667,2,3,.667,0,0,,0,2,2,0,0,0,3,2,14,-14,11/3/21
Trey Murphy III,NOP,13:59,0,2,.000,0,1,.000,0,0,,0,4,4,3,0,0,1,0,0,-5,11/3/21
Tomáš Satoranský,NOP,12:56,2,5,.400,0,0,,1,1,1.000,0,0,0,2,0,0,2,1,5,-7,11/3/21
Willy Hernangómez,NOP,10:45,2,2,1.000,0,0,,4,4,1.000,0,2,2,1,0,0,0,2,8,-11,11/3/21
Jaxson Hayes,NOP,4:27,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-7,11/3/21
Jose Alvarado,NOP,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1,11/3/21
Didi Louzada,NOP,1:03,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1,11/3/21
Brandon Ingram,NOP,Did Not Play,,,,,,,,,,,,,,,,,,,,11/3/21
Team Totals,NOP,240,37,86,.430,12,34,.353,13,15,.867,8,32,40,24,1,3,16,16,99,,11/3/21
Dorian Finney-Smith,DAL,46:49,6,12,.500,2,7,.286,0,0,,1,7,8,2,4,0,1,4,14,+12,4/21/22
Reggie Bullock,DAL,44:29,3,6,.500,3,6,.500,3,3,1.000,0,6,6,3,1,0,0,2,12,+2,4/21/22
Spencer Dinwiddie,DAL,40:47,6,21,.286,2,7,.286,6,7,.857,2,3,5,6,3,0,2,6,20,+8,4/21/22
Jalen Brunson,DAL,35:05,12,22,.545,0,4,.000,7,7,1.000,0,1,1,6,0,0,1,2,31,-1,4/21/22
Dwight Powell,DAL,13:18,0,1,.000,0,1,.000,0,0,,1,3,4,0,0,0,2,5,0,-11,4/21/22
Maxi Kleber,DAL,22:20,6,7,.857,4,5,.800,1,2,.500,1,2,3,1,0,0,1,5,17,+10,4/21/22
Josh Green,DAL,18:47,4,6,.667,3,5,.600,1,4,.250,0,3,3,6,2,0,0,3,12,+10,4/21/22
Dāvis Bertāns,DAL,13:53,4,7,.571,4,7,.571,3,3,1.000,1,1,2,0,0,1,1,3,15,+6,4/21/22
Trey Burke,DAL,4:07,0,1,.000,0,0,,3,3,1.000,0,0,0,0,0,0,0,2,3,+5,4/21/22
Sterling Brown,DAL,0:25,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,-1,4/21/22
Luka Dončić,DAL,Did Not Play,,,,,,,,,,,,,,,,,,,,4/21/22
Frank Ntilikina,DAL,Did Not Play,,,,,,,,,,,,,,,,,,,,4/21/22
Team Totals,DAL,240,41,83,.494,18,42,.429,26,31,.839,6,26,32,24,10,1,8,32,126,,4/21/22
Jalen Williams,OKC,39:47,10,19,.526,3,6,.500,2,2,1.000,3,4,7,2,6,1,3,3,25,+11,2/7/23
Shai Gilgeous-Alexander,OKC,37:41,9,17,.529,1,1,1.000,11,12,.917,0,2,2,8,2,0,4,5,30,-2,2/7/23
Josh Giddey,OKC,34:55,10,19,.526,0,3,.000,0,0,,1,4,5,6,0,0,4,2,20,-1,2/7/23
Jaylin Williams,OKC,30:40,4,6,.667,2,2,1.000,4,4,1.000,1,6,7,7,2,0,0,1,14,+2,2/7/23
Kenrich Williams,OKC,29:43,3,6,.500,1,4,.250,1,2,.500,1,3,4,5,1,0,1,2,8,-12,2/7/23
Isaiah Joe,OKC,23:02,5,11,.455,5,10,.500,0,0,,1,4,5,2,0,0,0,1,15,+15,2/7/23
Aaron Wiggins,OKC,21:43,2,5,.400,1,1,1.000,0,0,,0,3,3,0,0,1,0,3,5,+4,2/7/23
Mike Muscala,OKC,17:20,6,10,.600,4,7,.571,0,0,,0,4,4,2,1,0,0,1,16,+1,2/7/23
Tre Mann,OKC,5:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,2/7/23
Darius Bazley,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,2/7/23
Eugene Omoruyi,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,2/7/23
Lindy Waters III,OKC,Did Not Play,,,,,,,,,,,,,,,,,,,,2/7/23
Team Totals,OKC,240,49,94,.521,17,34,.500,18,20,.900,7,30,37,32,12,2,12,18,133,,2/7/23
Devin Vassell,SAS,35:05,7,16,.438,2,9,.222,1,1,1.000,0,5,5,7,4,1,1,0,17,+18,12/28/23
Jeremy Sochan,SAS,30:34,6,10,.600,0,2,.000,4,5,.800,1,6,7,3,0,1,2,4,16,+17,12/28/23
Malaki Branham,SAS,28:31,4,10,.400,3,6,.500,2,2,1.000,2,3,5,4,1,0,2,5,13,+4,12/28/23
Victor Wembanyama,SAS,24:21,9,14,.643,2,4,.500,10,10,1.000,0,6,6,6,0,7,1,0,30,+18,12/28/23
Julian Champagnie,SAS,14:22,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,2,1,1,0,2,+8,12/28/23
Keldon Johnson,SAS,31:04,4,11,.364,1,6,.167,0,0,,0,3,3,2,1,0,2,5,9,+1,12/28/23
Tre Jones,SAS,25:48,2,6,.333,0,2,.000,4,4,1.000,3,2,5,6,1,0,1,0,8,+1,12/28/23
Zach Collins,SAS,16:41,4,9,.444,0,2,.000,3,4,.750,1,6,7,2,0,0,1,6,11,+7,12/28/23
Doug McDermott,SAS,15:57,3,4,.750,2,3,.667,0,0,,0,1,1,1,0,0,0,0,8,-3,12/28/23
Cedi Osman,SAS,15:33,2,3,.667,0,0,,0,0,,0,2,2,2,0,0,0,0,4,-2,12/28/23
Sandro Mamukelashvili,SAS,1:02,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2,12/28/23
Blake Wesley,SAS,1:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,12/28/23
Team Totals,SAS,240,41,85,.482,10,36,.278,26,28,.929,7,35,42,33,9,10,11,20,118,,12/28/23
Devin Vassell,SAS,31:19,8,16,.500,3,6,.500,3,4,.750,0,3,3,5,4,1,0,1,22,-6,12/29/23
Malaki Branham,SAS,28:50,5,12,.417,1,3,.333,0,0,,3,3,6,3,1,0,3,1,11,-24,12/29/23
Jeremy Sochan,SAS,28:38,0,3,.000,0,0,,2,2,1.000,1,3,4,4,1,0,3,2,2,-15,12/29/23
Zach Collins,SAS,18:21,8,10,.800,0,1,.000,1,3,.333,1,2,3,2,0,1,1,3,17,-13,12/29/23
Julian Champagnie,SAS,11:44,1,5,.200,1,4,.250,4,5,.800,2,1,3,0,1,1,1,1,7,-8,12/29/23
Keldon Johnson,SAS,32:12,9,18,.500,3,8,.375,8,11,.727,2,5,7,7,1,0,1,4,29,+6,12/29/23
Tre Jones,SAS,26:57,7,9,.778,0,0,,0,0,,3,5,8,5,0,0,3,2,14,+14,12/29/23
Doug McDermott,SAS,22:34,6,9,.667,6,8,.750,0,0,,0,1,1,1,0,0,2,1,18,+12,12/29/23
Cedi Osman,SAS,17:40,2,4,.500,0,1,.000,0,0,,0,4,4,2,0,0,0,1,4,+5,12/29/23
Dominick Barlow,SAS,14:15,1,6,.167,0,1,.000,0,0,,1,1,2,0,1,0,0,2,2,-9,12/29/23
Sandro Mamukelashvili,SAS,7:30,1,2,.500,0,1,.000,0,0,,0,1,1,2,0,0,0,1,2,+8,12/29/23
Blake Wesley,SAS,Did Not Play,,,,,,,,,,,,,,,,,,,,12/29/23
Team Totals,SAS,240,48,94,.511,14,33,.424,18,25,.720,13,29,42,31,9,3,14,19,128,,12/29/23
Devin Booker,PHO,36:28,9,20,.450,0,3,.000,6,9,.667,2,2,4,7,0,0,0,1,24,-24,12/22/23
Kevin Durant,PHO,34:04,9,14,.643,2,3,.667,8,9,.889,0,7,7,2,1,0,7,0,28,-14,12/22/23
Grayson Allen,PHO,29:57,4,10,.400,3,6,.500,0,0,,2,2,4,2,3,1,1,1,11,-20,12/22/23
Eric Gordon,PHO,24:43,0,2,.000,0,1,.000,0,0,,0,4,4,2,0,1,0,1,0,-25,12/22/23
Drew Eubanks,PHO,14:34,1,3,.333,0,0,,0,0,,1,1,2,0,1,0,2,2,2,-23,12/22/23
Udoka Azubuike,PHO,22:22,5,5,1.000,0,0,,1,2,.500,5,6,11,2,0,1,1,4,11,+1,12/22/23
Saben Lee,PHO,19:43,2,8,.250,0,3,.000,2,2,1.000,1,2,3,4,1,1,1,2,6,+11,12/22/23
Nassir Little,PHO,16:04,3,8,.375,0,3,.000,0,0,,0,0,0,0,1,0,1,3,6,0,12/22/23
Jordan Goodwin,PHO,14:00,1,6,.167,0,1,.000,1,2,.500,2,1,3,0,1,0,1,2,3,+5,12/22/23
Chimezie Metu,PHO,13:01,3,6,.500,0,2,.000,4,4,1.000,1,3,4,0,0,0,1,1,10,+5,12/22/23
Yuta Watanabe,PHO,11:42,1,4,.250,0,3,.000,0,0,,0,2,2,0,0,0,0,2,2,+5,12/22/23
Bol Bol,PHO,3:22,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+4,12/22/23
Keita Bates-Diop,PHO,Did Not Play,,,,,,,,,,,,,,,,,,,,12/22/23
Team Totals,PHO,240,39,88,.443,5,25,.200,22,28,.786,15,30,45,19,8,4,15,19,105,,12/22/23
Jeremy Sochan,SAS,38:05,8,16,.500,2,4,.500,5,5,1.000,3,5,8,4,2,2,4,4,23,-4,1/15/24
Devin Vassell,SAS,30:27,2,11,.182,0,5,.000,0,0,,1,3,4,4,0,1,0,0,4,-4,1/15/24
Tre Jones,SAS,30:11,3,8,.375,0,1,.000,0,0,,0,1,1,12,3,0,3,0,6,+5,1/15/24
Victor Wembanyama,SAS,27:05,12,18,.667,1,5,.200,1,1,1.000,2,11,13,2,2,5,3,2,26,-2,1/15/24
Julian Champagnie,SAS,20:05,5,8,.625,5,8,.625,0,0,,0,1,1,1,1,0,0,1,15,+5,1/15/24
Keldon Johnson,SAS,26:10,1,11,.091,0,5,.000,3,5,.600,2,4,6,0,1,0,5,4,5,-4,1/15/24
Dominick Barlow,SAS,16:48,1,4,.250,0,0,,2,4,.500,0,7,7,1,1,0,0,2,4,-6,1/15/24
Doug McDermott,SAS,15:16,2,5,.400,2,5,.400,0,0,,0,1,1,0,0,0,0,1,6,+2,1/15/24
Blake Wesley,SAS,12:38,1,4,.250,0,2,.000,1,2,.500,1,1,2,3,0,0,1,0,3,-6,1/15/24
Cedi Osman,SAS,11:59,1,5,.200,1,5,.200,0,0,,0,1,1,0,0,0,1,3,3,-11,1/15/24
Malaki Branham,SAS,9:51,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,4,-21,1/15/24
Sandro Mamukelashvili,SAS,1:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4,1/15/24
Mamadi Diakite,SAS,Did Not Play,,,,,,,,,,,,,,,,,,,,1/15/24
Devonte' Graham,SAS,Did Not Play,,,,,,,,,,,,,,,,,,,,1/15/24
Team Totals,SAS,240,38,95,.400,11,42,.262,12,17,.706,9,35,44,27,10,8,17,18,99,,1/15/24
